친구 누나,['멜로/로맨스'],한국,84분 ,2016.03.10,청소년 관람불가,채길병,['박초현'],,6.26,
태평륜피안,"['드라마', '액션', '전쟁']",중국,126분 ,2016.08.18,15세 관람가,오우삼,"['장쯔이', '금성무', '송혜교']",,7.86,
필라델피아,['드라마'],미국,125분 ,1994.03.26,15세 관람가,조나단 드미,"['톰 행크스', '덴젤 워싱톤']",,8.61,
닌자터틀,"['모험', '액션', '코미디', '판타지', 'SF']",미국,101분 ,2014.08.28,12세 관람가,조나단 리브스만,"['메간 폭스', '피터 플로스잭', '제레미 하워드']",8.07,4.71,7.70
부러진 화살,['드라마'],한국,100분 ,2012.01.18,15세 관람가,정지영,"['안성기', '박원상', '나영희']",,7.61,8.92
송어,['스릴러'],한국,100분 ,1999.11.06,12세 관람가,박종원,"['강수연', '황인성', '설경구']",,8.22,
이별계약,"['드라마', '멜로/로맨스']",중국,103분 ,2013.06.20,12세 관람가,오기환,"['펑위옌', '바이바이허', '장경부']",,5.00,8.37
다가오는 것들,['드라마'],프랑스,102분 ,2016.09.29,15세 관람가,미아 한센-러브,"['이자벨 위페르', '에디뜨 스꼽']",8.45,8.00,8.33
백 투 더 비기닝,"['SF', '스릴러']",미국,106분 ,2015.02.26,15세 관람가,딘 이스라엘리트,"['조니 웨스턴', '소피아 블랙 디엘리아', '샘 러너']",7.37,4.00,8.00
노이 알비노이,['드라마'],아이슬란드,91분 ,2006.09.29,12세 관람가,다구르 카리,"['토마스 레마르퀴스', '드로스터 레오 구나슨']",,7.00,8.03
혼자,"['미스터리', '판타지']",한국,90분 ,2016.11.24,청소년 관람불가,박홍민,"['이주원', '송유현', '이성욱']",7.83,6.63,5.40
에이리언 3,"['액션', '공포', 'SF', '스릴러', '드라마']",미국,109분 ,1992.07.17,15세 관람가,데이빗 핀처,['시고니 위버'],,7.62,
시카고,"['뮤지컬', '범죄', '드라마']",미국,113분 ,2016.12.15,15세 관람가,롭 마샬,"['르네 젤위거', '캐서린 제타 존스', '리차드 기어']",9.00,8.00,8.92
아우토반,"['액션', '스릴러']",영국,99분 ,2017.03.22,15세 관람가,에란 크리비,"['니콜라스 홀트', '펠리시티 존스']",7.85,4.00,8.10
인 디 에어,"['코미디', '드라마', '멜로/로맨스']",미국,108분 ,2010.03.11,15세 관람가,제이슨 라이트먼,"['조지 클루니', '베라 파미가', '안나 켄드릭']",,7.63,8.38
세븐데이즈,['스릴러'],캐나다,105분 ,2013.01.31,청소년 관람불가,다니엘 그로우,"['클로드 르고트', '레미 지라르드']",,6.52,
하이-라이즈,"['액션', '드라마', 'SF', '스릴러']",영국,119분 ,2016.03.30,청소년 관람불가,벤 웨틀리,"['톰 히들스턴', '제레미 아이언스', '시에나 밀러']",6.42,6.56,6.15
로마 위드 러브,['코미디'],미국,111분 ,2013.04.18,청소년 관람불가,우디 앨런,"['알렉 볼드윈', '엘렌 페이지', '제시 아이젠버그']",,6.68,8.19
더 테러 라이브,"['스릴러', '드라마']",한국,97분 ,2013.07.31,15세 관람가,김병우,"['하정우', '이경영', '전혜진']",,7.06,8.26
군사통제구역 팔이공지대,"['미스터리', '드라마']",한국,89분 ,2013.07.25,청소년 관람불가,구모,"['박그리나', '이승진', '김구현']",,3.82,
언프렌디드: 친구삭제,"['공포', '스릴러']",미국,83분 ,2015.05.07,15세 관람가,레오 가브리아제,"['헤더 소서맨', '쉘리 헨닝', '모세 제이콥 스톰']",5.39,6.00,6.19
강철대오: 구국의 철가방,['코미디'],한국,113분 ,2012.10.25,15세 관람가,육상효,"['김인권', '유다인', '조정석']",,5.81,6.42
베리 굿 걸,"['드라마', '멜로/로맨스']",미국,91분 ,2014.09.25,15세 관람가,나오미 포너,"['다코타 패닝', '엘리자베스 올슨', '보이드 홀브룩']",6.95,4.00,7.16
더 재킷,"['스릴러', '판타지', '공포', '드라마']",미국,102분 ,2008.01.10,15세 관람가,존 메이버리,"['애드리언 브로디', '키이라 나이틀리', '크리스 크리스토퍼슨']",,4.00,8.29
