"user_pk","id","review_count","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33"
3,"0106****","64","공조","곡성(哭聲)","닥터 스트레인지","라라랜드","로건","국제시장","변호인","스타워즈: 깨어난 포스","역린","인천상륙작전","너의 이름은.","베테랑","조작된 도시","허브","귀향","다크 나이트","마션","마스터","밀정","식객","실미도","킹스맨 : 시크릿 에이전트","판의 미로 - 오필리아와 세 개의 열쇠","7번방의 선물","나의 사랑 나의 신부","당신 거기 있어줄래요","럭키","레옹","멋진 하루","보통사람"
4,"jjun****","73","부산행","공조","너의 이름은.","라라랜드","럭키","마스터","국제시장","인천상륙작전","내부자들","모아나","캡틴 아메리카: 시빌 워","판도라","26년","검사외전","조작된 도시","김관장 대 김관장 대 김관장","프리즌","너는 펫","미스 페레그린과 이상한 아이들의 집","밀정","변호인","보통사람","스윙걸즈","씽","아수라","어벤져스: 에이지 오브 울트론","23 아이덴티티","7번방의 선물","검은 사제들","늑대소년"
14,"salt****","49","더 킹","미녀와 야수","베테랑","부산행","말할 수 없는 비밀","싱글라이더","조작된 도시","너의 이름은.","럭키","악의 연대기","인사이드 아웃","인천상륙작전","인터스텔라","킹스맨 : 시크릿 에이전트","26년","공조","님아 그 강을 건너지 마오","설국열차","콩: 스컬 아일랜드","프리즌","겨울왕국","곡성(哭聲)","국제시장","나의 사랑 나의 신부","다크 나이트 라이즈","마션","미스트","보통사람","스파이","신비한 동물사전"
15,"dani****","52","변호인","곡성(哭聲)","부산행","킹스맨 : 시크릿 에이전트","아가씨","공조","내부자들","더 킹","로건","명량","암살","터널","미녀와 야수","사도","소스 코드","싱 스트리트","엑스맨: 아포칼립스","은밀하게 위대하게","해바라기","괴물","나의 사랑 나의 신부","마스터","마음이...","세븐 데이즈","센과 치히로의 행방불명","아바타","월드워Z","추격자","콩: 스컬 아일랜드","트랜스포머 3"
22,"jhpa****","34","공조","변호인","더 킹","해빙","곡성(哭聲)","라라랜드","로건","아수라","인천상륙작전","내부자들","마스터","암살","꽃미남 연쇄 테러사건","레버넌트: 죽음에서 돌아온 자","미씽: 사라진 여자","연평해전","킹스맨 : 시크릿 에이전트","판도라","프리즌","검은 사제들","광해 왕이 된 남자","사도","수어사이드 스쿼드","스카이라인","인셉션","관상","그래비티","너의 이름은.","마파도 2","모아나"
26,"wjsr****","46","부산행","캡틴 아메리카: 시빌 워","괴물","매드맥스: 분노의 도로","변호인","아가씨","허브","역린","엽문","터미네이터 제니시스","판도라","7번방의 선물","검사외전","공각기동대 : 고스트 인 더 쉘","내부자들","마스터","수어사이드 스쿼드","아바타","암살","어바웃 타임","터널","헬로우 고스트","23 아이덴티티","검은 사제들","곡성(哭聲)","국제시장","나의 사랑 나의 신부","남과 여","너는 펫","디 워"
30,"wooj****","87","미녀와 야수","매그니피센트 7","공조","부산행","겨울왕국","더 킹","디 워","암살","해빙","23 아이덴티티","마스터","인천상륙작전","내부자들","럭키","아가씨","노브레싱","닥터 스트레인지","레미제라블","베테랑","신세계","싸이보그지만 괜찮아","조작된 도시","킹스맨 : 시크릿 에이전트","검사외전","디어 존","마음이...","뷰티 인사이드","써니","의형제","인터스텔라"
33,"ssam****","54","인터스텔라","덕혜옹주","곡성(哭聲)","내부자들","콩: 스컬 아일랜드","로건","미녀와 야수","싱글라이더","킹스맨 : 시크릿 에이전트","검은 사제들","닥터 스트레인지","명량","밀정","버드맨","베테랑","역린","엽문","공조","나를 잊지 말아요","레버넌트: 죽음에서 돌아온 자","마스터","베를린","사도","셔터 아일랜드","스파이","싸이보그지만 괜찮아","암살","26년","고스트버스터즈","관상"
41,"yjh8****","27","부산행","프리즌","인천상륙작전","공조","레지던트 이블: 파멸의 날","베테랑","럭키","밀정","명량","7광구","내부자들","라라랜드","레버넌트: 죽음에서 돌아온 자","봉이 김선달","시라노; 연애조작단","인터스텔라","캡틴 아메리카: 시빌 워","콩: 스컬 아일랜드","터널","해빙","검사외전","곡성(哭聲)","괴물의 아이","굿바이 싱글","나우 유 씨 미 2","나의 산티아고","다크 나이트","닥터 스트레인지","마스터","스타워즈: 깨어난 포스"
44,"leec****","54","부산행","곡성(哭聲)","변호인","럭키","마스터","암살","공조","명량","주토피아","아수라","인천상륙작전","콩: 스컬 아일랜드","판도라","해무","해빙","허브","군도:민란의 시대","내부자들","더 킹","밀정","싸이보그지만 괜찮아","연평해전","인터스텔라","킹스맨 : 시크릿 에이전트","터널","괴물","끝까지 간다","라라랜드","설국열차","어벤져스: 에이지 오브 울트론"
49,"rudt****","25","부산행","로건","변호인","7번방의 선물","더 킹","너의 이름은.","미녀와 야수","터널","라라랜드","마스터","싸이보그지만 괜찮아","인터스텔라","검은 사제들","곡성(哭聲)","공조","국제시장","마음이...","맨 인 더 다크","명량","베를린","베테랑","아가씨","어벤져스: 에이지 오브 울트론","은밀하게 위대하게","캡틴 아메리카: 윈터 솔져","콩: 스컬 아일랜드","판도라","공각기동대 : 고스트 인 더 쉘","과속스캔들","괴물"
51,"ckdg****","76","변호인","명량","꽃미남 연쇄 테러사건","내부자들","닥터 스트레인지","악의 연대기","럭키","마음이...","부산행","역린","인천상륙작전","니모를 찾아서 3D","님아 그 강을 건너지 마오","미션 임파서블 : 고스트 프로토콜","신비한 동물사전","암살","어벤져스: 에이지 오브 울트론","재심","콩: 스컬 아일랜드","타이타닉","26년","검사외전","검은 사제들","겨울왕국","공조","괴물","괴물의 아이","극비수사","끝까지 간다","너의 이름은."
55,"kais****","51","인터스텔라","아바타","닥터 스트레인지","럭키","명량","베를린","역린","연평해전","캡틴 아메리카: 시빌 워","허브","화려한 휴가","26년","갤로우즈","국가대표","두 남자","신부 수업","언터처블: 1%의 우정","전우치","하모니","건축학개론","검은 사제들","곡성(哭聲)","그래비티","나를 잊지 말아요","늑대소년","다크 나이트","디 워","라라랜드","배트맨 대 슈퍼맨: 저스티스의 시작","뷰티 인사이드"
58,"mien****","31","미녀와 야수","레지던트 이블: 파멸의 날","부산행","더 킹","라라랜드","곡성(哭聲)","명량","암살","다크 나이트","밀정","인천상륙작전","프리즌","검사외전","닥터 스트레인지","로건","겨울왕국","국제시장","김관장 대 김관장 대 김관장","나의 사랑 나의 신부","디 워","럭키","베테랑","역린","콩: 스컬 아일랜드","해빙","화려한 휴가","검은 사제들","괴물의 아이","국가대표","내부자들"
66,"zmff****","46","미녀와 야수","곡성(哭聲)","너의 이름은.","마음이...","명량","닥터 스트레인지","암살","인천상륙작전","인터스텔라","라라랜드","럭키","마스터","밀정","변호인","판도라","해빙","겨울왕국","디 워","베테랑","아저씨","엑스맨: 아포칼립스","제이슨 본","킹스맨 : 시크릿 에이전트","패신저스","검사외전","고질라","국제시장","내부자들","다크 나이트","다크 나이트 라이즈"
