"user_pk","id","review_count","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","V34"
3,"0106****","64","이탈리안 잡","식스틴 블럭","폭풍 속으로","강철중: 공공의 적 1-1","킬 빌 - 2부","로드 오브 워","트레이닝 데이","옹박 - 두번째 미션","퍼펙트","사보타지","데드폴","폴리스 스토리 2014","분노의 질주: 언리미티드","무간도 2 - 혼돈의 시대","히트","리클레임","폭력의 역사","뷰티풀 선데이","쓰리데이즈 투 킬","테이큰","닌자 어쌔신","콘트라밴드","니드 포 스피드","씬 시티","호스티지","프레셔스 카고 : 프로 범죄단","이지 머니","맨 온 파이어","마이애미 바이스","첩혈쌍웅",NA
4,"jjun****","73","박치기!","괴물","쏜다","핸콕","미스터 고","고","은밀하게 위대하게","개들의 전쟁","덩크 슛","감자 심포니","조선미녀삼총사","간첩","헬보이 2: 골든 아미","폼페이: 최후의 날","황후花","쉬리","말죽거리 잔혹사","더 레블 - 영웅의 피","나는 야한 여자가 좋다","불꽃처럼 나비처럼","겟 썸","천장지구","정무문","장고:분노의 추적자","몬테 크리스토 백작","동창생","탑 건","파이트 클럽","알투비:리턴투베이스","역도산",NA
14,"salt****","49","동창생","탑 건","파이트 클럽","알투비:리턴투베이스","역도산","록키 발보아","화이트 하우스 다운","무적자","더 레슬러","동사서독 리덕스","암살","협녀 칼의 기억","베를린","황혼의 사무라이","우는 남자","강남 1970","천하제일검","무림쟁패: 황제암살단","의형제","표적","워리어","글래디에이터","러시 : 더 라이벌","정무문 : 100대 1의 전설","엽문","서울","아나키스트","대한민국 1%","스톤","전설의 주먹",NA
15,"dani****","52","이탈리안 잡","식스틴 블럭","폭풍 속으로","괴물","강철중: 공공의 적 1-1","코어","엑스맨: 퍼스트 클래스","심연","2012","월드워Z","킬 빌 - 2부","로드 오브 워","트레이닝 데이","옹박 - 두번째 미션","퍼펙트","사보타지","데드폴","폴리스 스토리 2014","분노의 질주: 언리미티드","무간도 2 - 혼돈의 시대","히트","리클레임","폭력의 역사","뷰티풀 선데이","쓰리데이즈 투 킬","생텀","테이큰","닌자 어쌔신","콘트라밴드","니드 포 스피드",NA
22,"jhpa****","34","동창생","탑 건","파이트 클럽","알투비:리턴투베이스","역도산","록키 발보아","화이트 하우스 다운","무적자","더 레슬러","동사서독 리덕스","암살","협녀 칼의 기억","베를린","황혼의 사무라이","우는 남자","강남 1970","천하제일검","무림쟁패: 황제암살단","의형제","표적","워리어","글래디에이터","러시 : 더 라이벌","정무문 : 100대 1의 전설","엽문","서울","아나키스트","대한민국 1%","스톤","전설의 주먹",NA
26,"wjsr****","46","괴물","아마겟돈","코어","엑스맨: 퍼스트 클래스","심연","2012","월드워Z","왓치맨","폼페이: 최후의 날","타이탄","헌츠맨: 윈터스 워","토르: 천둥의 신","섀도우 헌터스 : 뼈의 도시","생텀","콘스탄틴","포세이돈","동창생","탑 건","파이트 클럽","알투비:리턴투베이스","역도산","록키 발보아","화이트 하우스 다운","무적자","더 레슬러","동사서독 리덕스","암살","협녀 칼의 기억","베를린","황혼의 사무라이",NA
30,"wooj****","87","괴물","생텀","포세이돈","코어","엑스맨: 퍼스트 클래스","심연","2012","월드워Z","몬테 크리스토 백작","이탈리안 잡","식스틴 블럭","폭풍 속으로","쏜다","더 웨이브","아포칼립토","어카운턴트","잭 라이언 : 코드네임 쉐도우","한반도","언노운","에너미 오브 스테이트","13시간","감기","썸 오브 올 피어스","샌 안드레아스","올 이즈 로스트","더블 타겟","투어리스트","머큐리","제로 다크 서티","언스토퍼블",NA
33,"ssam****","54","더 웨이브","어카운턴트","잭 라이언 : 코드네임 쉐도우","한반도","언노운","에너미 오브 스테이트","13시간","썸 오브 올 피어스","샌 안드레아스","더블 타겟","투어리스트","머큐리","제로 다크 서티","언스토퍼블","미친개들","타워링","나이트 플라이트","볼케이노","크림슨 타이드","메카닉","스니치","엣지 오브 다크니스","밴티지 포인트","스푹스:MI5","신의 전사","배틀로얄","하이-라이즈","디스트릭트 9","브이 포 벤데타","크로니클",NA
41,"yjh8****","27","동창생","탑 건","파이트 클럽","알투비:리턴투베이스","역도산","록키 발보아","화이트 하우스 다운","무적자","더 레슬러","동사서독 리덕스","암살","협녀 칼의 기억","베를린","황혼의 사무라이","우는 남자","강남 1970","천하제일검","무림쟁패: 황제암살단","의형제","표적","워리어","글래디에이터","러시 : 더 라이벌","정무문 : 100대 1의 전설","엽문","서울","아나키스트","대한민국 1%","스톤","전설의 주먹",NA
44,"leec****","54","동창생","탑 건","파이트 클럽","알투비:리턴투베이스","역도산","록키 발보아","화이트 하우스 다운","무적자","더 레슬러","동사서독 리덕스","암살","협녀 칼의 기억","베를린","황혼의 사무라이","우는 남자","강남 1970","천하제일검","무림쟁패: 황제암살단","의형제","표적","워리어","글래디에이터","러시 : 더 라이벌","정무문 : 100대 1의 전설","엽문","서울","아나키스트","대한민국 1%","스톤","전설의 주먹",NA
