"user_pk","id","review_count","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33"
3,"0106****","64","곡성(哭聲)","변호인","럭키","공조","너의 이름은.","인천상륙작전","밀정","마스터","라라랜드","베테랑","킹스맨 : 시크릿 에이전트","아수라","로건","터널","판도라","국제시장","조작된 도시","닥터 스트레인지","설국열차","해빙","어벤져스: 에이지 오브 울트론","디 워","공각기동대 : 고스트 인 더 쉘","보통사람","연평해전","역린","매드맥스: 분노의 도로","헬로우 고스트","덕혜옹주","겨울왕국"
4,"jjun****","73","부산행","변호인","럭키","공조","너의 이름은.","인천상륙작전","밀정","마스터","라라랜드","프리즌","아수라","콩: 스컬 아일랜드","캡틴 아메리카: 시빌 워","내부자들","터널","판도라","국제시장","조작된 도시","닥터 스트레인지","아가씨","설국열차","검사외전","어벤져스: 에이지 오브 울트론","공각기동대 : 고스트 인 더 쉘","검은 사제들","레버넌트: 죽음에서 돌아온 자","보통사람","연평해전","역린","매드맥스: 분노의 도로"
14,"salt****","49","부산행","곡성(哭聲)","미녀와 야수","럭키","더 킹","명량","인터스텔라","공조","너의 이름은.","인천상륙작전","베테랑","프리즌","킹스맨 : 시크릿 에이전트","콩: 스컬 아일랜드","로건","내부자들","터널","국제시장","조작된 도시","닥터 스트레인지","아가씨","설국열차","해빙","검사외전","디 워","검은 사제들","보통사람","연평해전","역린","헬로우 고스트"
15,"dani****","52","부산행","곡성(哭聲)","변호인","미녀와 야수","더 킹","명량","공조","너의 이름은.","마스터","라라랜드","베테랑","킹스맨 : 시크릿 에이전트","암살","콩: 스컬 아일랜드","로건","내부자들","터널","국제시장","조작된 도시","아가씨","해빙","검사외전","어벤져스: 에이지 오브 울트론","디 워","공각기동대 : 고스트 인 더 쉘","검은 사제들","레버넌트: 죽음에서 돌아온 자","보통사람","연평해전","역린"
22,"jhpa****","34","곡성(哭聲)","변호인","더 킹","인터스텔라","공조","너의 이름은.","인천상륙작전","마스터","라라랜드","프리즌","킹스맨 : 시크릿 에이전트","아수라","암살","콩: 스컬 아일랜드","로건","내부자들","판도라","닥터 스트레인지","설국열차","해빙","검사외전","어벤져스: 에이지 오브 울트론","디 워","공각기동대 : 고스트 인 더 쉘","검은 사제들","레버넌트: 죽음에서 돌아온 자","보통사람","연평해전","역린","매드맥스: 분노의 도로"
26,"wjsr****","46","부산행","곡성(哭聲)","변호인","미녀와 야수","럭키","더 킹","명량","공조","밀정","마스터","라라랜드","베테랑","프리즌","킹스맨 : 시크릿 에이전트","아수라","암살","콩: 스컬 아일랜드","로건","캡틴 아메리카: 시빌 워","내부자들","터널","판도라","국제시장","조작된 도시","닥터 스트레인지","아가씨","설국열차","해빙","검사외전","어벤져스: 에이지 오브 울트론"
30,"wooj****","87","부산행","미녀와 야수","럭키","더 킹","인터스텔라","공조","인천상륙작전","마스터","베테랑","킹스맨 : 시크릿 에이전트","암살","캡틴 아메리카: 시빌 워","내부자들","판도라","국제시장","조작된 도시","닥터 스트레인지","아가씨","설국열차","해빙","검사외전","어벤져스: 에이지 오브 울트론","디 워","공각기동대 : 고스트 인 더 쉘","검은 사제들","레버넌트: 죽음에서 돌아온 자","연평해전","매드맥스: 분노의 도로","헬로우 고스트","덕혜옹주"
33,"ssam****","54","곡성(哭聲)","변호인","미녀와 야수","명량","인터스텔라","공조","너의 이름은.","밀정","마스터","베테랑","킹스맨 : 시크릿 에이전트","아수라","암살","콩: 스컬 아일랜드","로건","내부자들","판도라","조작된 도시","닥터 스트레인지","설국열차","어벤져스: 에이지 오브 울트론","디 워","공각기동대 : 고스트 인 더 쉘","검은 사제들","레버넌트: 죽음에서 돌아온 자","보통사람","연평해전","역린","매드맥스: 분노의 도로","헬로우 고스트"
41,"yjh8****","27","부산행","곡성(哭聲)","럭키","명량","인터스텔라","공조","인천상륙작전","밀정","마스터","라라랜드","베테랑","프리즌","아수라","콩: 스컬 아일랜드","캡틴 아메리카: 시빌 워","내부자들","터널","판도라","조작된 도시","닥터 스트레인지","아가씨","설국열차","해빙","검사외전","어벤져스: 에이지 오브 울트론","디 워","공각기동대 : 고스트 인 더 쉘","검은 사제들","레버넌트: 죽음에서 돌아온 자","보통사람"
44,"leec****","54","부산행","곡성(哭聲)","변호인","럭키","더 킹","명량","인터스텔라","공조","너의 이름은.","인천상륙작전","밀정","마스터","라라랜드","프리즌","킹스맨 : 시크릿 에이전트","아수라","암살","콩: 스컬 아일랜드","로건","캡틴 아메리카: 시빌 워","내부자들","터널","판도라","조작된 도시","아가씨","설국열차","해빙","검사외전","어벤져스: 에이지 오브 울트론","디 워"
49,"rudt****","25","부산행","곡성(哭聲)","변호인","미녀와 야수","럭키","더 킹","명량","인터스텔라","공조","너의 이름은.","인천상륙작전","밀정","마스터","라라랜드","베테랑","킹스맨 : 시크릿 에이전트","아수라","암살","콩: 스컬 아일랜드","로건","터널","판도라","국제시장","조작된 도시","닥터 스트레인지","아가씨","설국열차","해빙","어벤져스: 에이지 오브 울트론","디 워"
51,"ckdg****","76","부산행","변호인","미녀와 야수","럭키","더 킹","명량","공조","너의 이름은.","인천상륙작전","밀정","마스터","라라랜드","베테랑","암살","콩: 스컬 아일랜드","로건","내부자들","판도라","국제시장","조작된 도시","닥터 스트레인지","아가씨","해빙","검사외전","어벤져스: 에이지 오브 울트론","디 워","공각기동대 : 고스트 인 더 쉘","검은 사제들","레버넌트: 죽음에서 돌아온 자","보통사람"
55,"kais****","51","곡성(哭聲)","미녀와 야수","럭키","더 킹","명량","인터스텔라","인천상륙작전","밀정","마스터","라라랜드","프리즌","킹스맨 : 시크릿 에이전트","로건","캡틴 아메리카: 시빌 워","판도라","조작된 도시","닥터 스트레인지","아가씨","설국열차","검사외전","어벤져스: 에이지 오브 울트론","디 워","공각기동대 : 고스트 인 더 쉘","검은 사제들","레버넌트: 죽음에서 돌아온 자","보통사람","연평해전","역린","헬로우 고스트","덕혜옹주"
58,"mien****","31","부산행","곡성(哭聲)","미녀와 야수","럭키","더 킹","명량","공조","인천상륙작전","밀정","마스터","라라랜드","베테랑","프리즌","킹스맨 : 시크릿 에이전트","아수라","암살","콩: 스컬 아일랜드","로건","캡틴 아메리카: 시빌 워","내부자들","터널","판도라","국제시장","조작된 도시","닥터 스트레인지","아가씨","설국열차","해빙","검사외전","어벤져스: 에이지 오브 울트론"
66,"zmff****","46","곡성(哭聲)","변호인","미녀와 야수","럭키","명량","인터스텔라","너의 이름은.","인천상륙작전","밀정","마스터","라라랜드","베테랑","프리즌","킹스맨 : 시크릿 에이전트","아수라","암살","캡틴 아메리카: 시빌 워","내부자들","터널","판도라","국제시장","닥터 스트레인지","아가씨","설국열차","해빙","검사외전","어벤져스: 에이지 오브 울트론","디 워","공각기동대 : 고스트 인 더 쉘","검은 사제들"
67,"psyc****","78","부산행","곡성(哭聲)","변호인","미녀와 야수","럭키","인터스텔라","인천상륙작전","마스터","프리즌","아수라","암살","로건","캡틴 아메리카: 시빌 워","내부자들","터널","판도라","국제시장","닥터 스트레인지","아가씨","설국열차","해빙","검사외전","어벤져스: 에이지 오브 울트론","디 워","공각기동대 : 고스트 인 더 쉘","레버넌트: 죽음에서 돌아온 자","보통사람","연평해전","매드맥스: 분노의 도로","헬로우 고스트"
72,"tndu****","62","곡성(哭聲)","변호인","미녀와 야수","럭키","더 킹","명량","인터스텔라","너의 이름은.","인천상륙작전","밀정","프리즌","아수라","콩: 스컬 아일랜드","캡틴 아메리카: 시빌 워","터널","국제시장","아가씨","설국열차","해빙","검사외전","어벤져스: 에이지 오브 울트론","디 워","공각기동대 : 고스트 인 더 쉘","레버넌트: 죽음에서 돌아온 자","연평해전","역린","헬로우 고스트","겨울왕국","26년","아바타"
78,"ekdn****","30","변호인","미녀와 야수","럭키","더 킹","인터스텔라","너의 이름은.","인천상륙작전","마스터","베테랑","프리즌","킹스맨 : 시크릿 에이전트","아수라","암살","콩: 스컬 아일랜드","로건","캡틴 아메리카: 시빌 워","내부자들","터널","국제시장","조작된 도시","아가씨","설국열차","해빙","어벤져스: 에이지 오브 울트론","디 워","공각기동대 : 고스트 인 더 쉘","검은 사제들","보통사람","연평해전","역린"
79,"sean****","58","부산행","변호인","미녀와 야수","럭키","명량","인터스텔라","공조","너의 이름은.","인천상륙작전","밀정","마스터","라라랜드","베테랑","프리즌","킹스맨 : 시크릿 에이전트","아수라","암살","콩: 스컬 아일랜드","로건","내부자들","터널","조작된 도시","닥터 스트레인지","아가씨","설국열차","해빙","어벤져스: 에이지 오브 울트론","디 워","검은 사제들","레버넌트: 죽음에서 돌아온 자"
82,"vero****","47","부산행","곡성(哭聲)","변호인","미녀와 야수","더 킹","명량","공조","인천상륙작전","마스터","라라랜드","베테랑","프리즌","킹스맨 : 시크릿 에이전트","아수라","암살","콩: 스컬 아일랜드","로건","캡틴 아메리카: 시빌 워","내부자들","터널","판도라","국제시장","조작된 도시","닥터 스트레인지","아가씨","설국열차","해빙","검사외전","디 워","공각기동대 : 고스트 인 더 쉘"
84,"hyej****","72","부산행","곡성(哭聲)","변호인","럭키","더 킹","명량","인터스텔라","공조","인천상륙작전","마스터","라라랜드","킹스맨 : 시크릿 에이전트","아수라","콩: 스컬 아일랜드","캡틴 아메리카: 시빌 워","내부자들","터널","판도라","닥터 스트레인지","아가씨","검사외전","디 워","공각기동대 : 고스트 인 더 쉘","검은 사제들","레버넌트: 죽음에서 돌아온 자","보통사람","연평해전","역린","헬로우 고스트","덕혜옹주"
87,"momo****","64","부산행","변호인","미녀와 야수","럭키","더 킹","명량","너의 이름은.","인천상륙작전","밀정","라라랜드","베테랑","프리즌","킹스맨 : 시크릿 에이전트","아수라","암살","콩: 스컬 아일랜드","로건","캡틴 아메리카: 시빌 워","내부자들","터널","판도라","닥터 스트레인지","아가씨","설국열차","해빙","어벤져스: 에이지 오브 울트론","디 워","공각기동대 : 고스트 인 더 쉘","검은 사제들","레버넌트: 죽음에서 돌아온 자"
93,"choo****","69","변호인","미녀와 야수","명량","인터스텔라","공조","마스터","라라랜드","베테랑","프리즌","킹스맨 : 시크릿 에이전트","아수라","콩: 스컬 아일랜드","로건","캡틴 아메리카: 시빌 워","내부자들","판도라","국제시장","조작된 도시","닥터 스트레인지","설국열차","해빙","검사외전","어벤져스: 에이지 오브 울트론","디 워","공각기동대 : 고스트 인 더 쉘","검은 사제들","레버넌트: 죽음에서 돌아온 자","보통사람","연평해전","역린"
94,"iamy****","30","부산행","변호인","미녀와 야수","럭키","더 킹","인터스텔라","공조","너의 이름은.","인천상륙작전","밀정","마스터","라라랜드","베테랑","프리즌","킹스맨 : 시크릿 에이전트","아수라","암살","콩: 스컬 아일랜드","로건","캡틴 아메리카: 시빌 워","내부자들","터널","판도라","국제시장","조작된 도시","닥터 스트레인지","설국열차","해빙","검사외전","어벤져스: 에이지 오브 울트론"
98,"thdu****","98","부산행","곡성(哭聲)","미녀와 야수","럭키","더 킹","명량","인터스텔라","공조","너의 이름은.","밀정","마스터","라라랜드","아수라","암살","콩: 스컬 아일랜드","로건","터널","판도라","국제시장","조작된 도시","닥터 스트레인지","해빙","검사외전","어벤져스: 에이지 오브 울트론","디 워","검은 사제들","레버넌트: 죽음에서 돌아온 자","보통사람","연평해전","역린"
103,"sunw****","40","곡성(哭聲)","변호인","미녀와 야수","더 킹","인터스텔라","공조","너의 이름은.","인천상륙작전","마스터","라라랜드","베테랑","킹스맨 : 시크릿 에이전트","아수라","암살","콩: 스컬 아일랜드","로건","내부자들","터널","국제시장","조작된 도시","닥터 스트레인지","아가씨","설국열차","검사외전","어벤져스: 에이지 오브 울트론","디 워","검은 사제들","레버넌트: 죽음에서 돌아온 자","보통사람","연평해전"
