"user_pk","id","review_count","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33"
3,"0106****","64","킹스맨 : 시크릿 에이전트","곡성(哭聲)","공조","닥터 스트레인지","마음이...","인천상륙작전","혹성탈출: 반격의 서막","국제시장","다크 나이트","다크 나이트 라이즈","럭키","밀정","조작된 도시","해적: 바다로 간 산적","나우 유 씨 미 2","너의 이름은.","로건","마스터","말할 수 없는 비밀","매드맥스: 분노의 도로","베테랑","변호인","사도","아바타","인셉션","해빙","26년","7번방의 선물","라라랜드","레미제라블"
4,"jjun****","73","부산행","캡틴 아메리카: 시빌 워","인천상륙작전","럭키","콩: 스컬 아일랜드","공조","마스터","매드맥스: 분노의 도로","뷰티 인사이드","세 얼간이","조작된 도시","7번방의 선물","국제시장","군도:민란의 시대","다크 나이트","닥터 스트레인지","라라랜드","연평해전","터널","검은 사제들","과속스캔들","내부자들","넛잡: 땅콩 도둑들","도리를 찾아서","밀정","변호인","사도","아가씨","아바타","어벤져스: 에이지 오브 울트론"
14,"salt****","49","부산행","미녀와 야수","너의 이름은.","얼라이드","인천상륙작전","국제시장","프리즌","닥터 스트레인지","더 킹","명량","싱글라이더","터널","검사외전","극비수사","내부자들","베테랑","아저씨","연평해전","인터스텔라","해무","23 아이덴티티","곡성(哭聲)","귀향","님아 그 강을 건너지 마오","럭키","미씽: 사라진 여자","신비한 동물사전","주토피아","헬로우 고스트","26년"
15,"dani****","52","곡성(哭聲)","국제시장","베테랑","부산행","너의 이름은.","매드맥스: 분노의 도로","아가씨","어벤져스: 에이지 오브 울트론","콩: 스컬 아일랜드","검은 사제들","명량","싱글라이더","암살","검사외전","남과 여","더 킹","마음이...","미씽: 사라진 여자","사도","킹스맨 : 시크릿 에이전트","26년","공조","괴물","나의 사랑 나의 신부","라라랜드","로그 원: 스타워즈 스토리","마스터","변호인","신데렐라","아델라인 : 멈춰진 시간"
22,"jhpa****","34","인천상륙작전","공조","아수라","변호인","프리즌","라라랜드","킹스맨 : 시크릿 에이전트","곡성(哭聲)","공각기동대 : 고스트 인 더 쉘","너의 이름은.","마스터","스카이라인","암살","월드워Z","인셉션","인터스텔라","인투 더 스톰","해빙","해적: 바다로 간 산적","광해 왕이 된 남자","김씨 표류기","꽃미남 연쇄 테러사건","더 킹","두 남자","모아나","미씽: 사라진 여자","베를린","싱글라이더","토르: 천둥의 신","국가대표"
26,"wjsr****","46","부산행","레버넌트: 죽음에서 돌아온 자","변호인","캡틴 아메리카: 시빌 워","23 아이덴티티","명량","해빙","괴물","콩: 스컬 아일랜드","킹스맨 : 시크릿 에이전트","검사외전","검은 사제들","곡성(哭聲)","공각기동대 : 고스트 인 더 쉘","다크 나이트 라이즈","럭키","미녀와 야수","베테랑","설국열차","인디펜던스 데이: 리써전스","검은 집","국제시장","다세포 소녀","밀정","암살","애정결핍이 두 남자에게 미치는 영향","어벤져스: 에이지 오브 울트론","역린","조작된 도시","터널"
30,"wooj****","87","미녀와 야수","마스터","매그니피센트 7","부산행","인천상륙작전","더 킹","럭키","킹스맨 : 시크릿 에이전트","23 아이덴티티","검은 사제들","겨울왕국","극비수사","다크 나이트 라이즈","인터스텔라","해빙","공각기동대 : 고스트 인 더 쉘","다크 나이트","닥터 스트레인지","데드풀","디 워","마음이...","세 얼간이","엽문","주토피아","검사외전","그래비티","라디오 스타","레미제라블","메가마인드","미씽: 사라진 여자"
33,"ssam****","54","덕혜옹주","킹스맨 : 시크릿 에이전트","판도라","암살","곡성(哭聲)","미녀와 야수","베테랑","변호인","세 얼간이","싱글라이더","인터스텔라","그랑프리","로건","명량","콩: 스컬 아일랜드","공조","극비수사","내부자들","너의 이름은.","다크 나이트","디 워","마스터","역린","해운대","7번방의 선물","검은 사제들","과속스캔들","군도:민란의 시대","귀향","꽃미남 연쇄 테러사건"
41,"yjh8****","27","인터스텔라","라라랜드","말할 수 없는 비밀","부산행","공조","닥터 스트레인지","베테랑","어벤져스: 에이지 오브 울트론","캡틴 아메리카: 시빌 워","콩: 스컬 아일랜드","프리즌","호빗: 다섯 군대 전투","혹성탈출: 반격의 서막","검은 사제들","고지전","괴물의 아이","내부자들","레버넌트: 죽음에서 돌아온 자","레지던트 이블: 파멸의 날","마음이...","매드맥스: 분노의 도로","명량","시라노; 연애조작단","신세계","인천상륙작전","조작된 도시","쥬라기 월드","해무","7번방의 선물","검사외전"
44,"leec****","54","부산행","변호인","터널","라라랜드","공조","그래비티","더 킹","밀정","인셉션","킹스맨 : 시크릿 에이전트","곡성(哭聲)","너의 이름은.","보통사람","암살","어바웃 타임","인천상륙작전","판도라","괴물","럭키","명량","설국열차","연평해전","재심","조작된 도시","7번방의 선물","겨울왕국","공각기동대 : 고스트 인 더 쉘","군도:민란의 시대","내부자들","마스터"
