"user_pk","id","review_count","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33"
3,"0106****","64",8.53846153846154,8.5,9.33333333333333,8.77777777777778,10,9.55555555555556,9.22222222222222,9.625,9.25,9.375,8.375,8.125,8.125,7.625,8,9,10,6.28571428571429,8.71428571428571,9,9.28571428571429,4.85714285714286,5.85714285714286,9.71428571428571,9.71428571428571,5.42857142857143,5.5,10,9.66666666666667,7
4,"jjun****","73",7.5,7.69230769230769,8.08333333333333,8.1,7.3,8.55555555555556,6,9.55555555555556,8.66666666666667,9.33333333333333,9.11111111111111,8.25,7.75,6.875,9.25,9.125,8.625,8.25,8.625,9.14285714285714,9.14285714285714,8.28571428571429,6.14285714285714,8.57142857142857,7.85714285714286,7.71428571428571,7.71428571428571,6,9.28571428571429,7.85714285714286
14,"salt****","49",6.77777777777778,9.66666666666667,9.27272727272727,9,9.6,8.22222222222222,7.88888888888889,8.625,8,9.125,9.125,8.375,6.71428571428571,8,9.14285714285714,7.28571428571429,8.57142857142857,8.71428571428571,8.57142857142857,7.14285714285714,5.33333333333333,8.16666666666667,10,10,6.16666666666667,7,6.5,9.5,8.5,9.2
15,"dani****","52",9.5,8.4,9.4,7.5,9.125,9.5,5.375,7.875,6.875,9.28571428571429,7.28571428571429,5.71428571428571,7.71428571428571,5.5,9.16666666666667,7.16666666666667,9.66666666666667,8.16666666666667,7.66666666666667,9.66666666666667,8.2,8.4,9.6,7.6,6.8,7.6,6.8,8.2,4.6,6.8
22,"jhpa****","34",6.5,7.88888888888889,6.66666666666667,7.75,6.875,9.28571428571429,8.42857142857143,7.5,6.66666666666667,9.16666666666667,8.66666666666667,5.16666666666667,9.66666666666667,8,6.16666666666667,8.66666666666667,8.33333333333333,4.33333333333333,8.83333333333333,9.8,9.4,9.8,8.4,5.8,10,5.4,9,9.2,7,10
26,"wjsr****","46",7.08333333333333,8.3,9.88888888888889,8.55555555555556,8.25,8,5.375,9,5.85714285714286,8.14285714285714,4.33333333333333,8.33333333333333,6.83333333333333,7.83333333333333,7.83333333333333,8.66666666666667,7,9.33333333333333,7.66666666666667,5.83333333333333,8,9.2,1,9.4,8.6,1.8,8.4,6.6,8.4,7.2
30,"wooj****","87",8.4375,8.61538461538461,9.41666666666667,8.25,9.5,7.77777777777778,8.66666666666667,9.55555555555556,7.5,8.25,9,8.625,6.25,10,5.125,6.71428571428571,8.42857142857143,8.57142857142857,7.85714285714286,5.85714285714286,10,9.85714285714286,10,9.28571428571429,7.66666666666667,9,9.5,4.83333333333333,8.83333333333333,8.5
33,"ssam****","54",9.51851851851852,9.30769230769231,8.91666666666667,9.18181818181818,8.3,9.1,9.1,8.7,9.5,6.6,9.1,8.88888888888889,8.88888888888889,8.88888888888889,6.44444444444444,8,8.71428571428571,8.28571428571429,8.85714285714286,9.85714285714286,7.28571428571429,8.14285714285714,8.14285714285714,6,9.16666666666667,9.33333333333333,9.5,5.83333333333333,8.5,7.83333333333333
41,"yjh8****","27",8.7,9.125,10,9.125,7.71428571428571,8.71428571428571,9.57142857142857,7.57142857142857,9.28571428571429,7.85714285714286,9.14285714285714,8.57142857142857,9.28571428571429,5,8.66666666666667,9.83333333333333,8.33333333333333,8.83333333333333,9.33333333333333,10,9.5,7.83333333333333,9.33333333333333,9,9.83333333333333,8.33333333333333,8.16666666666667,8,9.2,9.6
44,"leec****","54",6.07692307692308,8.33333333333333,7.33333333333333,9.90909090909091,5.9,9.33333333333333,6.66666666666667,8.44444444444444,9.44444444444444,7.55555555555556,7.125,7.125,7.75,8,7.75,7.625,5.625,9.28571428571429,7.57142857142857,9.85714285714286,9,7.71428571428571,7.28571428571429,6.42857142857143,10,10,8,4.83333333333333,7.16666666666667,7.16666666666667
49,"rudt****","25",5.7,8,7.625,9.75,8.42857142857143,10,9.5,8.83333333333333,9.33333333333333,10,9,8.8,9.4,7.8,8.2,9.8,9.6,8,10,9.6,9.6,6.6,7.2,8.5,9.5,9.75,10,9.75,9.75,8
51,"ckdg****","76",8.54545454545454,8.1,9.7,7.55555555555556,8.88888888888889,9.33333333333333,7,6.25,8.5,7.5,8.125,9.5,9.125,9.14285714285714,7.71428571428571,7.42857142857143,6.57142857142857,8.42857142857143,9.14285714285714,5.71428571428571,8.28571428571429,6.14285714285714,5.57142857142857,9.42857142857143,7.71428571428571,8.57142857142857,8.14285714285714,9.85714285714286,6.14285714285714,7.14285714285714
55,"kais****","51",7.30769230769231,7.33333333333333,9.66666666666667,6.55555555555556,6.125,8.85714285714286,7.85714285714286,8.85714285714286,9.71428571428571,9.42857142857143,9.42857142857143,7.66666666666667,6,9.16666666666667,7.66666666666667,7.66666666666667,10,8.16666666666667,7.5,9.16666666666667,8.5,6.5,8.5,8,6.5,5.83333333333333,7.83333333333333,7.66666666666667,9.66666666666667,8.2
58,"mien****","31",8.72222222222222,8.63636363636364,8.72727272727273,5.4,7.2,7.5,8.8,7.88888888888889,7.66666666666667,9.75,7,7.75,7.625,9.75,8,6.14285714285714,9,8.14285714285714,9.57142857142857,8.28571428571429,8.71428571428571,7.28571428571429,4.14285714285714,8.66666666666667,6.83333333333333,9.33333333333333,8.5,8,9,9.5
66,"zmff****","46",9.23076923076923,8.08333333333333,7.6,4.2,9,8.88888888888889,5.22222222222222,8.55555555555556,9.44444444444444,6.77777777777778,4.375,9.25,7.125,7.75,7.5,8.625,9.25,9.5,9,7.57142857142857,9.71428571428571,8,7.71428571428571,8.16666666666667,9.83333333333333,9.16666666666667,9.33333333333333,8.33333333333333,8,7
67,"psyc****","78",9.10526315789474,7.875,6,8.25,9,8.08333333333333,7.58333333333333,8.09090909090909,9.36363636363636,9.72727272727273,8.18181818181818,8.09090909090909,8.5,7.8,9.7,5.4,7.9,9.22222222222222,7.55555555555556,8.66666666666667,8.77777777777778,6.875,9,9.125,8.125,8.25,8.875,8.625,6.57142857142857,8.71428571428571
72,"tndu****","62",9.30769230769231,7.45454545454545,8.22222222222222,9.44444444444444,9.44444444444444,8.55555555555556,7,7.55555555555556,9.125,7.375,9,7.75,8.875,7.85714285714286,9.85714285714286,9.42857142857143,5,6.71428571428571,9.42857142857143,5.71428571428571,8.71428571428571,8.5,6.33333333333333,6.33333333333333,9.16666666666667,8.5,10,8.5,10,8.33333333333333
78,"ekdn****","30",8.9,8,8.625,5.66666666666667,3.5,9.66666666666667,5.33333333333333,9.16666666666667,9.83333333333333,9.66666666666667,6.83333333333333,6.66666666666667,8,7.5,8,9.8,8.2,8.4,6.8,7.6,9.2,7.8,6.8,7.6,6.6,8,5.2,8,5.4,9.2
79,"sean****","58",7.53846153846154,9.3,8,8.66666666666667,8.66666666666667,9.44444444444444,8.875,6.25,7.125,6.625,8.14285714285714,6.28571428571429,9.14285714285714,10,9.71428571428571,6,7.85714285714286,7.28571428571429,8.28571428571429,7.5,5.66666666666667,8,8.16666666666667,7.66666666666667,9.5,8.66666666666667,5.66666666666667,5.16666666666667,10,7.5
82,"vero****","47",8.35714285714286,8.46153846153846,7.41666666666667,7.63636363636364,8.7,8.3,8,8.125,8,8.375,9,8.625,7.5,9.25,8.57142857142857,6.57142857142857,8.71428571428571,7.85714285714286,10,9,7.85714285714286,2.5,8.5,5.66666666666667,8.33333333333333,9.83333333333333,8.5,9.83333333333333,7.33333333333333,9
