"user_pk","id","review_count","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33"
3,"0106****",64,"곡성(哭聲)","공조","너의 이름은.","인천상륙작전","라라랜드","킹스맨 : 시크릿 에이전트","판도라","럭키","베테랑","로건","변호인","마스터","밀정","디 워","겨울왕국","국제시장","닥터 스트레인지","아수라","해빙","사도","조작된 도시","덕혜옹주","모아나","싱글라이더","주토피아","터널","아저씨","역린","헬로우 고스트","공각기동대 : 고스트 인 더 쉘"
4,"jjun****",73,"부산행","공조","콩: 스컬 아일랜드","너의 이름은.","인천상륙작전","라라랜드","판도라","럭키","변호인","아가씨","마스터","내부자들","밀정","인디펜던스 데이: 리써전스","겨울왕국","국제시장","닥터 스트레인지","아수라","사도","조작된 도시","모아나","싱글라이더","주토피아","캡틴 아메리카: 시빌 워","터널","역린","프리즌","공각기동대 : 고스트 인 더 쉘","레버넌트: 죽음에서 돌아온 자","인셉션"
14,"salt****",49,"부산행","미녀와 야수","곡성(哭聲)","겨울왕국","너의 이름은.","명량","국제시장","더 킹","럭키","프리즌","인터스텔라","공조","님아 그 강을 건너지 마오","로건","인천상륙작전","콩: 스컬 아일랜드","베테랑","설국열차","아바타","재심","조작된 도시","킹스맨 : 시크릿 에이전트","터널","해빙","디 워","모아나","검사외전","내부자들","말할 수 없는 비밀","아가씨"
15,"dani****",52,"곡성(哭聲)","부산행","변호인","암살","내부자들","명량","더 킹","터널","마스터","아가씨","검은 사제들","공조","괴물","너의 이름은.","다크 나이트","로건","베테랑","어벤져스: 에이지 오브 울트론","공각기동대 : 고스트 인 더 쉘","남과 여","도둑들","디 워","인디펜던스 데이: 리써전스","검사외전","주토피아","레버넌트: 죽음에서 돌아온 자","쇼생크 탈출","아저씨","인턴","킹스맨 : 시크릿 에이전트"
22,"jhpa****",34,"라라랜드","곡성(哭聲)","킹스맨 : 시크릿 에이전트","판도라","더 킹","마스터","프리즌","검사외전","해빙","공조","너의 이름은.","아수라","인천상륙작전","변호인","사도","암살","인터스텔라","콩: 스컬 아일랜드","검은 사제들","로건","내부자들","닥터 스트레인지","두 남자","레버넌트: 죽음에서 돌아온 자","설국열차","연평해전","쿵푸팬더3","해무","7번방의 선물","김씨 표류기"
26,"wjsr****",46,"좋은 놈 나쁜 놈 이상한 놈","곡성(哭聲)","럭키","킹스맨 : 시크릿 에이전트","내부자들","더 킹","명량","부산행","변호인","마스터","밀정","콩: 스컬 아일랜드","보통사람","아수라","캡틴 아메리카: 시빌 워","프리즌","공조","국제시장","닥터 스트레인지","쉰들러 리스트","암살","연평해전","평양성","해빙","검은 사제들","괴물","극비수사","대호","디 워","미씽: 사라진 여자"
30,"wooj****",87,"미녀와 야수","매그니피센트 7","부산행","조작된 도시","더 킹","인천상륙작전","닥터 스트레인지","마스터","공조","인터스텔라","암살","겨울왕국","럭키","검사외전","공각기동대 : 고스트 인 더 쉘","디 워","아가씨","어벤져스: 에이지 오브 울트론","캡틴 아메리카: 시빌 워","킹스맨 : 시크릿 에이전트","덕혜옹주","주토피아","해빙","해적: 바다로 간 산적","다크 나이트","데드풀","모아나","베테랑","신데렐라","엽문"
33,"ssam****",54,"곡성(哭聲)","미녀와 야수","변호인","인터스텔라","로건","베테랑","23 아이덴티티","밀정","암살","조작된 도시","공조","닥터 스트레인지","명량","세 얼간이","마스터","보통사람","아수라","킹스맨 : 시크릿 에이전트","매드맥스: 분노의 도로","신비한 동물사전","콩: 스컬 아일랜드","판도라","괴물","국가대표","다크 나이트","설국열차","싱글라이더","트랜스포머","26년","공각기동대 : 고스트 인 더 쉘"
41,"yjh8****",27,"라라랜드","명량","밀정","부산행","공조","인천상륙작전","마스터","인터스텔라","곡성(哭聲)","럭키","매드맥스: 분노의 도로","베테랑","겨울왕국","모아나","신세계","어벤져스: 에이지 오브 울트론","프리즌","해빙","연평해전","캡틴 아메리카: 시빌 워","콩: 스컬 아일랜드","혹성탈출: 반격의 서막","내부자들","닥터 스트레인지","도둑들","디 워","보통사람","세 얼간이","아바타","터널"
44,"leec****",54,"변호인","부산행","럭키","공조","라라랜드","곡성(哭聲)","너의 이름은.","더 킹","밀정","조작된 도시","마스터","인터스텔라","명량","인천상륙작전","아수라","프리즌","설국열차","연평해전","터널","내부자들","악의 연대기","주토피아","캡틴 아메리카: 시빌 워","콩: 스컬 아일랜드","암살","헬로우 고스트","검사외전","비열한 거리","아가씨","킹스맨 : 시크릿 에이전트"
