"user_pk","id","review_count","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33"
3,"0106****",64,"라라랜드","곡성(哭聲)","국제시장","인천상륙작전","럭키","밀정","베테랑","아바타","너의 이름은.","마스터","킹스맨 : 시크릿 에이전트","공조","겨울왕국","디 워","변호인","사도","해빙","마션","매드맥스: 분노의 도로","인셉션","허브","헬로우 고스트","7번방의 선물","닥터 스트레인지","말할 수 없는 비밀","모아나","배트맨 대 슈퍼맨: 저스티스의 시작","세 얼간이","싸이보그지만 괜찮아","악의 연대기"
4,"jjun****",73,"부산행","공조","캡틴 아메리카: 시빌 워","변호인","연평해전","조작된 도시","너의 이름은.","터널","판도라","26년","극비수사","라라랜드","마스터","뷰티 인사이드","아가씨","해적: 바다로 간 산적","그랑프리","럭키","레버넌트: 죽음에서 돌아온 자","세 얼간이","아바타","앤트맨","인천상륙작전","프리즌","7번방의 선물","국가대표","나를 잊지 말아요","내부자들","넛잡: 땅콩 도둑들","다크 나이트"
14,"salt****",49,"부산행","곡성(哭聲)","겨울왕국","국제시장","로건","프리즌","너의 이름은.","미녀와 야수","모아나","조작된 도시","님아 그 강을 건너지 마오","럭키","명량","설국열차","공조","군도:민란의 시대","더 킹","싱글라이더","킹스맨 : 시크릿 에이전트","해빙","혹성탈출: 반격의 서막","보통사람","인터스텔라","콩: 스컬 아일랜드","터널","디 워","베테랑","아저씨","연평해전","인천상륙작전"
15,"dani****",52,"곡성(哭聲)","부산행","베테랑","터널","변호인","콩: 스컬 아일랜드","공조","국제시장","너의 이름은.","더 킹","미씽: 사라진 여자","어벤져스: 에이지 오브 울트론","집행자","핵소 고지","26년","괴물","꽃미남 연쇄 테러사건","라이트 아웃","로건","마음이...","수어사이드 스쿼드","싱글라이더","아가씨","아랑","아바타","과속스캔들","나의 사랑 나의 신부","남과 여","더 테러 라이브","라이프"
22,"jhpa****",34,"라라랜드","변호인","로건","모아나","인터스텔라","레버넌트: 죽음에서 돌아온 자","사도","인천상륙작전","7번방의 선물","곡성(哭聲)","공조","더 킹","성룡의 신화","소셜포비아","스타워즈: 깨어난 포스","엑스맨: 데이즈 오브 퓨처 패스트","연평해전","인사이드 아웃","콩: 스컬 아일랜드","쿵푸팬더3","검사외전","김관장 대 김관장 대 김관장","남과 여","더 테러 라이브","데스 노트","라푼젤","매드맥스: 분노의 도로","수상한 그녀","수어사이드 스쿼드","신비한 동물사전"
26,"wjsr****",46,"부산행","곡성(哭聲)","변호인","신세계","아가씨","킹스맨 : 시크릿 에이전트","더 킹","로건","설국열차","23 아이덴티티","26년","과속스캔들","괴물","럭키","로그 원: 스타워즈 스토리","베테랑","스물","아수라","인디펜던스 데이: 리써전스","인사이드 아웃","국제시장","나의 사랑 나의 신부","당신 거기 있어줄래요","대호","조작된 도시","쥬라기 월드","터널","퓨리","해운대","화려한 휴가"
30,"wooj****",87,"매그니피센트 7","미녀와 야수","조작된 도시","더 킹","부산행","마스터","인천상륙작전","공조","닥터 스트레인지","겨울왕국","공각기동대 : 고스트 인 더 쉘","인터스텔라","검사외전","연평해전","데드풀","럭키","모아나","어벤져스: 에이지 오브 울트론","캡틴 아메리카: 시빌 워","판도라","해적: 바다로 간 산적","국제시장","마음이...","설국열차","소셜포비아","아가씨","암살","킹스맨 : 시크릿 에이전트","해빙","23 아이덴티티"
33,"ssam****",54,"덕혜옹주","밀정","킹스맨 : 시크릿 에이전트","곡성(哭聲)","공조","미녀와 야수","싱글라이더","암살","콩: 스컬 아일랜드","판도라","검은 사제들","겨울왕국","공각기동대 : 고스트 인 더 쉘","남과 여","로건","마션","마스터","변호인","보통사람","블라인드","신데렐라","아델라인 : 멈춰진 시간","아수라","정글북","조작된 도시","주홍글씨","군도:민란의 시대","굿바이 싱글","귀향","그날의 분위기"
41,"yjh8****",27,"부산행","라라랜드","명량","곡성(哭聲)","인천상륙작전","럭키","콩: 스컬 아일랜드","밀정","베테랑","아바타","인터스텔라","마스터","공조","겨울왕국","내부자들","디 워","사도","해빙","매드맥스: 분노의 도로","신세계","인셉션","허브","헬로우 고스트","7번방의 선물","검은 사제들","닥터 스트레인지","말할 수 없는 비밀","모아나","세 얼간이","싸이보그지만 괜찮아"
44,"leec****",54,"부산행","라라랜드","조작된 도시","럭키","공조","킹스맨 : 시크릿 에이전트","내부자들","변호인","겨울왕국","곡성(哭聲)","더 킹","7번방의 선물","너의 이름은.","명량","설국열차","인천상륙작전","인터스텔라","주토피아","터널","밀정","비열한 거리","은밀하게 위대하게","재심","헬로우 고스트","디 워","아가씨","아수라","연평해전","인디펜던스 데이: 리써전스","인사이드 아웃"
