"user_pk","id","review_count","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33"
3,"0106****",64,8.21276595744681,6.94444444444444,8.37142857142857,8.38235294117647,9.15625,9.32258064516129,7.96774193548387,8.5,8.43333333333333,8.48275862068965,7.72413793103448,7.14285714285714,7.5,6.36,9.41666666666667,9.375,8.125,5.16666666666667,4.25,8,7.52173913043478,8,8.68181818181818,6.72727272727273,9.31818181818182,7.72727272727273,8.38095238095238,6.90476190476191,9.57142857142857,6.5
4,"jjun****",73,7.17073170731707,6.94444444444444,8.02777777777778,8.37142857142857,8.38235294117647,9.15625,7.96774193548387,8.5,7.72413793103448,7.27586206896552,7.14285714285714,8.48148148148148,7.5,5.44,9.41666666666667,9.375,8.125,5.16666666666667,8,7.52173913043478,8.68181818181818,6.72727272727273,9.31818181818182,9,7.72727272727273,6.90476190476191,7.04761904761905,6.5,8.65,7.9
14,"salt****",49,7.30769230769231,9.11538461538461,7.78723404255319,8.93023255813953,8.475,8.05128205128205,8.71052631578947,6.94285714285714,7.4,8.05714285714286,9.03030303030303,7.65625,9.90322580645161,9.2258064516129,7,7.16666666666667,8.67857142857143,8.5,9.07142857142857,7.92857142857143,6.82142857142857,9.42857142857143,8.44444444444444,7,6.76923076923077,9.4,6.875,8.125,8.45833333333333,6.875
15,"dani****",52,7.75,8.21212121212121,8.92307692307692,8.70833333333333,9,7.95238095238095,6.75,8.25,6.68421052631579,6.63157894736842,7.83333333333333,7.61111111111111,8.05882352941176,8.58823529411765,9.41176470588235,8.76470588235294,9.11764705882353,7.94117647058824,5.875,8.625,8.75,7.625,5.375,5.26666666666667,9.73333333333333,8.35714285714286,9.85714285714286,8.78571428571429,8.78571428571429,9.64285714285714
22,"jhpa****",34,9.24137931034483,8.1,9.15,8.5,8.44444444444444,7.72222222222222,7.05555555555556,7.76470588235294,5.8125,7.4,8.86666666666667,6.06666666666667,4.06666666666667,8.07142857142857,8.42857142857143,8.78571428571429,9.5,6.21428571428571,8.30769230769231,9.38461538461539,9.25,8.66666666666667,5.5,7.72727272727273,7.27272727272727,8.54545454545454,8.72727272727273,7.27272727272727,6.9,9.4
26,"wjsr****",46,9.9375,7.86666666666667,8.78571428571429,8.35714285714286,8,8.30769230769231,7.23076923076923,7.61538461538461,9.91666666666667,8.54545454545454,8,8.36363636363636,9.2,7.1,8.6,8.2,7.44444444444444,7.88888888888889,8.88888888888889,10,8.88888888888889,8.55555555555556,5.11111111111111,6.11111111111111,8,7.625,7.125,8.375,5.375,8.5
30,"wooj****",87,9.23529411764706,9.1,8.4,7.12,7.41666666666667,8.68181818181818,8.71428571428571,7.85,8.52631578947368,9.33333333333333,8.94117647058824,8.625,8.5625,7.8,6.8,6.2,8.07142857142857,7.57142857142857,8.71428571428571,9,8,9.15384615384615,5.15384615384615,7.69230769230769,8.25,8.83333333333333,9.41666666666667,8.33333333333333,5.83333333333333,10
33,"ssam****",54,7.26086956521739,9.45454545454546,8.66666666666667,7.6875,9.26666666666667,8.6,6.61538461538461,6.30769230769231,9.46153846153846,8.38461538461539,6.08333333333333,8.58333333333333,7.25,10,7.54545454545455,8.45454545454546,5.45454545454545,8.63636363636364,9.3,5.7,6,8.5,9.22222222222222,9.44444444444444,9,8.55555555555556,6.22222222222222,9.33333333333333,3.625,5.75
41,"yjh8****",27,9.16666666666667,8.04545454545454,8.04545454545454,8.45454545454546,8.05,7.31578947368421,7.55555555555556,9.22222222222222,4.82352941176471,8.05882352941176,9.28571428571429,8.5,9.30769230769231,9.69230769230769,8.61538461538461,8,8.61538461538461,5.84615384615385,8.66666666666667,8.16666666666667,8,8.91666666666667,9.18181818181818,8.18181818181818,6.27272727272727,6.27272727272727,8,9.90909090909091,9.45454545454546,9
44,"leec****",54,9.04347826086956,7.35555555555556,7.3,6.77777777777778,9,7.68571428571429,7.47058823529412,7.44117647058824,8.39393939393939,7,6.75,8.3125,7.93103448275862,7.6551724137931,5.62962962962963,7.77777777777778,8.65384615384615,8.48,7.84,8.75,7.08333333333333,9.54166666666667,8.95833333333333,6.75,8.69565217391304,8.73913043478261,7.86363636363636,9.54545454545454,6.57142857142857,8.71428571428571
