"user_pk","id","review_count","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33"
3,"0106****",64,9.125,7.76190476190476,8.80952380952381,8.5,7.84210526315789,8.44444444444444,8.66666666666667,9.11111111111111,8.58823529411765,7.11764705882353,9.11764705882353,7,8.93333333333333,7.28571428571429,8.71428571428571,8.57142857142857,5.42857142857143,7.92307692307692,8.76923076923077,8.53846153846154,9.15384615384615,9.23076923076923,8.58333333333333,8.16666666666667,9.08333333333333,9.58333333333333,4.58333333333333,9.83333333333333,5.83333333333333,5.75
4,"jjun****",73,7.2,7.91666666666667,7.5,7.36363636363636,7.09090909090909,7.54545454545455,9.1,8.8,7.8,5.77777777777778,8.55555555555556,9.77777777777778,6.44444444444444,7.88888888888889,5.88888888888889,8,9.375,9,8.125,9.25,9.375,9.375,8.125,6.5,8,8.71428571428571,8.71428571428571,8.28571428571429,5.85714285714286,9.71428571428571
14,"salt****",49,7.76923076923077,8.05,8.94444444444444,9.05555555555556,9.88235294117647,8.29411764705882,7.9375,9.0625,9.42857142857143,6,9.84615384615385,6.46153846153846,8.07692307692308,7.46153846153846,6.91666666666667,6.75,8,8.58333333333333,9.41666666666667,7,8.83333333333333,6.81818181818182,8.27272727272727,7.72727272727273,7.72727272727273,5.8,7.4,9.5,9.1,7.4
15,"dani****",52,8.63636363636364,7.90909090909091,9.875,7.125,7.42857142857143,6.28571428571429,7.83333333333333,7.83333333333333,7.5,9.16666666666667,9.33333333333333,9.33333333333333,5.66666666666667,8.33333333333333,8.2,9.4,8.2,9,9.6,10,7.6,4.4,7.2,9,10,9.5,9,9.25,8.5,10
22,"jhpa****",34,9.4,7.75,8.85714285714286,8.85714285714286,7.85714285714286,7,7.83333333333333,2.16666666666667,8,4.2,7,8,7.2,9,7.4,8.4,10,9.2,7.6,8.8,7.25,7.25,9,10,2.5,10,8.25,9.75,5.25,6.75
26,"wjsr****",46,6.91666666666667,6.5,8.88888888888889,9,6.75,8.75,8,7.71428571428571,8.57142857142857,6.16666666666667,9.83333333333333,9.66666666666667,7.16666666666667,9,7.16666666666667,9.33333333333333,7.33333333333333,5.5,2.83333333333333,9.33333333333333,8.2,8.2,7,4.4,9.8,8.2,6.6,9.8,2.4,8
30,"wooj****",87,9.09090909090909,8.6875,6.78571428571429,7.61538461538461,8.84615384615385,8.58333333333333,8.66666666666667,8.81818181818182,9,9.2,6.3,9.9,7.44444444444444,9.11111111111111,8.875,9,9.625,7.25,9.25,8.125,9.125,7.57142857142857,10,7.71428571428571,8,9,8.85714285714286,9.14285714285714,5.71428571428571,6.5
33,"ssam****",54,9.53846153846154,8.16666666666667,9,9.4,8.2,9.6,7.4,7.8,7,8.6,8.25,8.25,7.75,8.25,8.5,9,9.75,10,8.25,6.75,6.25,7.75,8,8,6.25,9,8,7.66666666666667,9.33333333333333,7.33333333333333
41,"yjh8****",27,8,9.125,7.43478260869565,7.76190476190476,8.5,7.84210526315789,8.36842105263158,8.44444444444444,8.66666666666667,9.11111111111111,8,7.11764705882353,7,8.93333333333333,8.71428571428571,7.28571428571429,8.57142857142857,5.42857142857143,8.76923076923077,9,8.53846153846154,9.15384615384615,9.23076923076923,8.58333333333333,7.66666666666667,8.16666666666667,9.08333333333333,9.58333333333333,9.83333333333333,5.83333333333333
44,"leec****",54,6.5,9.35294117647059,6.52941176470588,6.13333333333333,5.64285714285714,8.42857142857143,8.69230769230769,8.30769230769231,9.33333333333333,7.5,6.91666666666667,9.45454545454546,7.09090909090909,8.36363636363636,7.72727272727273,8.72727272727273,8.18181818181818,9.36363636363636,7.27272727272727,7.9,9.2,6.7,7.4,9,6.11111111111111,7.22222222222222,6.33333333333333,8.88888888888889,4.88888888888889,9.44444444444444
49,"rudt****",25,7.35294117647059,8.25,8.27272727272727,10,8.4,7.44444444444444,8.55555555555556,7.88888888888889,9.44444444444444,9.125,9.25,9.75,8.125,9.75,9.375,7.57142857142857,5,6.57142857142857,6.71428571428571,9.28571428571429,7.71428571428571,5.71428571428571,9,8,9.5,9.66666666666667,6.83333333333333,9.66666666666667,8.33333333333333,9.66666666666667
51,"ckdg****",76,6.55555555555556,6.875,8.375,9.25,9.5,9.625,6.125,5,10,8.14285714285714,7.42857142857143,9,9.66666666666667,5.66666666666667,9.66666666666667,8.16666666666667,7.16666666666667,7.66666666666667,9,10,9.66666666666667,9.16666666666667,9.2,7.2,9,8.8,6.4,8,9.8,9.8
55,"kais****",51,8.41666666666667,7.90909090909091,7.18181818181818,8.90909090909091,9,8.33333333333333,8.22222222222222,6.625,6.625,6.125,7.125,10,4.42857142857143,8.57142857142857,7,8.14285714285714,6.42857142857143,9.57142857142857,6.57142857142857,8.42857142857143,7.14285714285714,9.71428571428571,10,8.33333333333333,7.66666666666667,9,8,9,9.83333333333333,8.66666666666667
58,"mien****",31,9.625,8.75,7.27777777777778,7.38888888888889,9.27777777777778,7.41176470588235,8.52941176470588,8.125,8,7.6,7.6,7.07142857142857,9.84615384615385,7.69230769230769,9,5.58333333333333,8.83333333333333,4.16666666666667,8.25,7.08333333333333,6.63636363636364,9,7.81818181818182,7.54545454545455,8.27272727272727,8.27272727272727,8.4,9.5,9.6,6.7
66,"zmff****",46,9.4,8.6,7.75,9,8.85714285714286,7,7.85714285714286,8,7.83333333333333,2.16666666666667,7,8,4.2,5.4,7.2,9,7.4,8.4,10,9.4,8.8,7.25,7.25,9.25,7.25,6.75,9.25,10,2.5,8.25
67,"psyc****",78,7.08333333333333,9.25,9.375,6.625,8.42857142857143,9.57142857142857,7.57142857142857,8.42857142857143,8.33333333333333,9.5,9.5,7.16666666666667,9,7.5,8.33333333333333,7,9.8,9.6,9.8,7.2,7.8,9,7.75,10,8.5,10,7.75,4,8.25,8.75
72,"tndu****",62,6.57142857142857,8.16666666666667,9.4,9.6,7.4,7,10,8.25,7.75,6.75,8,8.25,9,7.75,9.5,10,6.75,6.25,7.75,8,8,8.25,7.75,8.66666666666667,8,7.66666666666667,9.33333333333333,7.33333333333333,7,8.66666666666667
78,"ekdn****",30,9,6.52941176470588,6.13333333333333,8.42857142857143,8.69230769230769,8.30769230769231,9.33333333333333,6.91666666666667,9.45454545454546,7.09090909090909,7.72727272727273,8.72727272727273,8.18181818181818,9.36363636363636,7.27272727272727,8.3,9.2,6.7,7.4,8.77777777777778,6.11111111111111,8.77777777777778,7.22222222222222,6.33333333333333,8.88888888888889,4.88888888888889,9.44444444444444,9.55555555555556,4.5,7.625
79,"sean****",58,8.41666666666667,7.18181818181818,9.90909090909091,9.6,9,9.4,7.6,9.66666666666667,7.11111111111111,7.22222222222222,9.22222222222222,9.5,6.5,9.375,7.85714285714286,6.14285714285714,9.14285714285714,7.42857142857143,6.57142857142857,6.42857142857143,8.85714285714286,9.33333333333333,9.5,8,6.66666666666667,7.66666666666667,8,7.83333333333333,6,4.16666666666667
82,"vero****",47,8,8.1,8.1,8.88888888888889,7.625,10,9.375,8,7.16666666666667,1,9.66666666666667,7.5,5.5,7.33333333333333,9,5.16666666666667,9.16666666666667,8.83333333333333,9.16666666666667,10,6,8.8,10,5.6,8.2,9.4,2.2,10,8.2,8.8
84,"hyej****",72,7.76923076923077,8.54545454545454,8.05,8.94444444444444,9.44444444444444,8,9.42857142857143,6.46153846153846,8.07692307692308,6,6.91666666666667,6.75,8,7.91666666666667,8.58333333333333,9.41666666666667,6.81818181818182,8.27272727272727,7,7.72727272727273,7.72727272727273,5.8,9.5,9.1,7.4,7.8,8.88888888888889,8.22222222222222,9,6.44444444444444
87,"momo****",64,9.375,7.875,5.42857142857143,6.28571428571429,6.57142857142857,7,9.83333333333333,5.16666666666667,6.2,8.8,9,9.2,7.8,6.4,9,9.75,7.75,9.5,6.75,6.75,7.5,8.75,8.25,7.5,9.75,9.5,7,9.5,9,7.25
93,"choo****",69,8.33333333333333,8.375,9.375,9.57142857142857,9.57142857142857,7.57142857142857,8.33333333333333,9.5,7.16666666666667,9,7.5,9.6,9.8,7.6,7.2,9.6,8,9,9,7.75,7,3.25,9.5,8.5,9.75,10,7.75,4,8.25,8.25
94,"iamy****",30,8.25,8.91666666666667,8.27272727272727,10,8.4,7.44444444444444,8.55555555555556,9.44444444444444,9.125,9.125,9.25,9.75,8.625,8.125,9.75,9.375,7.57142857142857,5,6.57142857142857,9.28571428571429,6.71428571428571,9.28571428571429,7.71428571428571,5.71428571428571,9,7.16666666666667,9.5,9.66666666666667,6.83333333333333,9.66666666666667
98,"thdu****",98,7.90909090909091,5.44444444444444,6.875,8.375,9.25,9.66666666666667,8.16666666666667,7.16666666666667,7.66666666666667,5.5,10,9.16666666666667,6.66666666666667,9.2,9,8.8,6.4,8,9.8,9.8,2.8,8,10,6.4,4.8,9.6,8.6,6.6,9.25,9.5
103,"sunw****",40,8.54545454545454,8.05,8.94444444444444,9.05555555555556,9.44444444444444,9.88235294117647,7.9375,9.0625,7.46666666666667,6,9.84615384615385,7.46153846153846,9.69230769230769,6.91666666666667,6.75,8,7.91666666666667,9.41666666666667,8.83333333333333,6.81818181818182,8.27272727272727,7.72727272727273,7.72727272727273,5.8,7.4,9.5,9.1,7.4,7.8,8.88888888888889
109,"sky_****",38,8,8.1,8.11111111111111,8.88888888888889,7.625,10,9.375,8,6.85714285714286,7.16666666666667,1,9.66666666666667,7.5,7.33333333333333,9,9.16666666666667,8.83333333333333,9.16666666666667,10,6,8.8,10,5.6,5.4,8.2,9.4,2.2,10,8.2,9.4
110,"tlsw****",57,9.75,5.33333333333333,6.77777777777778,9.125,8.75,6.75,7.625,8.75,9.75,9.42857142857143,7.85714285714286,9.28571428571429,8.28571428571429,6.28571428571429,8.83333333333333,8.83333333333333,9.33333333333333,9.16666666666667,8.5,10,9.16666666666667,8.16666666666667,8.33333333333333,3.33333333333333,8.2,6.6,6.6,6.6,4.4,8
113,"dbfl****",77,8.66666666666667,8.16666666666667,9,9.6,7.4,7.8,7,8.6,8.25,8.25,7.75,6.75,8.25,8,8.25,9.75,7.75,8.25,6.25,7.75,8,8,6.25,9,8,7.75,8.66666666666667,8,7.66666666666667,8.66666666666667
130,"kooo****",30,6.85714285714286,8.18181818181818,8,8.8,6.9,9.22222222222222,8.66666666666667,7.55555555555556,8.88888888888889,7.625,9,8.625,7.75,3.5,7.25,6.57142857142857,8.57142857142857,8.85714285714286,8.14285714285714,8,7.28571428571429,7.85714285714286,9.71428571428571,7,7.28571428571429,9.57142857142857,8.33333333333333,6.83333333333333,7.5,7.16666666666667
134,"soli****",54,7.76923076923077,8.54545454545454,8.05,8.94444444444444,8.61111111111111,9.44444444444444,9.88235294117647,8.29411764705882,7.46666666666667,9.42857142857143,6,9.84615384615385,8.07692307692308,9.69230769230769,6.91666666666667,8,7.91666666666667,8.83333333333333,6.81818181818182,8.27272727272727,7,7.72727272727273,7.4,9.5,9.1,7.4,7.8,8.88888888888889,8.22222222222222,9
147,"skul****",42,9,7.375,7.8,7.69230769230769,7.33333333333333,6.91666666666667,6.75,9.25,9.90909090909091,10,7.54545454545455,9.54545454545454,8.3,8.8,9.5,9.4,8.3,6.8,7.7,8.77777777777778,7.77777777777778,7.55555555555556,9,8.22222222222222,6,9.66666666666667,8.22222222222222,9.125,7,9.125
151,"rkdu****",38,9.875,7.46153846153846,9.72727272727273,7.72727272727273,9.63636363636364,8,9.22222222222222,6.77777777777778,7.125,8.375,8.875,8.25,7.375,9.875,6.375,7.875,7.25,6,7.42857142857143,10,7.57142857142857,7.42857142857143,9.57142857142857,8,8.16666666666667,9.16666666666667,6.5,8.5,9,9.5
158,"suri****",49,7.91666666666667,7.1,8.88888888888889,6.77777777777778,9.125,8.75,6.75,8.75,7.71428571428571,9.42857142857143,7.85714285714286,8,9.28571428571429,8.28571428571429,6.28571428571429,8.83333333333333,6.66666666666667,9.33333333333333,9.16666666666667,9.16666666666667,8.16666666666667,8.33333333333333,3.33333333333333,8.2,6.6,6.6,6.6,4.4,9,9.8
161,"tlsd****",92,9,7.33333333333333,6.91666666666667,6.75,9.25,9.90909090909091,7.54545454545455,9.54545454545454,8.3,8.8,9.4,8.3,6.8,7.7,7,8.77777777777778,10,7.77777777777778,7.55555555555556,9.22222222222222,6,9.66666666666667,8.33333333333333,9.125,9.5,6.57142857142857,9.28571428571429,7.42857142857143,7.71428571428571,8.28571428571429
166,"tldm****",33,6,9,8.85714285714286,8.66666666666667,7.8,8.6,8,10,5.2,9.6,8,7.75,9,6.25,4,9,6.75,6.25,9.66666666666667,6.33333333333333,6.33333333333333,10,4,7,2.66666666666667,7,9.33333333333333,1,7.33333333333333,6.66666666666667
172,"tiny****",33,6.91666666666667,6.5,8.7,8.88888888888889,9,6.75,8.75,8.71428571428571,8,8.57142857142857,6.16666666666667,9.83333333333333,9.66666666666667,7.16666666666667,9,7.16666666666667,5.16666666666667,9.33333333333333,7.33333333333333,7.33333333333333,5.5,2.83333333333333,9.33333333333333,9.16666666666667,8.2,8.2,7,4.4,9,9.8
174,"yung****",46,9.55555555555556,7.85714285714286,8.63636363636364,9.875,7.125,7.42857142857143,6.28571428571429,7.83333333333333,7.83333333333333,9.33333333333333,7.5,9.33333333333333,9.16666666666667,5.66666666666667,8.33333333333333,8.2,9.6,9.4,8.2,9.4,9,9.6,9.6,8.4,7.6,7.2,9,10,5.6,9.4
177,"book****",43,9.23076923076923,6.85714285714286,8.14285714285714,9.85714285714286,9.57142857142857,7.28571428571429,9.85714285714286,7.83333333333333,9.16666666666667,8.33333333333333,9.16666666666667,6.2,6.8,9.4,8.8,7.6,4.6,8.6,7.75,8.5,6.75,8,9,7.25,8.75,6.75,10,5.5,6.5,10
178,"dlxo****",48,8.6875,6.4,9.33333333333333,7.83333333333333,8.58333333333333,8.81818181818182,7.54545454545455,9.2,6.3,9.2,9.9,9.6,7.44444444444444,7.44444444444444,9.11111111111111,8.875,9,7.625,7.375,9.625,8.625,7.25,9.25,7.57142857142857,10,7.71428571428571,8,5.28571428571429,9,8.85714285714286
188,"cara****",65,9.875,7.46153846153846,5.5,9.72727272727273,9.63636363636364,8,6.77777777777778,8.88888888888889,10,7.125,8.375,8.875,8.25,7.375,9.875,7.875,6,7.42857142857143,10,7.28571428571429,7.57142857142857,7.42857142857143,9.57142857142857,8.57142857142857,8,8.16666666666667,9.16666666666667,9,9.5,9.5
190,"euns****",80,6.5,6.52941176470588,5.64285714285714,8.30769230769231,9.33333333333333,7.5,6.91666666666667,9.45454545454546,7.09090909090909,8.72727272727273,9.36363636363636,7.27272727272727,7.9,9.2,6.7,8.77777777777778,9.11111111111111,6.11111111111111,8.77777777777778,7.22222222222222,8.88888888888889,4.88888888888889,9.44444444444444,9.55555555555556,4.5,7.625,9.25,6.375,8.25,9
