"user_pk","id","review_count","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33"
3,"0106****","64","킹스맨 : 시크릿 에이전트","공조","로건","곡성(哭聲)","럭키","두 남자","마스터","베테랑","변호인","너의 이름은.","라라랜드","모아나","밀정","아수라","역린","판도라","극비수사","당신 거기 있어줄래요","세 얼간이","어벤져스: 에이지 오브 울트론","인천상륙작전","조작된 도시","터널","23 아이덴티티","26년","겨울왕국","군도:민란의 시대","김관장 대 김관장 대 김관장","나의 산티아고","다크 나이트"
4,"jjun****","73","너의 이름은.","마스터","부산행","프리즌","공각기동대 : 고스트 인 더 쉘","공조","국제시장","라라랜드","보통사람","판도라","내부자들","럭키","매드맥스: 분노의 도로","소셜포비아","26년","검은 사제들","극장판 포켓몬스터 베스트위시 : 신의 속도 게노세크트 뮤츠의 각성","다크 나이트","다크 나이트 라이즈","신데렐라","아수라","어거스트 러쉬","조작된 도시","터널","혹성탈출: 반격의 서막","극비수사","꽃미남 연쇄 테러사건","노브레싱","닥터 스트레인지","모아나"
14,"salt****","49","부산행","설국열차","곡성(哭聲)","인터스텔라","럭키","명량","26년","괴물","내부자들","베테랑","역린","검은 사제들","광해 왕이 된 남자","더 킹","로건","마션","인디펜던스 데이: 리써전스","터널","23 아이덴티티","7번방의 선물","강남 1970","검사외전","공조","국제시장","군도:민란의 시대","그래비티","나를 찾아줘","남과 여","너의 이름은.","눈에는 눈 이에는 이"
15,"dani****","52","곡성(哭聲)","더 킹","베테랑","변호인","명량","부산행","연평해전","검은 사제들","암살","콩: 스컬 아일랜드","공조","너의 이름은.","아가씨","킹스맨 : 시크릿 에이전트","터널","트랜스포머","화려한 휴가","간신","국제시장","군도:민란의 시대","내부자들","데드풀","미스 페레그린과 이상한 아이들의 집","배트맨 대 슈퍼맨: 저스티스의 시작","보통사람","사도","써니","해적: 바다로 간 산적","혹성탈출: 반격의 서막","23 아이덴티티"
22,"jhpa****","34","곡성(哭聲)","변호인","프리즌","라라랜드","로건","싸이보그지만 괜찮아","악의 연대기","역린","인터스텔라","검사외전","광해 왕이 된 남자","닥터 스트레인지","더 킹","멋진 하루","수어사이드 스쿼드","암살","엑스맨: 아포칼립스","인천상륙작전","공각기동대 : 고스트 인 더 쉘","광식이 동생 광태","괴물","꽃미남 연쇄 테러사건","다크 나이트","더 테러 라이브","로그 원: 스타워즈 스토리","모아나","바르게 살자","배트맨 대 슈퍼맨: 저스티스의 시작","사도","아바타"
26,"wjsr****","46","명량","럭키","곡성(哭聲)","암살","터널","혹성탈출: 반격의 서막","공조","더 킹","라라랜드","설국열차","해빙","해운대","7번방의 선물","닥터 스트레인지","로건","부산행","검사외전","다크 나이트","디 워","밀정","변호인","보통사람","사도","트랜스포머","허브","형","26년","간 큰 가족","관상","레버넌트: 죽음에서 돌아온 자"
30,"wooj****","87","럭키","더 킹","부산행","킹스맨 : 시크릿 에이전트","검은 사제들","내부자들","미녀와 야수","판도라","겨울왕국","공조","디어 존","마스터","신데렐라","국제시장","인터스텔라","남과 여","다크 나이트 라이즈","디 워","루시","아가씨","아저씨","검사외전","광해 왕이 된 남자","닥터 스트레인지","아델라인 : 멈춰진 시간","암살","어벤져스","인천상륙작전","캡틴 아메리카: 시빌 워","타짜-신의 손"
33,"ssam****","54","베테랑","킹스맨 : 시크릿 에이전트","곡성(哭聲)","매그니피센트 7","명량","악의 연대기","인터스텔라","콩: 스컬 아일랜드","7번방의 선물","꽃미남 연쇄 테러사건","너의 이름은.","덕혜옹주","미션 임파서블: 로그네이션","변호인","세 얼간이","아수라","암살","트랜스포머: 사라진 시대","히말라야","공조","닥터 스트레인지","대호","매드맥스: 분노의 도로","밀정","브레이킹 던 part2","어벤져스: 에이지 오브 울트론","형","히어로","감기","건축학개론"
41,"yjh8****","27","곡성(哭聲)","베테랑","부산행","아가씨","라라랜드","검사외전","명량","밀정","수어사이드 스쿼드","아수라","악의 연대기","캡틴 아메리카: 시빌 워","프리즌","공각기동대 : 고스트 인 더 쉘","럭키","조작된 도시","나의 사랑 나의 신부","레버넌트: 죽음에서 돌아온 자","신세계","어벤져스: 에이지 오브 울트론","월드워Z","인천상륙작전","인터스텔라","탐정 : 더 비기닝","터널","판도라","검은 사제들","공조","귀향","꽃미남 연쇄 테러사건"
44,"leec****","54","명량","더 킹","인터스텔라","곡성(哭聲)","공조","럭키","로건","변호인","인천상륙작전","프리즌","너의 이름은.","레지던트 이블: 파멸의 날","박수건달","연평해전","타짜-신의 손","겨울왕국","데드풀","마스터","매그니피센트 7","부산행","싱글라이더","아랑","아수라","캡틴 아메리카: 시빌 워","터널","괴물","나의 사랑 나의 신부","니모를 찾아서 3D","님아 그 강을 건너지 마오","다크 나이트"
49,"rudt****","25","너의 이름은.","미녀와 야수","더 킹","니모를 찾아서 3D","인투 더 스톰","부산행","아수라","인천상륙작전","퍼스트 어벤져","허브","겨울왕국","국가대표","김씨 표류기","라라랜드","럭키","마스터","엑스맨: 데이즈 오브 퓨처 패스트","인디펜던스 데이: 리써전스","23 아이덴티티","곡성(哭聲)","로건","마션","매트릭스","모아나","밀정","배트맨 대 슈퍼맨: 저스티스의 시작","베테랑","소셜포비아","쇼생크 탈출","신비한 동물사전"
51,"ckdg****","76","공조","로건","부산행","변호인","더 킹","너의 이름은.","인천상륙작전","내부자들","럭키","마스터","미녀와 야수","보통사람","쇼생크 탈출","암살","국제시장","다크 나이트 라이즈","명량","밀정","수어사이드 스쿼드","조작된 도시","검사외전","공각기동대 : 고스트 인 더 쉘","마션","말할 수 없는 비밀","미스 페레그린과 이상한 아이들의 집","박쥐","베테랑","사도","수상한 그녀","아바타"
55,"kais****","51","조작된 도시","더 킹","미녀와 야수","인터스텔라","아저씨","킹스맨 : 시크릿 에이전트","검사외전","곡성(哭聲)","디 워","라라랜드","레버넌트: 죽음에서 돌아온 자","캡틴 아메리카: 시빌 워","럭키","밀정","배트맨 대 슈퍼맨: 저스티스의 시작","겨울왕국","나를 잊지 말아요","넛잡: 땅콩 도둑들","설국열차","26년","다가오는 것들","닥터 스트레인지","덕혜옹주","로건","명량","시라노; 연애조작단","아가씨","연평해전","이끼","인천상륙작전"
58,"mien****","31","미녀와 야수","부산행","콩: 스컬 아일랜드","겨울왕국","라라랜드","메가마인드","배트맨 대 슈퍼맨: 저스티스의 시작","캡틴 아메리카: 시빌 워","곡성(哭聲)","23 아이덴티티","극장판 포켓몬스터 베스트위시 : 신의 속도 게노세크트 뮤츠의 각성","다크 나이트 라이즈","더 킹","신데렐라","어메이징 스파이더맨","공조","넛잡: 땅콩 도둑들","닥터 스트레인지","라이프","럭키","마음이...","은밀하게 위대하게","2012","과속스캔들","괴물","군도:민란의 시대","나를 잊지 말아요","나우 유 씨 미 2","동주","레버넌트: 죽음에서 돌아온 자"
66,"zmff****","46","변호인","너의 이름은.","프리즌","라라랜드","미녀와 야수","베테랑","어벤져스: 에이지 오브 울트론","킹스맨 : 시크릿 에이전트","곡성(哭聲)","국제시장","군도:민란의 시대","닥터 스트레인지","명량","인터스텔라","헬로우 고스트","검은 사제들","괴물","김관장 대 김관장 대 김관장","두 남자","디 워","럭키","모아나","밀정","박쥐","설국열차","신데렐라","은밀하게 위대하게","인천상륙작전","화려한 휴가","간 큰 가족"
67,"psyc****","78","부산행","인터스텔라","그랑프리","내부자들","로건","미녀와 야수","암살","연평해전","검사외전","그래비티","변호인","보통사람","비긴 어게인","인천상륙작전","해적: 바다로 간 산적","GP506","나의 사랑 나의 신부","아수라","악마를 보았다","인셉션","컨저링 2","터널","해무","강철대오: 구국의 철가방","공각기동대 : 고스트 인 더 쉘","괴물","국제시장","김복남 살인사건의 전말","김씨 표류기","너는 펫"
72,"tndu****","62","디 워","곡성(哭聲)","다크 나이트","더 킹","디어 존","변호인","싱글라이더","인터스텔라","공각기동대 : 고스트 인 더 쉘","국제시장","너의 이름은.","럭키","레지던트 이블: 파멸의 날","미션 임파서블: 로그네이션","인천상륙작전","해무","26년","겨울왕국","괴물","나를 잊지 말아요","다크 나이트 라이즈","무현 두 도시 이야기","밀정","소셜포비아","신기전","어벤져스","연평해전","패신저스","프리즌","히어로"
