"user_pk","id","review_count","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33"
3,"0106****",64,"럭키","너의 이름은.","곡성(哭聲)","라라랜드","변호인","공조","베테랑","설국열차","킹스맨 : 시크릿 에이전트","마스터","밀정","조작된 도시","보통사람","재심","신비한 동물사전","판도라","해빙","닥터 스트레인지","터널","혹성탈출: 반격의 서막","26년","국제시장","로건","아수라","엑스맨: 아포칼립스","인천상륙작전","역린","사도","아저씨","은밀하게 위대하게"
4,"jjun****",73,"부산행","럭키","너의 이름은.","변호인","공조","마스터","아수라","프리즌","공각기동대 : 고스트 인 더 쉘","닥터 스트레인지","보통사람","판도라","26년","내부자들","밀정","신데렐라","인천상륙작전","국제시장","어벤져스: 에이지 오브 울트론","캡틴 아메리카: 시빌 워","콩: 스컬 아일랜드","겨울왕국","역린","터널","23 아이덴티티","라라랜드","매드맥스: 분노의 도로","광해 왕이 된 남자","괴물","남과 여"
14,"salt****",49,"곡성(哭聲)","부산행","명량","인천상륙작전","더 킹","미녀와 야수","베테랑","킹스맨 : 시크릿 에이전트","내부자들","인터스텔라","로건","배트맨 대 슈퍼맨: 저스티스의 시작","설국열차","덕혜옹주","럭키","공조","악의 연대기","조작된 도시","프리즌","검은 사제들","국가대표","국제시장","역린","7번방의 선물","수어사이드 스쿼드","아가씨","주토피아","다크 나이트 라이즈","말할 수 없는 비밀","버드맨"
15,"dani****",52,"곡성(哭聲)","부산행","변호인","베테랑","검사외전","국제시장","더 킹","라라랜드","암살","조작된 도시","터널","해적: 바다로 간 산적","공조","레버넌트: 죽음에서 돌아온 자","검은 사제들","너의 이름은.","명량","미녀와 야수","킹스맨 : 시크릿 에이전트","해무","디 워","마스터","아가씨","혹성탈출: 반격의 서막","로건","빅매치","신데렐라","인사이드 아웃","콩: 스컬 아일랜드","군도:민란의 시대"
22,"jhpa****",34,"곡성(哭聲)","변호인","인천상륙작전","더 킹","라라랜드","킹스맨 : 시크릿 에이전트","내부자들","인터스텔라","로건","배트맨 대 슈퍼맨: 저스티스의 시작","설국열차","마스터","암살","판도라","공조","아수라","악의 연대기","프리즌","검은 사제들","국가대표","역린","7번방의 선물","나를 잊지 말아요","더 폰","레버넌트: 죽음에서 돌아온 자","수어사이드 스쿼드","어벤져스: 에이지 오브 울트론","주토피아","다크 나이트 라이즈","말할 수 없는 비밀"
26,"wjsr****",46,"미녀와 야수","럭키","부산행","명량","곡성(哭聲)","라라랜드","더 킹","변호인","프리즌","공조","캡틴 아메리카: 시빌 워","베테랑","설국열차","킹스맨 : 시크릿 에이전트","내부자들","마스터","콩: 스컬 아일랜드","밀정","암살","조작된 도시","보통사람","판도라","해빙","닥터 스트레인지","터널","혹성탈출: 반격의 서막","26년","국제시장","레버넌트: 죽음에서 돌아온 자","로건"
30,"wooj****",87,"부산행","럭키","공조","마스터","미녀와 야수","더 킹","암살","공각기동대 : 고스트 인 더 쉘","인터스텔라","닥터 스트레인지","판도라","내부자들","신데렐라","인천상륙작전","국제시장","디 워","어벤져스: 에이지 오브 울트론","캡틴 아메리카: 시빌 워","겨울왕국","덕혜옹주","해빙","23 아이덴티티","매드맥스: 분노의 도로","베테랑","킹스맨 : 시크릿 에이전트","광해 왕이 된 남자","남과 여","다크 나이트","다크 나이트 라이즈","아가씨"
33,"ssam****",54,"곡성(哭聲)","변호인","너의 이름은.","미녀와 야수","인터스텔라","공조","명량","암살","콩: 스컬 아일랜드","밀정","베테랑","조작된 도시","킹스맨 : 시크릿 에이전트","넛잡: 땅콩 도둑들","닥터 스트레인지","어벤져스: 에이지 오브 울트론","헬로우 고스트","남과 여","매그니피센트 7","모아나","공각기동대 : 고스트 인 더 쉘","마스터","군도:민란의 시대","덕혜옹주","로건","연평해전","인셉션","컨택트","겨울왕국","괴물"
41,"yjh8****",27,"곡성(哭聲)","부산행","밀정","명량","인천상륙작전","베테랑","라라랜드","내부자들","인터스텔라","설국열차","덕혜옹주","럭키","마스터","캡틴 아메리카: 시빌 워","판도라","공조","아수라","악의 연대기","조작된 도시","프리즌","검은 사제들","국가대표","역린","7번방의 선물","나를 잊지 말아요","더 폰","레버넌트: 죽음에서 돌아온 자","수어사이드 스쿼드","아가씨","어벤져스: 에이지 오브 울트론"
44,"leec****",54,"부산행","곡성(哭聲)","명량","인터스텔라","더 킹","내부자들","너의 이름은.","밀정","변호인","공조","라라랜드","럭키","마스터","인천상륙작전","로건","터널","킹스맨 : 시크릿 에이전트","검사외전","아수라","연평해전","콩: 스컬 아일랜드","프리즌","아가씨","해빙","검은 사제들","설국열차","아바타","판도라","캡틴 아메리카: 시빌 워","조작된 도시"
49,"rudt****",25,"부산행","더 킹","마스터","인터스텔라","미녀와 야수","베테랑","암살","어벤져스: 에이지 오브 울트론","곡성(哭聲)","공조","럭키","명량","변호인","조작된 도시","터널","판도라","아가씨","너의 이름은.","밀정","아수라","인천상륙작전","킹스맨 : 시크릿 에이전트","덕혜옹주","매드맥스: 분노의 도로","디 워","라라랜드","겨울왕국","광해 왕이 된 남자","국제시장","아바타"
51,"ckdg****",76,"공조","부산행","럭키","인천상륙작전","변호인","너의 이름은.","마스터","로건","내부자들","명량","미녀와 야수","검사외전","더 킹","아가씨","베테랑","밀정","콩: 스컬 아일랜드","판도라","해빙","라라랜드","암살","조작된 도시","공각기동대 : 고스트 인 더 쉘","디 워","매드맥스: 분노의 도로","악의 연대기","7번방의 선물","괴물","극비수사","마음이..."
55,"kais****",51,"곡성(哭聲)","더 킹","미녀와 야수","인터스텔라","럭키","명량","밀정","조작된 도시","라라랜드","캡틴 아메리카: 시빌 워","킹스맨 : 시크릿 에이전트","프리즌","넛잡: 땅콩 도둑들","닥터 스트레인지","어벤져스: 에이지 오브 울트론","인디펜던스 데이: 리써전스","헬로우 고스트","남과 여","공각기동대 : 고스트 인 더 쉘","마스터","인천상륙작전","혹성탈출: 반격의 서막","검사외전","군도:민란의 시대","덕혜옹주","로건","연평해전","인셉션","컨택트","겨울왕국"
58,"mien****",31,"곡성(哭聲)","더 킹","부산행","미녀와 야수","공조","럭키","명량","암살","콩: 스컬 아일랜드","밀정","베테랑","조작된 도시","국제시장","라라랜드","캡틴 아메리카: 시빌 워","킹스맨 : 시크릿 에이전트","프리즌","넛잡: 땅콩 도둑들","닥터 스트레인지","어벤져스: 에이지 오브 울트론","인디펜던스 데이: 리써전스","남과 여","매그니피센트 7","터널","공각기동대 : 고스트 인 더 쉘","마스터","인천상륙작전","혹성탈출: 반격의 서막","검사외전","군도:민란의 시대"
66,"zmff****",46,"곡성(哭聲)","변호인","너의 이름은.","미녀와 야수","인터스텔라","럭키","명량","암살","밀정","베테랑","국제시장","라라랜드","캡틴 아메리카: 시빌 워","킹스맨 : 시크릿 에이전트","프리즌","넛잡: 땅콩 도둑들","닥터 스트레인지","어벤져스: 에이지 오브 울트론","인디펜던스 데이: 리써전스","헬로우 고스트","매그니피센트 7","모아나","터널","공각기동대 : 고스트 인 더 쉘","마스터","인천상륙작전","혹성탈출: 반격의 서막","검사외전","군도:민란의 시대","덕혜옹주"
67,"psyc****",78,"부산행","곡성(哭聲)","미녀와 야수","인터스텔라","내부자들","변호인","럭키","마스터","인천상륙작전","로건","터널","검사외전","아수라","연평해전","프리즌","국제시장","아가씨","해빙","설국열차","판도라","캡틴 아메리카: 시빌 워","닥터 스트레인지","주토피아","허브","공각기동대 : 고스트 인 더 쉘","레버넌트: 죽음에서 돌아온 자","뷰티 인사이드","암살","군도:민란의 시대","악의 연대기"
72,"tndu****",62,"럭키","곡성(哭聲)","너의 이름은.","변호인","아수라","프리즌","미녀와 야수","더 킹","공각기동대 : 고스트 인 더 쉘","인터스텔라","명량","26년","밀정","신데렐라","인천상륙작전","국제시장","디 워","어벤져스: 에이지 오브 울트론","캡틴 아메리카: 시빌 워","콩: 스컬 아일랜드","겨울왕국","역린","터널","해빙","23 아이덴티티","광해 왕이 된 남자","괴물","다크 나이트","다크 나이트 라이즈","아가씨"
78,"ekdn****",30,"럭키","인천상륙작전","프리즌","변호인","너의 이름은.","마스터","로건","내부자들","미녀와 야수","더 킹","아수라","터널","아가씨","연평해전","인터스텔라","킹스맨 : 시크릿 에이전트","베테랑","콩: 스컬 아일랜드","해빙","암살","조작된 도시","공각기동대 : 고스트 인 더 쉘","디 워","매드맥스: 분노의 도로","악의 연대기","캡틴 아메리카: 시빌 워","7번방의 선물","괴물","극비수사","마음이..."
79,"sean****",58,"부산행","미녀와 야수","명량","인터스텔라","내부자들","너의 이름은.","밀정","변호인","공조","라라랜드","럭키","마스터","인천상륙작전","로건","터널","킹스맨 : 시크릿 에이전트","아수라","연평해전","콩: 스컬 아일랜드","프리즌","베테랑","아가씨","해빙","검은 사제들","설국열차","역린","닥터 스트레인지","조작된 도시","주토피아","허브"
82,"vero****",47,"곡성(哭聲)","부산행","미녀와 야수","라라랜드","더 킹","변호인","로건","공조","아수라","명량","프리즌","베테랑","인천상륙작전","터널","국제시장","콩: 스컬 아일랜드","킹스맨 : 시크릿 에이전트","26년","마스터","싱글라이더","조작된 도시","검사외전","해적: 바다로 간 산적","김씨 표류기","레미제라블","신비한 동물사전","캡틴 아메리카: 시빌 워","판도라","닥터 스트레인지","두 남자"
