"user_pk","id","review_count","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33"
3,"0106****",64,"덕혜옹주","럭키","아저씨","엑스맨: 아포칼립스","터널","곡성(哭聲)","국제시장","두 남자","킹스맨 : 시크릿 에이전트","판도라","26년","겨울왕국","공조","너의 이름은.","닥터 스트레인지","라라랜드","마스터","밀정","버킷 리스트 - 죽기 전에 꼭 하고 싶은 것들","베테랑","설국열차","인천상륙작전","조작된 도시","퍼시픽 림","괴물","나우 유 씨 미 2","남과 여","마션","매드맥스: 분노의 도로","변호인"
4,"jjun****",73,"부산행","너의 이름은.","국제시장","프리즌","넛잡: 땅콩 도둑들","마스터","변호인","럭키","밀정","신데렐라","인디펜던스 데이: 리써전스","콩: 스컬 아일랜드","터널","판도라","겨울왕국","공각기동대 : 고스트 인 더 쉘","극장판 포켓몬스터 베스트위시 : 신의 속도 게노세크트 뮤츠의 각성","제이슨 본","공조","보통사람","어벤져스: 에이지 오브 울트론","인천상륙작전","쥬라기 월드","캡틴 아메리카: 시빌 워","컨택트","특종: 량첸살인기","평양성","23 아이덴티티","강철대오: 구국의 철가방","광해 왕이 된 남자"
14,"salt****",49,"부산행","내부자들","로건","미녀와 야수","베테랑","곡성(哭聲)","명량","조작된 도시","인천상륙작전","인터스텔라","킹스맨 : 시크릿 에이전트","공조","설국열차","콩: 스컬 아일랜드","프리즌","7번방의 선물","검은 사제들","국가대표","닥터 스트레인지","럭키","아가씨","검사외전","국제시장","더 킹","덕혜옹주","23 아이덴티티","광해 왕이 된 남자","디 워","마션","마음이..."
15,"dani****",52,"국제시장","부산행","내부자들","터널","곡성(哭聲)","디스트릭트 9","매그니피센트 7","베테랑","변호인","아가씨","다크 나이트","더 킹","말할 수 없는 비밀","명량","미씽: 사라진 여자","보통사람","비긴 어게인","시간이탈자","어벤져스: 에이지 오브 울트론","조선명탐정 : 사라진 놉의 딸","킹스맨 : 시크릿 에이전트","혹성탈출: 반격의 서막","23 아이덴티티","가려진 시간","겨울왕국","공조","나의 사랑 나의 신부","너는 펫","너의 이름은.","넛잡: 땅콩 도둑들"
22,"jhpa****",34,"변호인","내부자들","로건","곡성(哭聲)","라라랜드","인천상륙작전","인터스텔라","킹스맨 : 시크릿 에이전트","공조","레버넌트: 죽음에서 돌아온 자","설국열차","콩: 스컬 아일랜드","프리즌","7번방의 선물","검은 사제들","국가대표","닥터 스트레인지","더 폰","마스터","히말라야","검사외전","나를 잊지 말아요","더 킹","암살","23 아이덴티티","광해 왕이 된 남자","디 워","마션","마음이...","모아나"
26,"wjsr****",46,"설국열차","명량","부산행","검사외전","내부자들","변호인","공각기동대 : 고스트 인 더 쉘","공조","로건","아수라","조작된 도시","터널","곡성(哭聲)","더 킹","연평해전","킹스맨 : 시크릿 에이전트","프리즌","관상","나의 사랑 나의 신부","럭키","미녀와 야수","인디펜던스 데이: 리써전스","캡틴 아메리카: 시빌 워","형","검은 사제들","라라랜드","마스터","밀정","컨택트","판도라"
30,"wooj****",87,"부산행","공조","마스터","미녀와 야수","공각기동대 : 고스트 인 더 쉘","더 킹","럭키","어벤져스: 에이지 오브 울트론","인터스텔라","내부자들","닥터 스트레인지","7번방의 선물","연평해전","인디펜던스 데이: 리써전스","킹스맨 : 시크릿 에이전트","혹성탈출: 반격의 서막","23 아이덴티티","국제시장","남과 여","다크 나이트 라이즈","디어 존","쇼생크 탈출","신데렐라","인천상륙작전","인투 더 스톰","캡틴 아메리카: 시빌 워","해빙","검은 사제들","눈에는 눈 이에는 이","데드풀"
33,"ssam****",54,"베테랑","곡성(哭聲)","변호인","암살","로건","미녀와 야수","검은 집","공조","꽃미남 연쇄 테러사건","밀정","배트맨 대 슈퍼맨: 저스티스의 시작","세 얼간이","클레멘타인","23 아이덴티티","너의 이름은.","레버넌트: 죽음에서 돌아온 자","마스터","마파도 2","신데렐라","악의 연대기","어벤져스: 에이지 오브 울트론","추격자","터미네이터 2","판도라","귀향","김씨 표류기","나는 전설이다","남과 여","내부자들","넛잡: 땅콩 도둑들"
41,"yjh8****",27,"부산행","수어사이드 스쿼드","곡성(哭聲)","명량","인천상륙작전","검은 사제들","내부자들","설국열차","라라랜드","밀정","아가씨","아수라","악의 연대기","인터스텔라","남과 여","다크 나이트 라이즈","덕혜옹주","데스 노트","말할 수 없는 비밀","미니언즈","베테랑","소셜포비아","쇼생크 탈출","신세계","아저씨","역린","왕의 남자","은밀하게 위대하게","인디펜던스 데이: 리써전스","주토피아"
44,"leec****",54,"프리즌","곡성(哭聲)","더 킹","아수라","공조","내부자들","럭키","명량","목숨 건 연애","무적자","부산행","빅매치","파워 오브 원","해빙","갤로우즈","검사외전","군도:민란의 시대","깡철이","나의 사랑 나의 신부","남과 여","넛잡: 땅콩 도둑들","다가오는 것들","다세포 소녀","덕혜옹주","라라랜드","마스터","쇼생크 탈출","수어사이드 스쿼드","스플릿","싸이보그지만 괜찮아"
49,"rudt****",25,"베테랑","겨울왕국","어벤져스: 에이지 오브 울트론","판도라","럭키","밀정","변호인","아수라","인터스텔라","터널","공조","광해 왕이 된 남자","더 킹","디어 존","마스터","명량","미녀와 야수","부산행","조작된 도시","극비수사","너의 이름은.","덕혜옹주","매드맥스: 분노의 도로","암살","콩: 스컬 아일랜드","특종: 량첸살인기","나우 유 씨 미 2","나의 사랑 나의 신부","노브레싱","배트맨 대 슈퍼맨: 저스티스의 시작"
51,"ckdg****",76,"부산행","럭키","공조","너의 이름은.","마스터","인천상륙작전","검사외전","변호인","두 남자","암살","내부자들","더 킹","명량","형","라라랜드","로건","미녀와 야수","밀정","세 얼간이","아가씨","7번방의 선물","극비수사","콩: 스컬 아일랜드","판도라","허브","건축학개론","국제시장","다크 나이트","디 워","레버넌트: 죽음에서 돌아온 자"
55,"kais****",51,"곡성(哭聲)","라라랜드","더 킹","로건","미녀와 야수","검사외전","럭키","인디펜던스 데이: 리써전스","인천상륙작전","캡틴 아메리카: 시빌 워","꽃미남 연쇄 테러사건","나의 사랑 나의 신부","밀정","배트맨 대 슈퍼맨: 저스티스의 시작","클레멘타인","프리즌","23 아이덴티티","나의 산티아고","레버넌트: 죽음에서 돌아온 자","마스터","마파도 2","신데렐라","아가씨","어벤져스: 에이지 오브 울트론","추격자","판도라","혹성탈출: 반격의 서막","광해 왕이 된 남자","귀향","김씨 표류기"
58,"mien****",31,"곡성(哭聲)","부산행","로건","닥터 스트레인지","미녀와 야수","콩: 스컬 아일랜드","군도:민란의 시대","더 킹","라라랜드","메가마인드","명량","신세계","어바웃 타임","연평해전","공각기동대 : 고스트 인 더 쉘","김관장 대 김관장 대 김관장","다크 나이트 라이즈","럭키","베테랑","보통사람","어벤져스: 에이지 오브 울트론","인디펜던스 데이: 리써전스","인사이드 아웃","조작된 도시","킹스맨 : 시크릿 에이전트","프리즌","해빙","히말라야","26년","검은 사제들"
66,"zmff****",46,"럭키","명량","인터스텔라","너의 이름은.","라라랜드","밀정","아바타","캡틴 아메리카: 시빌 워","겨울왕국","극비수사","도리를 찾아서","마스터","세븐 데이즈","아수라","악의 연대기","암살","가디언즈 오브 갤럭시","검사외전","곡성(哭聲)","국가대표","군도:민란의 시대","나우 유 씨 미 2","넛잡: 땅콩 도둑들","디스트릭트 9","마음이...","미녀와 야수","베테랑","비긴 어게인","소원","수어사이드 스쿼드"
67,"psyc****",78,"변호인","부산행","내부자들","로건","미녀와 야수","곡성(哭聲)","인천상륙작전","인터스텔라","레버넌트: 죽음에서 돌아온 자","설국열차","프리즌","7번방의 선물","국가대표","닥터 스트레인지","럭키","마스터","아가씨","히말라야","검사외전","국제시장","나를 잊지 말아요","암살","캡틴 아메리카: 시빌 워","23 아이덴티티","광해 왕이 된 남자","디 워","마션","마음이...","아수라","악의 연대기"
