"user_pk","id","review_count","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33"
3,"0106****",64,7.35,9.22222222222222,7,8.94117647058824,9.34375,7.25806451612903,9.03571428571429,7.85714285714286,8.57142857142857,7.14814814814815,8.07692307692308,7.65384615384615,7.8,8.72,8.08333333333333,8.04166666666667,5.45833333333333,9.1304347826087,8.78260869565217,9.1304347826087,6.86363636363636,9.45454545454546,9.36363636363636,4.81818181818182,7.72727272727273,7.81818181818182,6.19047619047619,7.65,7.65,5.85
4,"jjun****",73,7.33333333333333,9.31034482758621,8,8.45833333333333,7.39130434782609,8,6.34782608695652,8.34782608695652,6.15,8.77777777777778,9,8.55555555555556,5.94117647058824,9.17647058823529,8.05882352941176,4.05882352941176,6.70588235294118,8.8125,7.4375,7.3125,7.375,6.6,8.4,7.53333333333333,7.64285714285714,7.78571428571429,9.07142857142857,9.38461538461539,8.46153846153846,8.76923076923077
14,"salt****",49,8.3125,8.09375,8.46153846153846,6,8.44,9.16,8.68,9.45833333333333,8.63636363636364,7.95454545454545,9.38095238095238,6.85,8.45,6.21052631578947,9.31578947368421,8.23529411764706,7.41176470588235,7.88235294117647,7.82352941176471,8.1875,6.5,7.625,7.375,8,7.26666666666667,8.4,9.6,8.42857142857143,6.92857142857143,9.28571428571429
15,"dani****",52,7.68,8.25,9.94736842105263,9.13333333333333,7.57142857142857,9.07142857142857,7.78571428571429,8.07142857142857,9.21428571428571,7.92857142857143,8,7.85714285714286,8.61538461538461,8.38461538461539,9.08333333333333,8.83333333333333,8.66666666666667,8,8.5,4.08333333333333,6.54545454545455,8.81818181818182,5.36363636363636,9.36363636363636,8.9,8,4.4,8.3,7.7,8.11111111111111
22,"jhpa****",34,8.3125,8.48387096774194,6,8.44,8.75,9.45833333333333,8.63636363636364,7.95454545454545,9.38095238095238,6.85,8.45,8.10526315789474,8.55555555555556,8.16666666666667,8.23529411764706,7,7.41176470588235,7.82352941176471,8.1875,6.5,7.375,8,6.93333333333333,7,8.26666666666667,7.26666666666667,7.06666666666667,9.6,8.42857142857143,6.92857142857143
26,"wjsr****",46,9.26530612244898,7.35,8.45945945945946,6.72222222222222,7,8.94117647058824,6.87878787878788,9.34375,7.0625,7.25806451612903,8.90322580645161,9.03571428571429,7.85714285714286,8.57142857142857,8.81481481481481,7.14814814814815,8.07407407407407,8.07692307692308,9.03846153846154,7.65384615384615,7.8,8.04166666666667,5.45833333333333,9.1304347826087,8.78260869565217,9.1304347826087,6.86363636363636,9.45454545454546,7,9.36363636363636
30,"wooj****",87,7.33333333333333,9.31034482758621,7.39130434782609,8,8.09090909090909,8.71428571428571,8.90476190476191,6.15,8,8.77777777777778,8.55555555555556,9.17647058823529,4.05882352941176,6.70588235294118,8.8125,7.5,7.4375,7.3125,6.6,9.4,6.73333333333333,7.64285714285714,9.07142857142857,9.28571428571429,9.35714285714286,9.38461538461539,8.76923076923077,9.23076923076923,8.69230769230769,7.07692307692308
33,"ssam****",54,6.23529411764706,8.21875,6.54838709677419,7,9.13333333333333,6.22222222222222,6.92307692307692,7.92,7.12,8.33333333333333,8.83333333333333,7.54166666666667,9.33333333333333,5.15,8.95,7.5,8.85,9.36842105263158,7.73684210526316,8.47368421052632,7.55555555555556,8.55555555555556,5,7,9.23529411764706,8.88235294117647,7.05882352941176,8.29411764705882,9.0625,8.9375
41,"yjh8****",27,8.3125,8.09375,8.77777777777778,8.46153846153846,6,8.68,8.75,8.63636363636364,7.95454545454545,8.45,6.21052631578947,9.31578947368421,8.10526315789474,8.83333333333333,8.16666666666667,8.23529411764706,7,7.41176470588235,7.88235294117647,7.82352941176471,8.1875,6.5,7.375,8,6.93333333333333,7,8.26666666666667,7.26666666666667,8.4,7.06666666666667
44,"leec****",54,7.14285714285714,6.77083333333333,7.65116279069767,9.16666666666667,6,9.02631578947368,8.6578947368421,8.2972972972973,9.08333333333333,6.70588235294118,9.20588235294118,7.11764705882353,5.78787878787879,7.15625,9.51612903225806,8.03333333333333,9.44827586206897,6.10714285714286,5.96428571428571,8.78571428571429,6.67857142857143,8.17857142857143,7.23076923076923,3.96153846153846,6.96,7.28,9.12,7.72,8.75,7.60869565217391
49,"rudt****",25,7.60975609756098,7.43333333333333,7.17241379310345,9.14814814814815,9.03846153846154,8.76923076923077,9.08,8.20833333333333,8,7.95652173913043,9.1304347826087,8.65217391304348,9.21739130434783,7.34782608695652,8.26086956521739,8.81818181818182,3.33333333333333,8.9,8.5,4.05,6.25,7.75,7.73684210526316,8.72222222222222,8.05882352941176,8.52941176470588,9.25,9.9375,8.625,9.25
