"user_pk","id","review_count","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33"
3,"0106****",64,7,7.44444444444444,6.77777777777778,7.88888888888889,8.33333333333333,7.25,8.75,2.85714285714286,8.85714285714286,8.14285714285714,8.33333333333333,9,8.5,9.16666666666667,8.83333333333333,7,6.66666666666667,8.33333333333333,9.16666666666667,6.83333333333333,8,8,6.5,8,8,6.6,8.4,7.4,8,10
4,"jjun****",73,7.6875,7.57142857142857,9.53846153846154,8.90909090909091,3.4,8.8,9,9.55555555555556,6.11111111111111,5.11111111111111,5.55555555555556,6.88888888888889,7.22222222222222,9.11111111111111,7.875,7,7.375,8.125,6.42857142857143,8.14285714285714,7.28571428571429,7,4.57142857142857,7.71428571428571,9.14285714285714,6,6.85714285714286,8.33333333333333,3.5,7.66666666666667
14,"salt****",49,7.80952380952381,9.06666666666667,9.35714285714286,8.78571428571429,8.42857142857143,7.30769230769231,8.15384615384615,7.30769230769231,6.25,7.41666666666667,9.08333333333333,6.63636363636364,8.09090909090909,6.72727272727273,8.27272727272727,7.3,8,6.6,9.1,8.8,8.4,4.55555555555556,7.66666666666667,7.44444444444444,8.33333333333333,7.5,8.875,6,8.625,9.875
15,"dani****",52,9.6,6.88888888888889,9.625,8.625,8.71428571428571,9.57142857142857,7.85714285714286,9,8.57142857142857,4.14285714285714,9.83333333333333,7.16666666666667,7,8.5,8.33333333333333,9.33333333333333,7.66666666666667,7.66666666666667,8.83333333333333,6.83333333333333,8.33333333333333,9.83333333333333,8.4,7.2,5.8,8.4,7,5,8.8,7.2
22,"jhpa****",34,8.66666666666667,9.06666666666667,9.35714285714286,7.30769230769231,7.69230769230769,6.25,7.41666666666667,9.08333333333333,6.63636363636364,8.18181818181818,8.09090909090909,6.72727272727273,8.27272727272727,7.3,8,6.6,9.1,6.3,8.1,6.9,4.55555555555556,6.22222222222222,7.44444444444444,8.11111111111111,7.5,8.875,6,8.625,9.875,9.75
26,"wjsr****",46,7.64705882352941,6.53333333333333,6.73333333333333,5.64285714285714,9.07142857142857,10,5.84615384615385,7.92307692307692,9.46153846153846,6.23076923076923,6.76923076923077,8.46153846153846,7.25,7.5,8.41666666666667,9.08333333333333,7.25,6.90909090909091,6.90909090909091,7,9.54545454545454,4.8,9,7,8.11111111111111,9.22222222222222,7.11111111111111,8.55555555555556,6.88888888888889,8.33333333333333
30,"wooj****",87,7.06666666666667,7.78571428571429,8.5,8.83333333333333,4.36363636363636,8.27272727272727,9.27272727272727,7.2,8.1,8.55555555555556,8.33333333333333,8.75,8,6.25,9.25,9.5,7.42857142857143,8.71428571428571,9.57142857142857,8.28571428571429,8.85714285714286,10,2.42857142857143,7.71428571428571,8.71428571428571,7.71428571428571,6.85714285714286,8,8.66666666666667,8
33,"ssam****",54,8.58333333333333,7.45454545454545,9,9.77777777777778,9,5.875,3.5,9.33333333333333,2.5,9.16666666666667,4.66666666666667,9,8.5,8,6.2,9.2,7.6,3.6,4.4,7,5.4,6.2,10,6.6,9.25,9,6.75,7.25,9.25,6.75
41,"yjh8****",27,8.18181818181818,7.27272727272727,8.44444444444444,9,5.5,9.57142857142857,9.71428571428571,8.42857142857143,9.83333333333333,9,8.16666666666667,7.33333333333333,7.66666666666667,7.66666666666667,8.6,9.4,3.6,4.2,8.2,9,9.6,8.8,10,9.6,9.4,6.6,10,5.2,3.4,9.2
44,"leec****",54,5,8.8,4.6,3.8,6.25,9.5,7.25,9,3,3,9.25,4.25,9.75,4.75,7,2.66666666666667,6,1.66666666666667,5.33333333333333,9.33333333333333,10,9,1.66666666666667,8.33333333333333,9.33333333333333,5.66666666666667,10,5.33333333333333,7.66666666666667,9
49,"rudt****",25,9.36363636363636,9.66666666666667,7.44444444444444,7.77777777777778,8.875,8.125,10,3.75,8.375,7.375,7.42857142857143,10,7.85714285714286,6,6.71428571428571,9.14285714285714,9.28571428571429,9.71428571428571,5.57142857142857,8.66666666666667,8,6.33333333333333,8,9,6.33333333333333,6,8.2,7.6,9.2,6
51,"ckdg****",76,8,8.33333333333333,7.375,8.4,8,5.35714285714286,8.07692307692308,7,3.33333333333333,8.91666666666667,8.90909090909091,6.81818181818182,7.45454545454545,8.18181818181818,9.4,9.4,9.4,9,7.7,7.1,7.55555555555556,8.88888888888889,7.55555555555556,7.33333333333333,9.66666666666667,9.375,8.5,8.375,6.125,7.375
55,"kais****",51,7.45454545454545,8.4,8,9,5.875,8,8.14285714285714,2.14285714285714,7,8.42857142857143,2.5,9.5,9.16666666666667,4.66666666666667,8.5,7,8,8.4,9.2,7.6,3.6,4.4,7.6,5.4,6.2,6.6,9,10,9.25,9
58,"mien****",31,7.14285714285714,6.46153846153846,9.45454545454546,9.3,8,7.9,5.11111111111111,7.875,8.75,9.125,7.75,9.75,8.125,8.375,7.57142857142857,3.57142857142857,7.85714285714286,8.57142857142857,8,5.57142857142857,7.14285714285714,6.71428571428571,9.57142857142857,8.14285714285714,9.28571428571429,8.57142857142857,7.14285714285714,5.71428571428571,6.83333333333333,8.33333333333333
66,"zmff****",46,5.75,6.71428571428571,9.14285714285714,6.83333333333333,9.66666666666667,8.66666666666667,9.33333333333333,9.33333333333333,8.2,7.2,8.8,6.4,9.8,8.8,8.8,9.8,9.25,9,8.75,8,3,9.25,5.5,9.75,9,9.25,9.25,7,10,4
67,"psyc****",78,8.66666666666667,7.80952380952381,9.06666666666667,9.35714285714286,8.78571428571429,7.30769230769231,6.25,7.41666666666667,8.18181818181818,8.09090909090909,8.27272727272727,7.3,6.6,9.1,8.8,8.1,8.4,6.9,4.55555555555556,7.66666666666667,6.22222222222222,8.11111111111111,8.55555555555556,7.5,8.875,6,8.625,9.875,5.5,7
72,"tndu****",62,8.4,7.46666666666667,7.21428571428571,7.15384615384615,7.25,9.25,4.90909090909091,8.63636363636364,7.7,4,7.1,6.3,5.8,6,6.44444444444444,9,8.33333333333333,7.55555555555556,6.55555555555556,7.44444444444444,8.55555555555556,8.25,7.75,6.25,9.375,7.71428571428571,8.42857142857143,8.14285714285714,7.85714285714286,7.57142857142857
78,"ekdn****",30,8.33333333333333,8.4,8,5.35714285714286,7,9,3.33333333333333,6,8.91666666666667,5.91666666666667,8.90909090909091,6.81818181818182,8.45454545454546,8.45454545454546,8.18181818181818,9.4,9.4,7.7,7.1,7.55555555555556,8.88888888888889,7.55555555555556,9.66666666666667,9.375,8.5,8.375,6.125,9.5,7.25,7.125
79,"sean****",58,7.64705882352941,6.53333333333333,6.73333333333333,8.93333333333333,9.07142857142857,7.85714285714286,10,7.21428571428571,7.92307692307692,9.46153846153846,6.23076923076923,6.76923076923077,8.46153846153846,8.41666666666667,9.08333333333333,7.25,6.90909090909091,7,9.54545454545454,8.27272727272727,4.8,7,8.11111111111111,9.22222222222222,7.11111111111111,8.55555555555556,6.88888888888889,6.44444444444444,6.5,6.375
82,"vero****",47,8.9,8.94736842105263,7.94117647058824,7.375,8.8125,7.9375,8.14285714285714,8.30769230769231,8.46153846153846,5.38461538461539,4.76923076923077,9.46153846153846,7.38461538461539,7.66666666666667,8.72727272727273,7.45454545454545,9.18181818181818,9.18181818181818,6.18181818181818,9.45454545454546,7.8,8.9,8.8,9.1,9.8,5.2,8.9,8.77777777777778,8.55555555555556,6.77777777777778
84,"hyej****",72,8.68181818181818,8.375,7.4375,8.75,6.66666666666667,7.14285714285714,8.64285714285714,6.42857142857143,7.91666666666667,7.33333333333333,8.75,3.81818181818182,10,9.18181818181818,10,8.2,6.3,7.5,7.3,8.1,6.6,7.5,7.3,8.5,7.22222222222222,7.66666666666667,8.77777777777778,9,9.22222222222222,7.55555555555556
87,"momo****",64,8.5,8.68181818181818,9.2,8.375,7.4375,8.75,8.64285714285714,9.21428571428571,9.53846153846154,7.91666666666667,7.08333333333333,7.33333333333333,8.75,3.81818181818182,10,9.18181818181818,10,9.54545454545454,7.8,8.2,6.3,7.5,7.3,8.1,8.1,6.6,7.5,7.3,9.2,8.5
93,"choo****",69,8.71428571428571,8,8,8.4,10,8.8,6.6,5.2,9.8,7.8,7.2,7.25,6.5,9.75,4,7.25,6,9,6.5,10,9.75,9.75,9,7.66666666666667,10,10,10,6.33333333333333,4.66666666666667,8.66666666666667
