"user_pk","id","review_count","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33"
3,"0106****","64","공조","곡성(哭聲)","마션","밀정","인천상륙작전","관상","럭키","조작된 도시","킹스맨 : 시크릿 에이전트","과속스캔들","광해 왕이 된 남자","국제시장","닥터 스트레인지","라라랜드","레옹","마스터","미스 페레그린과 이상한 아이들의 집","보통사람","설국열차","시간을 달리는 소녀","시라노; 연애조작단","싱글라이더","아저씨","역린","연평해전","클레멘타인","타짜-신의 손","트랜스포머","7번방의 선물","감시자들"
4,"jjun****","73","변호인","너의 이름은.","럭키","26년","마스터","용의자","인셉션","공조","내부자들","데스 노트","라라랜드","밀정","23 아이덴티티","국제시장","그 시절 우리가 좋아했던 소녀","다크 나이트 라이즈","매그니피센트 7","버드맨","부산행","설국열차","월-E","인천상륙작전","판도라","포세이돈","프리즌","검사외전","고질라","극비수사","김관장 대 김관장 대 김관장","너는 펫"
14,"salt****","49","곡성(哭聲)","럭키","말할 수 없는 비밀","조작된 도시","공조","미녀와 야수","인터스텔라","그 시절 우리가 좋아했던 소녀","프리즌","데드풀","부산행","설국열차","아가씨","재심","콩: 스컬 아일랜드","킹스맨 : 시크릿 에이전트","해빙","23 아이덴티티","로건","마션","매그니피센트 7","스물","스파이","아랑","인디펜던스 데이: 리써전스","인천상륙작전","제이슨 본","쥬라기 월드","컨저링","해무"
15,"dani****","52","변호인","곡성(哭聲)","더 킹","인셉션","너의 이름은.","미녀와 야수","부산행","암살","레버넌트: 죽음에서 돌아온 자","마스터","싱 스트리트","은밀하게 위대하게","공조","내부자들","명량","베테랑","원스","터널","검사외전","겨울왕국","로건","미씽: 사라진 여자","베를린","아가씨","인디펜던스 데이: 리써전스","주토피아","공각기동대 : 고스트 인 더 쉘","과속스캔들","노트북","늑대소년"
22,"jhpa****","34","변호인","더 킹","마스터","인천상륙작전","로건","콩: 스컬 아일랜드","평양성","7번방의 선물","곡성(哭聲)","내 이름은 칸","내부자들","설국열차","킹스맨 : 시크릿 에이전트","검사외전","광해 왕이 된 남자","군도:민란의 시대","다크 나이트 라이즈","도둑들","라라랜드","레버넌트: 죽음에서 돌아온 자","로그 원: 스타워즈 스토리","실미도","아수라","엑스맨: 아포칼립스","은밀하게 위대하게","타짜-신의 손","해빙","혹성탈출: 반격의 서막","23 아이덴티티","공조"
26,"wjsr****","46","부산행","명량","변호인","아바타","터널","판도라","프리즌","허브","공조","남과 여","라라랜드","매드맥스: 분노의 도로","암살","역린","집행자","럭키","마스터","미녀는 괴로워","미녀와 야수","베테랑","설국열차","싸이보그지만 괜찮아","아가씨","어바웃 타임","주토피아","검사외전","공각기동대 : 고스트 인 더 쉘","그랑프리","극비수사","내부자들"
30,"wooj****","87","더 킹","노브레싱","부산행","해빙","그랑프리","럭키","암살","마스터","신세계","조작된 도시","공각기동대 : 고스트 인 더 쉘","싸이보그지만 괜찮아","캡틴 아메리카: 시빌 워","검사외전","내부자들","다크 나이트 라이즈","디 워","목숨 건 연애","미녀와 야수","베테랑","수어사이드 스쿼드","써니","어바웃 타임","컨저링","킹스맨 : 시크릿 에이전트","헬로우 고스트","21","검은 사제들","겨울왕국","고산자 대동여지도"
33,"ssam****","54","변호인","명량","조작된 도시","내부자들","레옹","소셜포비아","공조","미쓰 와이프","밀정","사도","인터스텔라","26년","검은 사제들","너의 이름은.","마션","모아나","설국열차","어벤져스","어벤져스: 에이지 오브 울트론","역린","인턴","콩: 스컬 아일랜드","킹스맨 : 시크릿 에이전트","판도라","곡성(哭聲)","국가대표","귀향","그래비티","나를 잊지 말아요","너는 펫"
41,"yjh8****","27","부산행","곡성(哭聲)","레지던트 이블: 파멸의 날","밀정","인천상륙작전","공조","닥터 스트레인지","라라랜드","괴물의 아이","나의 산티아고","다크 나이트","럭키","맨 오브 스틸","싸이보그지만 괜찮아","인터스텔라","터널","퍼스트 어벤져","검사외전","베테랑","보통사람","아가씨","인사이드 아웃","조작된 도시","프리즌","해빙","해운대","23 아이덴티티","강철대오: 구국의 철가방","겨울왕국","내부자들"
44,"leec****","54","부산행","곡성(哭聲)","마스터","럭키","더 킹","명량","내부자들","마션","암살","공조","밀정","인터스텔라","너의 이름은.","로건","뷰티 인사이드","쇼생크 탈출","아가씨","캡틴 아메리카: 시빌 워","킹스맨 : 시크릿 에이전트","해무","검사외전","공각기동대 : 고스트 인 더 쉘","괴물의 아이","군도:민란의 시대","극장판 포켓몬스터 베스트위시 : 신의 속도 게노세크트 뮤츠의 각성","멋진 하루","모아나","설국열차","수어사이드 스쿼드","시라노; 연애조작단"
49,"rudt****","25","공조","더 킹","부산행","인터스텔라","명량","밀정","아수라","26년","괴물","매그니피센트 7","수어사이드 스쿼드","국제시장","너의 이름은.","럭키","미녀와 야수","변호인","뷰티 인사이드","사도","섬. 사라진 사람들","소셜포비아","아저씨","연평해전","인디펜던스 데이: 리써전스","천녀유혼","터널","패신저스","7번방의 선물","강철대오: 구국의 철가방","검은 사제들","극비수사"
51,"ckdg****","76","부산행","베테랑","더 킹","명량","변호인","아바타","호빗: 다섯 군대 전투","내부자들","너의 이름은.","암살","콩: 스컬 아일랜드","23 아이덴티티","나를 잊지 말아요","럭키","밀정","빅매치","소셜포비아","아가씨","인천상륙작전","킹콩","판도라","퓨리","괴물","국제시장","꽃미남 연쇄 테러사건","뉴욕은 언제나 사랑 중","데스 노트","두 남자","러브 액츄얼리","마음이..."
