"user_pk","id","review_count","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33"
3,"0106****",64,"곡성(哭聲)","밀정","라라랜드","인천상륙작전","싱글라이더","공각기동대 : 고스트 인 더 쉘","럭키","베테랑","공조","너의 이름은.","아수라","변호인","조작된 도시","킹스맨 : 시크릿 에이전트","터널","판도라","국제시장","디 워","마스터","시라노; 연애조작단","트랜스포머","해빙","닥터 스트레인지","로건","설국열차","신비한 동물사전","23 아이덴티티","7번방의 선물","끝까지 간다","나의 산티아고"
4,"jjun****",73,"공조","너의 이름은.","마스터","변호인","럭키","부산행","인천상륙작전","내부자들","라라랜드","판도라","광해 왕이 된 남자","밀정","보통사람","아바타","아수라","7번방의 선물","프리즌","레미제라블","마음이...","캡틴 아메리카: 시빌 워","콩: 스컬 아일랜드","형","국제시장","다크 나이트","두 남자","어벤져스: 에이지 오브 울트론","연평해전","조작된 도시","국가대표","사도"
14,"salt****",49,"말할 수 없는 비밀","곡성(哭聲)","부산행","럭키","나의 소녀시대","명량","그 시절 우리가 좋아했던 소녀","미녀와 야수","국제시장","인천상륙작전","인터스텔라","콩: 스컬 아일랜드","공조","더 킹","로건","비긴 어게인","조작된 도시","헬로우 고스트","검사외전","겨울왕국","과속스캔들","군도:민란의 시대","내부자들","너의 이름은.","베테랑","악의 연대기","역린","인디펜던스 데이: 리써전스","재심","해빙"
15,"dani****",52,"부산행","변호인","곡성(哭聲)","미녀와 야수","라라랜드","명량","킹스맨 : 시크릿 에이전트","내부자들","너의 이름은.","블랙","콩: 스컬 아일랜드","공조","로건","마스터","아가씨","더 킹","국제시장","베테랑","사도","터널","퍼스트 어벤져","역린","26년","국가대표","내 이름은 칸","혹성탈출: 반격의 서막","암살","해빙","헬로우 고스트","검은 사제들"
22,"jhpa****",34,"변호인","곡성(哭聲)","인천상륙작전","라라랜드","킹스맨 : 시크릿 에이전트","내부자들","너의 이름은.","블랙","아수라","콩: 스컬 아일랜드","공조","로건","인터스텔라","마스터","더 킹","사도","퍼스트 어벤져","역린","국가대표","내 이름은 칸","닥터 스트레인지","혹성탈출: 반격의 서막","7번방의 선물","암살","해빙","다크 나이트 라이즈","헬로우 고스트","검은 사제들","다크 나이트","데드풀"
26,"wjsr****",46,"매드맥스: 분노의 도로","부산행","미녀와 야수","럭키","공조","암살","곡성(哭聲)","변호인","라라랜드","설국열차","국제시장","더 킹","아수라","마스터","킹스맨 : 시크릿 에이전트","베테랑","보통사람","7번방의 선물","극비수사","명량","밀정","조작된 도시","판도라","헬로우 고스트","내부자들","닥터 스트레인지","레버넌트: 죽음에서 돌아온 자","말할 수 없는 비밀","아가씨","엽문"
30,"wooj****",87,"부산행","더 킹","인터스텔라","캡틴 아메리카: 시빌 워","암살","공조","닥터 스트레인지","23 아이덴티티","마스터","검사외전","노브레싱","럭키","미녀와 야수","아가씨","어벤져스: 에이지 오브 울트론","인천상륙작전","겨울왕국","공각기동대 : 고스트 인 더 쉘","광해 왕이 된 남자","내부자들","베테랑","조작된 도시","써니","아저씨","인디펜던스 데이: 리써전스","킹스맨 : 시크릿 에이전트","해빙","국제시장","남과 여","미션 임파서블: 로그네이션"
33,"ssam****",54,"변호인","곡성(哭聲)","미녀와 야수","판도라","명량","암살","너의 이름은.","베테랑","인터스텔라","조작된 도시","공조","레옹","마스터","밀정","해무","26년","닥터 스트레인지","로건","아수라","설국열차","콩: 스컬 아일랜드","공각기동대 : 고스트 인 더 쉘","신세계","검은 사제들","용의자","킹스맨 : 시크릿 에이전트","테이큰","겨울왕국","군도:민란의 시대","나를 잊지 말아요"
41,"yjh8****",27,"공조","곡성(哭聲)","부산행","명량","콩: 스컬 아일랜드","마스터","밀정","인천상륙작전","라라랜드","인터스텔라","조작된 도시","럭키","프리즌","닥터 스트레인지","레버넌트: 죽음에서 돌아온 자","베테랑","내부자들","아가씨","아수라","판도라","어벤져스: 에이지 오브 울트론","터널","나의 사랑 나의 신부","디 워","역린","해빙","검사외전","보통사람","인사이드 아웃","공각기동대 : 고스트 인 더 쉘"
44,"leec****",54,"부산행","변호인","곡성(哭聲)","판도라","럭키","명량","암살","너의 이름은.","더 킹","아가씨","인터스텔라","조작된 도시","공조","마스터","밀정","해무","라라랜드","로건","아수라","프리즌","설국열차","콩: 스컬 아일랜드","터널","공각기동대 : 고스트 인 더 쉘","검은 사제들","킹스맨 : 시크릿 에이전트","테이큰","겨울왕국","군도:민란의 시대","모아나"
