"user_pk","id","review_count","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33"
3,"0106****",64,"곡성(哭聲)","인천상륙작전","공조","레옹","밀정","너는 펫","조작된 도시","킹스맨 : 시크릿 에이전트","마스터","설국열차","공각기동대 : 고스트 인 더 쉘","관상","괴물의 아이","김관장 대 김관장 대 김관장","다크 나이트","닥터 스트레인지","당신 거기 있어줄래요","라라랜드","럭키","로건","스윙걸즈","시라노; 연애조작단","싱글라이더","역린","연평해전","판도라","국제시장","다가오는 것들","디 워","마션"
4,"jjun****",73,"공조","라라랜드","내부자들","보통사람","럭키","검사외전","너의 이름은.","마스터","설국열차","인천상륙작전","판도라","레미제라블","마음이...","밀정","어벤져스: 에이지 오브 울트론","인사이드 아웃","캡틴 아메리카: 시빌 워","26년","7번방의 선물","광해 왕이 된 남자","닥터 스트레인지","두 남자","로스트 인 더스트","매그니피센트 7","변호인","부산행","신비한 동물사전","인셉션","조작된 도시","화려한 휴가"
14,"salt****",49,"부산행","곡성(哭聲)","조작된 도시","닥터 스트레인지","럭키","아가씨","공조","로건","미녀와 야수","콩: 스컬 아일랜드","킹스맨 : 시크릿 에이전트","남과 여","더 킹","인터스텔라","터널","23 아이덴티티","인디펜던스 데이: 리써전스","해빙","내부자들","마션","재심","쥬라기 월드","토르: 다크 월드","너의 이름은.","데드풀","미씽: 사라진 여자","악의 연대기","연평해전","용의자","컨택트"
15,"dani****",52,"싱 스트리트","부산행","너의 이름은.","변호인","명량","곡성(哭聲)","베테랑","터널","미녀와 야수","공조","국제시장","콩: 스컬 아일랜드","검사외전","나의 사랑 나의 신부","더 킹","암살","원스","해운대","늑대소년","빅매치","아가씨","인셉션","23 아이덴티티","군도:민란의 시대","김씨 표류기","남과 여","내부자들","다크 나이트","라라랜드","레버넌트: 죽음에서 돌아온 자"
22,"jhpa****",34,"변호인","곡성(哭聲)","연평해전","마스터","인천상륙작전","프리즌","공조","더 킹","판도라","설국열차","인터스텔라","킹스맨 : 시크릿 에이전트","히말라야","귀향","사도","어벤져스: 에이지 오브 울트론","콩: 스컬 아일랜드","검사외전","내부자들","넛잡: 땅콩 도둑들","아수라","암살","전우치","해빙","7번방의 선물","검은 사제들","군도:민란의 시대","대호","도둑들","디 워"
26,"wjsr****",46,"매드맥스: 분노의 도로","부산행","곡성(哭聲)","변호인","암살","터널","럭키","미녀와 야수","더 킹","밀정","설국열차","아가씨","천녀유혼","캡틴 아메리카: 시빌 워","공조","디 워","주토피아","거울나라의 앨리스","국제시장","덕혜옹주","레버넌트: 죽음에서 돌아온 자","명량","미씽: 사라진 여자","아수라","역린","조작된 도시","헬로우 고스트","혹성탈출: 반격의 서막","겨울왕국","공각기동대 : 고스트 인 더 쉘"
30,"wooj****",87,"부산행","더 킹","공조","미녀와 야수","인터스텔라","캡틴 아메리카: 시빌 워","닥터 스트레인지","검사외전","마스터","아가씨","암살","조작된 도시","해빙","내부자들","베테랑","어벤져스: 에이지 오브 울트론","인디펜던스 데이: 리써전스","23 아이덴티티","겨울왕국","광해 왕이 된 남자","컨택트","해적: 바다로 간 산적","공각기동대 : 고스트 인 더 쉘","디 워","로그 원: 스타워즈 스토리","설국열차","수어사이드 스쿼드","써니","아저씨","인천상륙작전"
33,"ssam****",54,"변호인","명량","인터스텔라","검은 사제들","밀정","아수라","조작된 도시","곡성(哭聲)","레지던트 이블: 파멸의 날","매그니피센트 7","베테랑","내부자들","마스터","미녀와 야수","설국열차","콩: 스컬 아일랜드","판도라","가디언즈 오브 갤럭시","강철대오: 구국의 철가방","공조","국가대표","나를 잊지 말아요","너는 펫","더 테러 라이브","레버넌트: 죽음에서 돌아온 자","로건","베를린","암살","어메이징 스파이더맨 2","역린"
41,"yjh8****",27,"부산행","인터스텔라","레지던트 이블: 파멸의 날","프리즌","곡성(哭聲)","라라랜드","밀정","나의 산티아고","명량","베테랑","혹성탈출: 반격의 서막","인천상륙작전","검사외전","공조","디 워","럭키","아수라","주토피아","터널","해운대","헬로우 고스트","괴물의 아이","내부자들","다크 나이트","마스터","매그니피센트 7","보통사람","악의 연대기","조작된 도시","캡틴 아메리카: 시빌 워"
44,"leec****",54,"부산행","곡성(哭聲)","조작된 도시","프리즌","너의 이름은.","로건","공조","귀향","넛잡: 땅콩 도둑들","더 킹","명량","변호인","뷰티 인사이드","세 얼간이","싱글라이더","싸이보그지만 괜찮아","아수라","인터스텔라","타이타닉","검은 사제들","내부자들","럭키","루시","멋진 하루","목숨 건 연애","밀정","배트맨 대 슈퍼맨: 저스티스의 시작","아가씨","아바타","암살"
