"user_pk","id","review_count","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33"
3,"0106****",64,8.25,8,8.3,9.6,7.8,6.66666666666667,7,9,7.25,9.125,7.42857142857143,7.71428571428571,9.71428571428571,3.14285714285714,9.85714285714286,9,7.42857142857143,7.14285714285714,9,7.57142857142857,8.71428571428571,8.57142857142857,6.57142857142857,5.42857142857143,9.28571428571429,8.85714285714286,8.33333333333333,8.33333333333333,6.16666666666667,9
4,"jjun****",73,6.76923076923077,9.38461538461539,9.58333333333333,7.58333333333333,8.72727272727273,8,8.33333333333333,7.22222222222222,8.55555555555556,7.44444444444444,8.11111111111111,9,8.875,9.125,6.875,9.625,9.125,4.85714285714286,8.85714285714286,10,9,4.28571428571429,8.28571428571429,9,9.85714285714286,5.57142857142857,7.71428571428571,9.28571428571429,8.42857142857143,8.28571428571429
14,"salt****",49,7.58823529411765,7.33333333333333,7.33333333333333,8,9.54545454545454,7.63636363636364,8.4,8.8,9.3,7.8,7.5,8.66666666666667,8,9,6.44444444444444,9.375,4.875,6.625,9.14285714285714,8.14285714285714,8.14285714285714,7.57142857142857,7.57142857142857,8.16666666666667,7.66666666666667,7.83333333333333,6.5,9.83333333333333,9.5,8.5
15,"dani****",52,9.79310344827586,6.875,8.46153846153846,8.46153846153846,7.25,7.27272727272727,8.81818181818182,9.45454545454546,9.5,8,7.22222222222222,7.33333333333333,6.125,6.25,7.5,9.25,9.625,5.75,6.85714285714286,8.14285714285714,8.42857142857143,7.28571428571429,6.66666666666667,8.5,9.66666666666667,7.83333333333333,9.5,10,9,8.5
22,"jhpa****",34,9.4,8.66666666666667,8.41666666666667,8.54545454545454,7,5.27272727272727,6.9,7.8,8.8,8.66666666666667,8.55555555555556,9.55555555555556,7.11111111111111,7.25,7.375,8.875,7.875,5.85714285714286,6.57142857142857,5.14285714285714,5.71428571428571,9.71428571428571,6.71428571428571,4,7.83333333333333,3.5,8,8.5,8.5,6.16666666666667
26,"wjsr****",46,9.6,7.33333333333333,6.54545454545455,8.36363636363636,9.18181818181818,7.81818181818182,9.1,9.1,7.33333333333333,8.22222222222222,7.66666666666667,6.88888888888889,9.22222222222222,8.55555555555556,5.375,6.625,9.375,6.71428571428571,7,9,7,9,5,6.85714285714286,5.71428571428571,6.71428571428571,9.57142857142857,8,7,4.5
30,"wooj****",87,7.56,8.35294117647059,6.64285714285714,8.64285714285714,9.71428571428571,8.57142857142857,8.92307692307692,7.58333333333333,6.5,6.75,9.16666666666667,7.66666666666667,5.58333333333333,9.45454545454546,9.09090909090909,8.63636363636364,4.72727272727273,6.4,8.9,9.7,8.4,8.9,6.22222222222222,6.55555555555556,6.88888888888889,8.77777777777778,7.33333333333333,9,9.77777777777778,6.22222222222222
33,"ssam****",54,8.41666666666667,9.22222222222222,8,7.125,8.5,3.375,7.875,5.28571428571429,8.57142857142857,7.14285714285714,8.14285714285714,9.33333333333333,8.66666666666667,6.83333333333333,7.16666666666667,8,5.33333333333333,7.8,5.4,5.4,9.4,7.2,4.6,8.8,9,8.2,8,9,7.2,6.4
41,"yjh8****",27,8.61111111111111,8.6875,9.33333333333333,8.26666666666667,7,7.5,8.23076923076923,9.75,7.83333333333333,7.33333333333333,9.41666666666667,8.36363636363636,4.8,6.7,6.7,9.4,4.8,9.9,9.1,3.4,9.4,9,7.33333333333333,10,5.77777777777778,7.11111111111111,8.44444444444444,6.33333333333333,6.44444444444444,7.55555555555556
44,"leec****",54,9,7.54545454545455,7.5,7.4,6.66666666666667,9.11111111111111,8.85714285714286,9.57142857142857,2.71428571428571,7.28571428571429,6.57142857142857,8.71428571428571,6.57142857142857,8.85714285714286,7.85714285714286,8.14285714285714,8,7.28571428571429,7.42857142857143,7,8.83333333333333,6.83333333333333,7.5,10,2.33333333333333,9.33333333333333,5.5,8.33333333333333,9.83333333333333,9
