"user_pk","id","review_count","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33"
3,"0106****","64","전우치","스웹트 어웨이","서프러제트","밤의 여왕","도리를 찾아서","사물의 비밀","소원","모두가 초능력자","디아틀로프","쏘우 3D","더 울버린","어린 아내","나를 찾아줘","단지 세상의 끝","체포왕","미스터 노바디","양과자점 코안도르","천국의 우편배달부","홍등","나의 딸 나의 누나","5월 1일","언더 더 스킨","지골로 인 뉴욕","브레이브 원","제7의 봉인","드래그 미 투 헬","여배우들","루시","잔잔한 내일로부터","무극"
4,"jjun****","73","체르노빌 다이어리","극장전","내 심장을 쏴라","어브덕션","다이 하드 4.0","오드 토머스","벤허","나는 아빠다","더 퍼지","더 크로니클: 뮤턴트의 반격","플래닛 테러","행복","비스트 앵콜 콘서트 3D","백설공주:사라진 아빠를 찾아서","브로큰","앨빈과 슈퍼밴드: 악동 어드벤처","슈퍼처방전","칠드런 오브 맨","라스트 사무라이","옥토퍼스","우리들의 일그러진 영웅","로맨틱 아일랜드","서부전선","아이언맨","슈렉 2","트릭","네스트","가족의 탄생","폐가","아이 엠 샘"
14,"salt****","49","도레미파솔라시도","경계의 저편 : I'LL BE HERE -미래편-","일루셔니스트","자유의 언덕","파일 : 4022일의 사육","잔예 - 살아서는 안되는 방","윤희","여교사","비행기2: 소방구조대","아더 크리스마스","지구를 지켜라!","더 레슬러","파이어프루프 - 사랑의 도전","인크레더블 헐크","코요테 어글리","익스펜더블 2","콜로니:지구 최후의 날","클리프행어","바베트의 만찬","라이어 라이어","5일의 마중","슈퍼 에이트","귀곡성 : 귀신을 부르는 소리","실미도","특전 유보트","사랑을 부르는 파리","우주 전쟁","형사 Duelist","제인 에어","300: 제국의 부활"
15,"dani****","52","블러디 발렌타인","워크 투 리멤버","달빛 길어올리기","브리짓 존스의 일기 - 열정과 애정","어폴로지","드래곤 길들이기","브레이브하트","위아 유어 프렌즈","트리플 엑스","소셜포비아","영도","엑스맨 탄생: 울버린","4등","여행자","트럭","고티카","샴","해결사","비열한 거리","더 바디","무인 곽원갑","컨저링","불량소녀 너를 응원해!","쿵푸 요가","밴디츠","아주 긴 변명","다크월드 3D","볼트","언더월드: 블러드 워","하이 스피드! –프리! 스타팅 데이즈"
22,"jhpa****","34","고스트 메신저 극장판","스노든","준벅","중경삼림","미스터 라잇","아내 업고 달리기","나쁜 녀석들 2","인디펜던스 데이","피쉬 스토리","국가대표","라우더 댄 밤즈","글렌게리 글렌 로스","비천무","섹스 거짓말 그리고 비디오테이프","고령화 가족","사대명포","나니아 연대기 - 사자 마녀 그리고 옷장","쉘 위 댄스","엔젤 하트","뱀파이어","배트맨 대 슈퍼맨: 저스티스의 시작","내 여자친구를 소개합니다","거울나라의 앨리스","쾌걸 조로리의 대대대대모험","내니 맥피 - 우리 유모는 마법사","귀향","존 카터: 바숨 전쟁의 서막","사일런트 스크림","페르시아의 왕자: 시간의 모래","프로포즈 데이"
26,"wjsr****","46","노팅 힐","창피해","심플 플랜","주문진","극장판 안녕 자두야","우리 집에 왜 왔니","마이 플레이스","배트맨 대 슈퍼맨: 저스티스의 시작","라스트 갓파더","빅","아내가 결혼했다","엄마친구2","스파이타임 코드명: 아나클레토","오피스","나홀로 휴가","사랑 후에 남겨진 것들","르누아르","투혼","리얼 술래잡기","더 데이","사일런트 스크림","레이드 2","극장판 빰바라빤쮸: 바나나 왕국의 비밀","장화 홍련","명탐정 코난: 천공의 난파선","싸움의 기술","나를 찾아줘","로보트 태권V","마법에 걸린 사랑","호프 스프링즈"
30,"wooj****","87","워킹걸","웜 바디스","홀리데이","아수라","경의선","옹박 - 무에타이의 후예","이미테이션 게임","노킹 온 헤븐스 도어","더 콘서트","징기스칸: 제국의 건설","플래티나 데이터","돌아이 4 - 둔버기","애프터 러브","쏘우 3D","가족의 탄생","블러드 워","러시 : 더 라이벌","다크 섀도우","결정적 한방","한 번도 안 해본 여자","스즈미야 하루히의 소실","워크 오브 셰임","집으로...","루퍼","어린 아내","연가시","아메리칸 지골로","수","아비정전","극장판 도라에몽:진구의 비밀도구 박물관"
33,"ssam****","54","페어리테일: 봉황의 무녀","스텝 업 3D","섬. 사라진 사람들","계춘할망","메카닉: 리크루트","겁쟁이 페달: 스페어바이크","트리플 9","세기말","문라이트","뮨: 달의 요정","천국의 우편배달부","성냥팔이 소녀의 재림","반창꼬","나 홀로 집에","인 더 블러드","위 워 솔저스","더 데이","코러스","트와일라잇","신석기 블루스","마음이...","킹스맨 : 시크릿 에이전트","니모를 찾아서 3D","쥬라기공원: 다이노어택","캡틴 아메리카: 시빌 워","주성치의 심사관","퐁네프의 연인들","트랜센던스","존은 끝에 가서 죽는다","재키 앤 라이언"
41,"yjh8****","27","픽셀","모든 비밀스러운 것들","13시간","러브 & 트러블","인썸니아","오늘의 연애","우먼 인 골드","7번째 아들","올 이즈 로스트","음치클리닉","스푹스:MI5","에반게리온: 파","7월 4일생","유아 넥스트","내 남편의 가정교사","바그다드 카페 : 디렉터스컷","그리스","MB의 추억","아부의 왕","고스트 쉽","우먼 인 블랙","의천도룡기","인보카머스","헤라클레스 : 레전드 비긴즈","살인의 늪","극장판 썬더일레븐 GO VS 골판지 전사 W","뻔뻔한 딕 & 제인","신세계","빅 화이트","데스티네이션 3 - 파이널 데스티네이션"
44,"leec****","54","레트리뷰션 : 응징의 날","베리 굿 걸","천사와 악마","트래쉬","마이 파더","인천상륙작전 : 익스텐디드 에디션(확장판)","평행이론","글래디에이터","해피 에로 크리스마스","리치 리치","오늘의 연애","채피","들개들","악인","라스트 엑소시즘: 잠들지 않는 영혼","마을금고 연쇄습격사건","공공의 적","가족의 재구성","내일을 향해 쏴라","오리지널 씬","그림자 살인","콘트라밴드","언프렌디드: 친구삭제","워크 오브 셰임","러시 : 더 라이벌","에린 브로코비치","콘택트","빅","더 헌트","뮌헨"
