"user_pk","id","review_count","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33"
3,"0106****","64","바이러스","특전 유보트","춘희막이","감바의 대모험","하얀 리본","K-19 위도우메이커","그라운드의 이방인","밤과 낮","스프링 브레이커스","세이빙 산타","어린 아내","잡식가족의 딜레마","시럽","빅 화이트","필름시대사랑","렌트","무장원 소걸아","들개들","시티 헌터","사대명포","말콤 X","뽀로로 극장판 슈퍼썰매 대모험","스무살까지만 살고 싶어요","스피드","시스터 스마일","성월동화","취권","네 얼간이","천녀유혼 3 - 도도도","매란방"
4,"jjun****","73","바이러스","특전 유보트","춘희막이","감바의 대모험","하얀 리본","K-19 위도우메이커","그라운드의 이방인","밤과 낮","스프링 브레이커스","세이빙 산타","어린 아내","잡식가족의 딜레마","시럽","빅 화이트","필름시대사랑","렌트","무장원 소걸아","들개들","시티 헌터","사대명포","말콤 X","뽀로로 극장판 슈퍼썰매 대모험","스무살까지만 살고 싶어요","스피드","시스터 스마일","성월동화","취권","네 얼간이","천녀유혼 3 - 도도도","매란방"
14,"salt****","49","바이러스","특전 유보트","춘희막이","감바의 대모험","하얀 리본","K-19 위도우메이커","그라운드의 이방인","밤과 낮","스프링 브레이커스","세이빙 산타","어린 아내","잡식가족의 딜레마","시럽","빅 화이트","필름시대사랑","렌트","무장원 소걸아","들개들","시티 헌터","사대명포","말콤 X","뽀로로 극장판 슈퍼썰매 대모험","스무살까지만 살고 싶어요","스피드","시스터 스마일","성월동화","취권","네 얼간이","천녀유혼 3 - 도도도","매란방"
15,"dani****","52","바이러스","특전 유보트","춘희막이","감바의 대모험","하얀 리본","K-19 위도우메이커","그라운드의 이방인","밤과 낮","스프링 브레이커스","세이빙 산타","어린 아내","잡식가족의 딜레마","시럽","빅 화이트","필름시대사랑","렌트","무장원 소걸아","들개들","시티 헌터","사대명포","말콤 X","뽀로로 극장판 슈퍼썰매 대모험","스무살까지만 살고 싶어요","스피드","시스터 스마일","성월동화","취권","네 얼간이","천녀유혼 3 - 도도도","매란방"
22,"jhpa****","34","바이러스","특전 유보트","춘희막이","감바의 대모험","하얀 리본","K-19 위도우메이커","그라운드의 이방인","밤과 낮","스프링 브레이커스","세이빙 산타","어린 아내","잡식가족의 딜레마","시럽","빅 화이트","필름시대사랑","렌트","무장원 소걸아","들개들","시티 헌터","사대명포","말콤 X","뽀로로 극장판 슈퍼썰매 대모험","스무살까지만 살고 싶어요","스피드","시스터 스마일","성월동화","취권","네 얼간이","천녀유혼 3 - 도도도","매란방"
26,"wjsr****","46","바이러스","특전 유보트","춘희막이","감바의 대모험","하얀 리본","K-19 위도우메이커","그라운드의 이방인","밤과 낮","스프링 브레이커스","세이빙 산타","어린 아내","잡식가족의 딜레마","시럽","빅 화이트","필름시대사랑","렌트","무장원 소걸아","들개들","시티 헌터","사대명포","말콤 X","뽀로로 극장판 슈퍼썰매 대모험","스무살까지만 살고 싶어요","스피드","시스터 스마일","성월동화","취권","네 얼간이","천녀유혼 3 - 도도도","매란방"
30,"wooj****","87","바이러스","특전 유보트","춘희막이","감바의 대모험","하얀 리본","K-19 위도우메이커","그라운드의 이방인","밤과 낮","스프링 브레이커스","세이빙 산타","어린 아내","잡식가족의 딜레마","시럽","빅 화이트","필름시대사랑","렌트","무장원 소걸아","들개들","시티 헌터","사대명포","말콤 X","뽀로로 극장판 슈퍼썰매 대모험","스무살까지만 살고 싶어요","스피드","시스터 스마일","성월동화","취권","네 얼간이","천녀유혼 3 - 도도도","매란방"
33,"ssam****","54","바이러스","특전 유보트","춘희막이","감바의 대모험","하얀 리본","K-19 위도우메이커","그라운드의 이방인","밤과 낮","스프링 브레이커스","세이빙 산타","어린 아내","잡식가족의 딜레마","시럽","빅 화이트","필름시대사랑","렌트","무장원 소걸아","들개들","시티 헌터","사대명포","말콤 X","뽀로로 극장판 슈퍼썰매 대모험","스무살까지만 살고 싶어요","스피드","시스터 스마일","성월동화","취권","네 얼간이","천녀유혼 3 - 도도도","매란방"
41,"yjh8****","27","바이러스","특전 유보트","춘희막이","감바의 대모험","하얀 리본","K-19 위도우메이커","그라운드의 이방인","밤과 낮","스프링 브레이커스","세이빙 산타","어린 아내","잡식가족의 딜레마","시럽","빅 화이트","필름시대사랑","렌트","무장원 소걸아","들개들","시티 헌터","사대명포","말콤 X","뽀로로 극장판 슈퍼썰매 대모험","스무살까지만 살고 싶어요","스피드","시스터 스마일","성월동화","취권","네 얼간이","천녀유혼 3 - 도도도","매란방"
44,"leec****","54","바이러스","특전 유보트","춘희막이","감바의 대모험","하얀 리본","K-19 위도우메이커","그라운드의 이방인","밤과 낮","스프링 브레이커스","세이빙 산타","어린 아내","잡식가족의 딜레마","시럽","빅 화이트","필름시대사랑","렌트","무장원 소걸아","들개들","시티 헌터","사대명포","말콤 X","뽀로로 극장판 슈퍼썰매 대모험","스무살까지만 살고 싶어요","스피드","시스터 스마일","성월동화","취권","네 얼간이","천녀유혼 3 - 도도도","매란방"
49,"rudt****","25","바이러스","특전 유보트","춘희막이","감바의 대모험","하얀 리본","K-19 위도우메이커","그라운드의 이방인","밤과 낮","스프링 브레이커스","세이빙 산타","어린 아내","잡식가족의 딜레마","시럽","빅 화이트","필름시대사랑","렌트","무장원 소걸아","들개들","시티 헌터","사대명포","말콤 X","뽀로로 극장판 슈퍼썰매 대모험","스무살까지만 살고 싶어요","스피드","시스터 스마일","성월동화","취권","네 얼간이","천녀유혼 3 - 도도도","매란방"
51,"ckdg****","76","바이러스","특전 유보트","춘희막이","감바의 대모험","하얀 리본","K-19 위도우메이커","그라운드의 이방인","밤과 낮","스프링 브레이커스","세이빙 산타","어린 아내","잡식가족의 딜레마","시럽","빅 화이트","필름시대사랑","렌트","무장원 소걸아","들개들","시티 헌터","사대명포","말콤 X","뽀로로 극장판 슈퍼썰매 대모험","스무살까지만 살고 싶어요","스피드","시스터 스마일","성월동화","취권","네 얼간이","천녀유혼 3 - 도도도","매란방"
55,"kais****","51","바이러스","특전 유보트","춘희막이","감바의 대모험","하얀 리본","K-19 위도우메이커","그라운드의 이방인","밤과 낮","스프링 브레이커스","세이빙 산타","어린 아내","잡식가족의 딜레마","시럽","빅 화이트","필름시대사랑","렌트","무장원 소걸아","들개들","시티 헌터","사대명포","말콤 X","뽀로로 극장판 슈퍼썰매 대모험","스무살까지만 살고 싶어요","스피드","시스터 스마일","성월동화","취권","네 얼간이","천녀유혼 3 - 도도도","매란방"
