"user_pk","id","review_count","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33"
3,"0106****","64","23 아이덴티티","해빙","마스터","공조","밀정","터널","아수라","판도라","조작된 도시","로건","베테랑","닥터 스트레인지","라라랜드","인천상륙작전","럭키","국제시장","킹스맨 : 시크릿 에이전트","너의 이름은.","변호인","곡성(哭聲)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,"jjun****","73","23 아이덴티티","마스터","프리즌","공조","인천상륙작전","밀정","터널","아수라","판도라","조작된 도시","국제시장","닥터 스트레인지","럭키","콩: 스컬 아일랜드","부산행","너의 이름은.","내부자들","변호인","라라랜드",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,"salt****","49","형","프리즌","공조","럭키","검사외전","조작된 도시","더 킹","국제시장","터널","베테랑","미녀와 야수","설국열차","명량","인터스텔라","로건","킹스맨 : 시크릿 에이전트","부산행","콩: 스컬 아일랜드","인천상륙작전","내부자들","닥터 스트레인지","너의 이름은.","곡성(哭聲)",NA,NA,NA,NA,NA,NA,NA
15,"dani****","52","형","마스터","해빙","공조","터널","조작된 도시","더 킹","내부자들","아가씨","암살","킹스맨 : 시크릿 에이전트","부산행","국제시장","콩: 스컬 아일랜드","로건","베테랑","너의 이름은.","미녀와 야수","라라랜드","곡성(哭聲)","명량","변호인",NA,NA,NA,NA,NA,NA,NA,NA
22,"jhpa****","34","마스터","신비한 동물사전","공조","프리즌","더 킹","암살","내부자들","닥터 스트레인지","판도라","인터스텔라","로건","킹스맨 : 시크릿 에이전트","인천상륙작전","콩: 스컬 아일랜드","변호인","라라랜드","아수라","곡성(哭聲)","너의 이름은.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,"wjsr****","46","해빙","프리즌","공조","터널","더 킹","조작된 도시","밀정","닥터 스트레인지","마스터","내부자들","럭키","판도라","킹스맨 : 시크릿 에이전트","콩: 스컬 아일랜드","부산행","국제시장","베테랑","암살","라라랜드","곡성(哭聲)","미녀와 야수","변호인","명량",NA,NA,NA,NA,NA,NA,NA
30,"wooj****","87","23 아이덴티티","해빙","공조","인천상륙작전","마스터","검사외전","판도라","조작된 도시","더 킹","국제시장","닥터 스트레인지","아가씨","럭키","설국열차","인터스텔라","부산행","미녀와 야수","내부자들","베테랑","킹스맨 : 시크릿 에이전트","암살",NA,NA,NA,NA,NA,NA,NA,NA,NA
33,"ssam****","54","형","마스터","신비한 동물사전","공조","밀정","아수라","판도라","조작된 도시","암살","내부자들","닥터 스트레인지","미녀와 야수","킹스맨 : 시크릿 에이전트","콩: 스컬 아일랜드","로건","너의 이름은.","베테랑","인터스텔라","곡성(哭聲)","명량","변호인",NA,NA,NA,NA,NA,NA,NA,NA,NA
41,"yjh8****","27","마스터","공조","프리즌","밀정","터널","아수라","판도라","조작된 도시","닥터 스트레인지","베테랑","인천상륙작전","럭키","설국열차","명량","내부자들","콩: 스컬 아일랜드","인터스텔라","곡성(哭聲)","라라랜드","부산행",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,"leec****","54","프리즌","터널","마스터","암살","더 킹","공조","조작된 도시","밀정","럭키","판도라","명량","인터스텔라","킹스맨 : 시크릿 에이전트","내부자들","너의 이름은.","인천상륙작전","변호인","라라랜드","로건","콩: 스컬 아일랜드","부산행","곡성(哭聲)",NA,NA,NA,NA,NA,NA,NA,NA
49,"rudt****","25","신비한 동물사전","해빙","마스터","공조","터널","밀정","라라랜드","미녀와 야수","더 킹","럭키","베테랑","콩: 스컬 아일랜드","조작된 도시","인천상륙작전","암살","킹스맨 : 시크릿 에이전트","너의 이름은.","부산행","곡성(哭聲)","인터스텔라","아수라","변호인",NA,NA,NA,NA,NA,NA,NA,NA
51,"ckdg****","76","괴물","해빙","공조","인천상륙작전","밀정","마스터","판도라","닥터 스트레인지","아가씨","더 킹","럭키","조작된 도시","부산행","국제시장","베테랑","콩: 스컬 아일랜드","로건","변호인","내부자들","너의 이름은.","암살","명량","미녀와 야수","라라랜드",NA,NA,NA,NA,NA,NA
55,"kais****","51","형","마스터","23 아이덴티티","프리즌","밀정","럭키","조작된 도시","더 킹","로건","닥터 스트레인지","아가씨","판도라","설국열차","명량","킹스맨 : 시크릿 에이전트","인천상륙작전","미녀와 야수","인터스텔라","캡틴 아메리카: 시빌 워","라라랜드","곡성(哭聲)",NA,NA,NA,NA,NA,NA,NA,NA,NA
58,"mien****","31","프리즌","검사외전","공조","더 킹","닥터 스트레인지","라라랜드","설국열차","킹스맨 : 시크릿 에이전트","인천상륙작전","미녀와 야수","조작된 도시","마스터","내부자들","국제시장","암살","럭키","베테랑","콩: 스컬 아일랜드","곡성(哭聲)","부산행","명량","밀정",NA,NA,NA,NA,NA,NA,NA,NA
66,"zmff****","46","형","마스터","23 아이덴티티","밀정","터널","럭키","아수라","판도라","프리즌","내부자들","닥터 스트레인지","아가씨","인천상륙작전","암살","너의 이름은.","베테랑","인터스텔라","국제시장","곡성(哭聲)","캡틴 아메리카: 시빌 워","라라랜드","미녀와 야수","변호인",NA,NA,NA,NA,NA,NA,NA
67,"psyc****","78","엣지 오브 다크니스","디어 존","마스터","23 아이덴티티","터널","럭키","검사외전","아수라","판도라","프리즌","국제시장","로건","암살","인천상륙작전","인터스텔라","부산행","닥터 스트레인지","내부자들","변호인","곡성(哭聲)","캡틴 아메리카: 시빌 워","미녀와 야수",NA,NA,NA,NA,NA,NA,NA,NA
72,"tndu****","62","형","해빙","밀정","터널","럭키","검사외전","더 킹","국제시장","프리즌","아가씨","인천상륙작전","미녀와 야수","명량","너의 이름은.","콩: 스컬 아일랜드","인터스텔라","캡틴 아메리카: 시빌 워","변호인","곡성(哭聲)","아수라",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,"ekdn****","30","형","마스터","인천상륙작전","터널","럭키","조작된 도시","더 킹","국제시장","내부자들","프리즌","아가씨","암살","인터스텔라","너의 이름은.","베테랑","콩: 스컬 아일랜드","킹스맨 : 시크릿 에이전트","변호인","캡틴 아메리카: 시빌 워","미녀와 야수","로건","아수라",NA,NA,NA,NA,NA,NA,NA,NA
79,"sean****","58","마스터","프리즌","공조","인천상륙작전","밀정","아수라","조작된 도시","암살","터널","라라랜드","미녀와 야수","럭키","로건","콩: 스컬 아일랜드","부산행","너의 이름은.","베테랑","닥터 스트레인지","인터스텔라","변호인","내부자들","킹스맨 : 시크릿 에이전트","명량",NA,NA,NA,NA,NA,NA,NA
