"user_pk","id","SF_prefer","SF_credit","SF_count","가족_prefer","가족_credit","가족_count","공연실황_prefer","공연실황_credit","공연실황_count","공포_prefer","공포_credit","공포_count","느와르_prefer","느와르_credit","느와르_count","다큐멘터리_prefer","다큐멘터리_credit","다큐멘터리_count","드라마_prefer","드라마_credit","드라마_count","멜로.로맨스_prefer","멜로.로맨스_credit","멜로.로맨스_count","모험_prefer","모험_credit","모험_count","무협_prefer","무협_credit","무협_count","뮤지컬_prefer","뮤지컬_credit","뮤지컬_count","미스터리_prefer","미스터리_credit","미스터리_count","범죄_prefer","범죄_credit","범죄_count","블랙코미디_prefer","블랙코미디_credit","블랙코미디_count","서부_prefer","서부_credit","서부_count","서사_prefer","서사_credit","서사_count","서스펜스_prefer","서스펜스_credit","서스펜스_count","스릴러_prefer","스릴러_credit","스릴러_count","애니메이션_prefer","애니메이션_credit","애니메이션_count","액션_prefer","액션_credit","액션_count","에로_prefer","에로_credit","에로_count","전쟁_prefer","전쟁_credit","전쟁_count","코미디_prefer","코미디_credit","코미디_count","판타지_prefer","판타지_credit","판타지_count"
3,"0106****",0.612,0.459,10,0.771,0,1,NA,NA,NA,0.334,0.219,3,NA,NA,NA,NA,NA,NA,0.566,0.697,33,0.515,0.438,9,0.652,0.478,11,NA,NA,NA,0.652,0,1,0.394,0.414,8,0.72,0.478,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.464,0.587,19,0.771,0,1,0.6,0.625,23,NA,NA,NA,0.771,0.219,3,0.451,0.511,13,0.404,0.321,5
4,"jjun****",0.449,0.384,7,0.695,0.274,4,NA,NA,NA,0.326,0.217,3,NA,NA,NA,NA,NA,NA,0.471,0.702,35,0.49,0.535,15,0.612,0.474,11,NA,NA,NA,0.584,0.137,2,0.458,0.318,5,0.645,0.318,5,NA,NA,NA,NA,NA,NA,0.729,0,1,NA,NA,NA,0.379,0.507,13,0.453,0.354,6,0.549,0.611,22,NA,NA,NA,0.505,0.137,2,0.454,0.56,17,0.584,0.455,10
14,"salt****",0.081,0.242,3,0.692,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.692,0,1,0.574,0.735,28,0.59,0.459,8,0.416,0.459,8,NA,NA,NA,0.692,0,1,NA,NA,NA,0.475,0.429,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.692,0,1,0.409,0.485,9,0.692,0,1,0.47,0.612,16,NA,NA,NA,0.692,0.153,2,0.568,0.306,4,0.169,0.242,3
15,"dani****",0.461,0.485,10,0.456,0.232,3,NA,NA,NA,0.572,0.146,2,0.018,0,1,NA,NA,NA,0.632,0.609,18,0.538,0.292,4,0.626,0.485,10,NA,NA,NA,NA,NA,NA,0.703,0.146,2,0.503,0.505,11,NA,NA,NA,NA,NA,NA,0.76,0,1,NA,NA,NA,0.521,0.571,15,0.365,0,1,0.469,0.642,21,NA,NA,NA,0.007,0,1,0.472,0.463,9,0.595,0.378,6
22,"jhpa****",0.272,0.266,3,0.796,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.653,0.7,18,0.518,0.266,3,0.11,0.336,4,NA,NA,NA,0.669,0.168,2,NA,NA,NA,0.518,0,1,NA,NA,NA,NA,NA,NA,0.518,0,1,0.796,0,1,0.39,0.434,6,0.796,0,1,0.339,0.581,11,NA,NA,NA,NA,NA,NA,0.563,0.471,7,0.621,0.266,3
26,"wjsr****",0.614,0.396,6,NA,NA,NA,NA,NA,NA,0.284,0.307,4,NA,NA,NA,NA,NA,NA,0.568,0.684,22,0.372,0.486,9,0.569,0.46,8,NA,NA,NA,NA,NA,NA,0.51,0.243,3,0.307,0.243,3,NA,NA,NA,0.355,0,1,NA,NA,NA,NA,NA,NA,0.298,0.509,10,0.614,0.243,3,0.637,0.53,11,NA,NA,NA,0.794,0,1,0.198,0.356,5,0.664,0.396,6
30,"wooj****",0.554,0.484,13,0.385,0.338,6,NA,NA,NA,0.469,0.207,3,NA,NA,NA,NA,NA,NA,0.564,0.701,41,0.398,0.484,13,0.46,0.556,19,NA,NA,NA,0.782,0.131,2,0.699,0.304,5,0.538,0.392,8,NA,NA,NA,0.782,0,1,NA,NA,NA,NA,NA,NA,0.407,0.556,19,0.293,0.392,8,0.593,0.636,29,NA,NA,NA,0.749,0.207,3,0.451,0.523,16,0.348,0.498,14
33,"ssam****",0.573,0.413,7,0.107,0,1,NA,NA,NA,0.502,0.38,6,NA,NA,NA,NA,NA,NA,0.557,0.683,25,0.251,0.38,6,0.38,0.38,6,NA,NA,NA,0.625,0.147,2,0.404,0.342,5,0.44,0.294,4,NA,NA,NA,NA,NA,NA,0.827,0,1,NA,NA,NA,0.544,0.528,12,0.322,0.147,2,0.528,0.625,19,NA,NA,NA,0.268,0.233,3,0.316,0.467,9,0.089,0.233,3
41,"yjh8****",0.305,0.335,4,0.669,0,1,NA,NA,NA,0.343,0.167,2,NA,NA,NA,NA,NA,NA,0.495,0.654,15,0.616,0.265,3,0.374,0.388,5,NA,NA,NA,0.506,0,1,NA,NA,NA,0.669,0.265,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.669,0.388,5,0.669,0.167,2,0.567,0.579,11,NA,NA,NA,0.669,0.167,2,0.669,0.335,4,0.255,0.388,5
44,"leec****",0.527,0.376,6,0.724,0.146,2,NA,NA,NA,0.223,0.291,4,0.794,0,1,0.113,0.146,2,0.584,0.707,29,0.467,0.231,3,0.507,0.461,9,NA,NA,NA,0.794,0,1,0.601,0.291,4,0.534,0.437,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.453,0.539,13,0.643,0,1,0.611,0.639,21,NA,NA,NA,NA,NA,NA,0.643,0.231,3,0.627,0.484,10
49,"rudt****",0.436,0.353,4,0.74,0.279,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.548,0.586,10,0.595,0,1,0.695,0.279,3,NA,NA,NA,NA,NA,NA,0.167,0.176,2,0.286,0.409,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.167,0.353,4,NA,NA,NA,0.634,0.529,8,NA,NA,NA,NA,NA,NA,0.671,0.529,8,0.334,0.279,3
51,"ckdg****",0.518,0.508,14,0.749,0.133,2,NA,NA,NA,0.545,0.375,7,NA,NA,NA,0.749,0,1,0.528,0.635,27,0.573,0.267,4,0.448,0.521,15,NA,NA,NA,NA,NA,NA,0.381,0.345,6,0.404,0.462,11,NA,NA,NA,0.265,0,1,NA,NA,NA,NA,NA,NA,0.447,0.62,25,0.749,0.212,3,0.529,0.7,38,NA,NA,NA,0.635,0.212,3,0.493,0.546,17,0.694,0.345,6
