"","user_pk","id","SF_mean","SF_std","SF_count","가족_mean","가족_std","가족_count","공연실황_mean","공연실황_std","공연실황_count","공포_mean","공포_std","공포_count","느와르_mean","느와르_std","느와르_count","다큐멘터리_mean","다큐멘터리_std","다큐멘터리_count","드라마_mean","드라마_std","드라마_count","멜로/로맨스_mean","멜로/로맨스_std","멜로/로맨스_count","모험_mean","모험_std","모험_count","무협_mean","무협_std","무협_count","뮤지컬_mean","뮤지컬_std","뮤지컬_count","미스터리_mean","미스터리_std","미스터리_count","범죄_mean","범죄_std","범죄_count","블랙코미디_mean","블랙코미디_std","블랙코미디_count","서부_mean","서부_std","서부_count","서사_mean","서사_std","서사_count","서스펜스_mean","서스펜스_std","서스펜스_count","스릴러_mean","스릴러_std","스릴러_count","애니메이션_mean","애니메이션_std","애니메이션_count","액션_mean","액션_std","액션_count","에로_mean","에로_std","에로_count","전쟁_mean","전쟁_std","전쟁_count","코미디_mean","코미디_std","코미디_count","판타지_mean","판타지_std","판타지_count"
"1",3,"0106****",8.7,2.64764045897475,10,10,0,1,NA,NA,NA,6.66666666666667,4.02768199119819,3,NA,NA,NA,NA,NA,NA,8.36363636363636,2.26726616606181,33,8,2.26077666104176,9,9,1.70560573084488,11,NA,NA,NA,9,0,1,7.125,3.13996417177012,8,9.54545454545454,0.655554777357095,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.63157894736842,3.08153287753778,19,10,0,1,8.60869565217391,2.2791899864489,23,NA,NA,NA,10,0,3,7.53846153846154,3.20133108410536,13,7.2,2.71293199325011,5
"2",4,"jjun****",8.14285714285714,1.35526185435788,7,9.75,0.433012701892219,4,NA,NA,NA,7.33333333333333,3.77123616632825,3,NA,NA,NA,NA,NA,NA,8.28571428571429,2.6357046070283,35,8.4,2.55081686262786,15,9.18181818181818,1.58505416128752,11,NA,NA,NA,9,1,2,8.2,2.22710574513201,5,9.4,0.489897948556616,5,NA,NA,NA,NA,NA,NA,10,0,1,NA,NA,NA,7.69230769230769,2.83886801342245,13,8.16666666666667,3.23608130649127,6,8.77272727272727,2.04343334481718,22,NA,NA,NA,8.5,1.5,2,8.17647058823529,2.95526039696011,17,9,1.48323969741913,10
"3",14,"salt****",5.66666666666667,3.39934634239519,3,10,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,0,1,9.28571428571429,1.86809954723171,28,9.375,0.992156741649222,8,8.375,2.86956007081225,8,NA,NA,NA,10,0,1,NA,NA,NA,8.71428571428571,1.27775312999988,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,0,1,8.33333333333333,2.70801280154532,9,10,0,1,8.6875,2.19996448834976,16,NA,NA,NA,10,0,2,9.25,1.29903810567666,4,6.66666666666667,4.02768199119819,3
"4",15,"dani****",7.7,2.9,10,7.66666666666667,0.471404520791023,3,NA,NA,NA,8.5,1.5,2,2,0,1,NA,NA,NA,8.94444444444444,2.17235719955746,18,8.25,0.82915619758885,4,8.9,1.22065556157337,10,NA,NA,NA,NA,NA,NA,9.5,0.5,2,8,3.49024614917318,11,NA,NA,NA,NA,NA,NA,10,0,1,NA,NA,NA,8.13333333333333,2.96348143611905,15,7,0,1,7.76190476190476,3.09999634262091,21,NA,NA,NA,1,0,1,7.77777777777778,2.57240820062005,9,8.66666666666667,1.37436854187256,6
"5",22,"jhpa****",6.33333333333333,3.85861230093008,3,10,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.88888888888889,1.04822012578406,18,8,1.63299316185545,3,4.75,3.89711431702997,4,NA,NA,NA,9,1,2,NA,NA,NA,8,0,1,NA,NA,NA,NA,NA,NA,8,0,1,10,0,1,7.16666666666667,2.85287379477061,6,10,0,1,6.81818181818182,3.12811827892459,11,NA,NA,NA,NA,NA,NA,8.28571428571429,1.48461497791618,7,8.66666666666667,0.942809041582069,3
"6",26,"wjsr****",8.66666666666667,1.88561808316413,6,NA,NA,NA,NA,NA,NA,6.5,3.5,4,NA,NA,NA,NA,NA,NA,8.36363636363636,1.79761090302593,22,7.11111111111111,3.51012644420696,9,8.375,1.72753437013566,8,NA,NA,NA,NA,NA,NA,8,1.63299316185545,3,6.66666666666667,2.35702260395516,3,NA,NA,NA,7,0,1,NA,NA,NA,NA,NA,NA,6.6,3.10483493925201,10,8.66666666666667,1.88561808316413,3,8.81818181818182,1.6958871005616,11,NA,NA,NA,10,0,1,5.8,3.81575680566778,5,9,1.52752523165195,6
"7",30,"wooj****",8,2.71746488194703,13,6.66666666666667,4.06885187191123,6,NA,NA,NA,7.33333333333333,2.35702260395516,3,NA,NA,NA,NA,NA,NA,8.07317073170732,2.91664896173205,41,6.76923076923077,4.0601979139682,13,7.26315789473684,3.17626237255044,19,NA,NA,NA,10,0,2,9.2,0.979795897113275,5,7.875,2.75850956133924,8,NA,NA,NA,10,0,1,NA,NA,NA,NA,NA,NA,6.84210526315789,3.57275005231098,19,5.875,3.62068708949006,8,8.31034482758621,2.29096348163767,29,NA,NA,NA,9.66666666666667,0.471404520791053,3,7.1875,3.44997735499815,16,6.35714285714286,3.39342100577706,14
"8",33,"ssam****",7.57142857142857,3.15581743348208,7,3,0,1,NA,NA,NA,7,3.16227766016838,6,NA,NA,NA,NA,NA,NA,7.44,3.04735951275854,25,4.83333333333333,3.8477987935384,6,6,3.36650164612069,6,NA,NA,NA,8,0,2,6.2,3.86781592116274,5,6.5,2.95803989154981,4,NA,NA,NA,NA,NA,NA,10,0,1,NA,NA,NA,7.33333333333333,3.0368111930481,12,5.5,2.5,2,7.21052631578947,3.2212934206525,19,NA,NA,NA,5,3.74165738677394,3,5.44444444444444,2.98556196500987,9,2.66666666666667,2.35702260395516,3
"9",41,"yjh8****",7.75,2.8613807855649,4,10,0,1,NA,NA,NA,8,2,2,NA,NA,NA,NA,NA,NA,8.93333333333333,2.48908729367926,15,9.66666666666667,0.471404520791053,3,8.2,2.71293199325011,5,NA,NA,NA,9,0,1,NA,NA,NA,10,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,0,5,10,0,2,9.36363636363636,2.01235851101624,11,NA,NA,NA,10,0,2,10,0,4,7.4,2.87054001888146,5
"10",44,"leec****",8.33333333333333,1.24721912892464,6,9.5,0.5,2,NA,NA,NA,6.5,3.35410196624968,4,10,0,1,5.5,4.5,2,8.6551724137931,1.64580683638369,29,8,2.16024689946929,3,8.22222222222222,1.47405546238018,9,NA,NA,NA,10,0,1,8.75,1.08972473588517,4,8.375,1.21834929310112,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.92307692307692,1.59139698965978,13,9,0,1,8.80952380952381,1.36692381851498,21,NA,NA,NA,NA,NA,NA,9,0.816496580927729,3,8.9,1.37477270848675,10
