"user_pk","id","X12세.관람가_prefer","X12세.관람가_credit","X12세.관람가_count","X15세.관람가_prefer","X15세.관람가_credit","X15세.관람가_count","G_prefer","G_credit","G_count","NR_prefer","NR_credit","NR_count","PG_prefer","PG_credit","PG_count","PG.13_prefer","PG.13_credit","PG.13_count","R_prefer","R_credit","R_count","전체.관람가_prefer","전체.관람가_credit","전체.관람가_count","청소년.관람불가_prefer","청소년.관람불가_credit","청소년.관람불가_count"
3,"0106****",0.596,0.708,19,0.472,0.783,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.734,0.264,3,0.386,0.667,16
4,"jjun****",0.635,0.674,18,0.45,0.822,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.305,0.559,11,0.645,0.537,10
14,"salt****",0.438,0.743,18,0.505,0.837,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.692,0,1,0.692,0.356,4
15,"dani****",0.538,0.758,20,0.536,0.771,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.433,0.175,2,0.351,0.556,9
22,"jhpa****",0.388,0.727,13,0.518,0.748,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.669,0.197,2,0.669,0.456,5
26,"wjsr****",0.579,0.724,16,0.421,0.819,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.794,0.181,2,0.479,0.42,5
30,"wooj****",0.495,0.762,30,0.545,0.738,27,NA,NA,NA,NA,NA,NA,0.306,0,1,NA,NA,NA,NA,NA,NA,0.306,0.436,7,0.525,0.692,22
33,"ssam****",0.367,0.738,19,0.569,0.817,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.502,0.275,3,0.625,0.449,6
41,"yjh8****",0.172,0.59,7,0.612,0.728,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.589,0.21,2,0.669,0.59,7
44,"leec****",0.643,0.643,13,0.336,0.751,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.698,0.449,6,0.515,0.679,15
