"","user_pk","id","12세 관람가_mean","12세 관람가_std","12세 관람가_count","15세 관람가_mean","15세 관람가_std","15세 관람가_count","G_mean","G_std","G_count","NR_mean","NR_std","NR_count","PG_mean","PG_std","PG_count","PG-13_mean","PG-13_std","PG-13_count","R_mean","R_std","R_count","전체 관람가_mean","전체 관람가_std","전체 관람가_count","청소년 관람불가_mean","청소년 관람불가_std","청소년 관람불가_count"
"1",3,"0106****",8.57894736842105,2.36900577577408,19,7.69230769230769,2.8792257341866,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.66666666666667,0.471404520791053,3,7.0625,3.13186745409189,16
"2",4,"jjun****",9.33333333333333,1.05409255338945,18,8.14705882352941,2.73466153343008,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.18181818181818,3.32533475603125,11,9.4,1.28062484748656,10
"3",14,"salt****",8.5,2.81365716935569,18,8.88461538461539,1.94791650186163,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,0,1,10,0,4
"4",15,"dani****",8.25,2.77263412660235,20,8.23809523809524,2.72387612306193,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5,0.5,2,6.88888888888889,3.17785547690557,9
"5",22,"jhpa****",7.15384615384615,2.79687060964582,13,8,2.56347977784662,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1,2,9,0.894427190999914,5
"6",26,"wjsr****",8.4375,1.69443021396574,16,7.43478260869565,3.00472218142104,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,0,2,7.8,1.6,5
"7",30,"wooj****",7.53333333333333,3.27346231925091,30,7.92592592592593,2.82745699022108,27,NA,NA,NA,NA,NA,NA,6,0,1,NA,NA,NA,NA,NA,NA,6,3.54562104171167,7,7.77272727272727,2.89092338475597,22
"8",33,"ssam****",5.89473684210526,3.56731856901696,19,7.53846153846154,2.89868364329489,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2.94392028877595,3,8,1.91485421551268,6
"9",41,"yjh8****",6.71428571428571,3.45229884959845,7,9.63636363636364,1.14991914915214,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.5,0.5,2,10,0,7
"10",44,"leec****",9,1.35873244097351,13,7.25,2.77263412660235,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.33333333333333,0.942809041582054,6,8.26666666666667,1.6918103387266,15
"11",49,"rudt****",8.16666666666667,2.4438130497692,12,9.2,1.16619037896907,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,0,4,6.5,3.20156211871642,4
"12",51,"ckdg****",7.69230769230769,3.30232122056395,26,8,2.81577190634672,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,0,5,7.58823529411765,3.27304182193966,17
"13",55,"kais****",7.14285714285714,3.62249209517313,14,8.09090909090909,2.98342528753126,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.75,3.34477204006491,4,8.54545454545454,2.53569557836025,11
"14",58,"mien****",6,2.94392028877595,15,5,4.04145188432738,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.125,3.13996417177012,8,7,2,2
"15",66,"zmff****",8.75,2.48746859276655,12,7.27777777777778,3.61794225670332,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.57142857142857,3.11022015101103,7,9.11111111111111,1.19670329047434,9
"16",67,"psyc****",7.52380952380952,1.89281970612874,21,7.25,3.26917420765551,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.16666666666667,0.687184270936281,6,8.37037037037037,2.39053919453406,27
"17",72,"tndu****",8.8125,2.12775556631865,16,8.5,2.44608530786098,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.14285714285714,3.94347821195493,7,8,2.94392028877595,9
"18",78,"ekdn****",6.8,3.24961536185438,5,6.78947368421053,3.00138472197542,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,0,1,6.2,2.71293199325011,5
"19",79,"sean****",6.42857142857143,3.43055498177674,21,6.22222222222222,3.29234053111757,18,NA,NA,NA,NA,NA,NA,2,0,1,NA,NA,NA,NA,NA,NA,10,0,1,6.52941176470588,3.59930789194785,17
"20",82,"vero****",8.75,2.61804634540084,12,8.21739130434783,2.81234115283413,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.33333333333333,1.24721912892464,3,8.11111111111111,2.88461221905493,9
"21",84,"hyej****",8.04545454545454,2.70483191760216,22,7.64516129032258,3.01125187873934,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.5,2.69258240356725,10,8.22222222222222,2.19988776369148,9
"22",87,"momo****",6.23529411764706,3.90368471130284,17,5.68965517241379,3.37438064075174,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,4.24264068711928,3,6.46666666666667,3.94743235815666,15
"23",93,"choo****",7.93333333333333,2.20504472113883,15,8.25,1.93879564973428,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.4,3.38230690505755,5,8.14285714285714,1.98292026796734,21
