"user_pk","id","그리스_prefer","그리스_credit","그리스_count","네덜란드_prefer","네덜란드_credit","네덜란드_count","노르웨이_prefer","노르웨이_credit","노르웨이_count","뉴질랜드_prefer","뉴질랜드_credit","뉴질랜드_count","대만_prefer","대만_credit","대만_count","덴마크_prefer","덴마크_credit","덴마크_count","독일_prefer","독일_credit","독일_count","독일.구.서독._prefer","독일.구.서독._credit","독일.구.서독._count","러시아.연방_prefer","러시아.연방_credit","러시아.연방_count","루마니아_prefer","루마니아_credit","루마니아_count","말레이지아_prefer","말레이지아_credit","말레이지아_count","멕시코_prefer","멕시코_credit","멕시코_count","몽골_prefer","몽골_credit","몽골_count","미국_prefer","미국_credit","미국_count","베네수엘라_prefer","베네수엘라_credit","베네수엘라_count","베트남_prefer","베트남_credit","베트남_count","벨기에_prefer","벨기에_credit","벨기에_count","북한_prefer","북한_credit","북한_count","브라질_prefer","브라질_credit","브라질_count","스웨덴_prefer","스웨덴_credit","스웨덴_count","스위스_prefer","스위스_credit","스위스_count","스페인_prefer","스페인_credit","스페인_count","아르헨티나_prefer","아르헨티나_credit","아르헨티나_count","아이슬란드_prefer","아이슬란드_credit","아이슬란드_count","아일랜드_prefer","아일랜드_credit","아일랜드_count","에스토니아_prefer","에스토니아_credit","에스토니아_count","영국_prefer","영국_credit","영국_count","오스트레일리아_prefer","오스트레일리아_credit","오스트레일리아_count","오스트리아_prefer","오스트리아_credit","오스트리아_count","우크라이나_prefer","우크라이나_credit","우크라이나_count","이란_prefer","이란_credit","이란_count","이탈리아_prefer","이탈리아_credit","이탈리아_count","인도_prefer","인도_credit","인도_count","인도네시아_prefer","인도네시아_credit","인도네시아_count","일본_prefer","일본_credit","일본_count","중국_prefer","중국_credit","중국_count","체코_prefer","체코_credit","체코_count","칠레_prefer","칠레_credit","칠레_count","캐나다_prefer","캐나다_credit","캐나다_count","콜롬비아_prefer","콜롬비아_credit","콜롬비아_count","태국_prefer","태국_credit","태국_count","터키_prefer","터키_credit","터키_count","페루_prefer","페루_credit","페루_count","폴란드_prefer","폴란드_credit","폴란드_count","푸에르토리코_prefer","푸에르토리코_credit","푸에르토리코_count","프랑스_prefer","프랑스_credit","프랑스_count","핀란드_prefer","핀란드_credit","핀란드_count","한국_prefer","한국_credit","한국_count","헝가리_prefer","헝가리_credit","헝가리_count","홍콩_prefer","홍콩_credit","홍콩_count"
3,"0106****",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.771,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.511,0.826,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.155,0.167,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.086,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.771,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.771,0,1,NA,NA,NA,0.505,0.792,27,NA,NA,NA,NA,NA,NA
4,"jjun****",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.729,0.162,2,NA,NA,NA,0.427,0.162,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.567,0.777,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.084,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.453,0.418,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.532,0.256,3,NA,NA,NA,0.432,0.785,29,NA,NA,NA,0.729,0.162,2
14,"salt****",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.525,0,1,0.692,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.471,0.659,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.692,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.498,0.898,33,NA,NA,NA,NA,NA,NA
15,"dani****",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.541,0.782,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.76,0,1,NA,NA,NA,0.365,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.503,0,1,0.76,0,1,NA,NA,NA,0.433,0.175,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.007,0,1,NA,NA,NA,0.491,0.794,23,NA,NA,NA,NA,NA,NA
22,"jhpa****",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.41,0.653,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.669,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.532,0.889,23,NA,NA,NA,NA,NA,NA
26,"wjsr****",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.794,0,1,NA,NA,NA,0.521,0.707,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.614,0.287,3,0.51,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.355,0,1,NA,NA,NA,NA,NA,NA,0.733,0.181,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.221,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.664,0.362,4,NA,NA,NA,0.382,0.74,17,NA,NA,NA,0.794,0,1
30,"wooj****",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.617,0.155,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.523,0.783,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.427,0.31,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.353,0.36,5,0.782,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.493,0.837,42,NA,NA,NA,NA,NA,NA
33,"ssam****",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.38,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.484,0.751,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.827,0,1,NA,NA,NA,0.502,0.844,29,NA,NA,NA,0.502,0.275,3
41,"yjh8****",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.669,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.517,0.822,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.669,0.21,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.414,0.667,9,NA,NA,NA,NA,NA,NA
44,"leec****",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.552,0.738,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.601,0.348,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.724,0.174,2,0.643,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.794,0,1,NA,NA,NA,0.414,0.826,27,NA,NA,NA,NA,NA,NA
