"","user_pk","id","그리스_mean","그리스_std","그리스_count","네덜란드_mean","네덜란드_std","네덜란드_count","노르웨이_mean","노르웨이_std","노르웨이_count","뉴질랜드_mean","뉴질랜드_std","뉴질랜드_count","대만_mean","대만_std","대만_count","덴마크_mean","덴마크_std","덴마크_count","독일_mean","독일_std","독일_count","독일(구 서독)_mean","독일(구 서독)_std","독일(구 서독)_count","러시아 연방_mean","러시아 연방_std","러시아 연방_count","루마니아_mean","루마니아_std","루마니아_count","말레이지아_mean","말레이지아_std","말레이지아_count","멕시코_mean","멕시코_std","멕시코_count","몽골_mean","몽골_std","몽골_count","미국_mean","미국_std","미국_count","베네수엘라_mean","베네수엘라_std","베네수엘라_count","베트남_mean","베트남_std","베트남_count","벨기에_mean","벨기에_std","벨기에_count","북한_mean","북한_std","북한_count","브라질_mean","브라질_std","브라질_count","스웨덴_mean","스웨덴_std","스웨덴_count","스위스_mean","스위스_std","스위스_count","스페인_mean","스페인_std","스페인_count","아르헨티나_mean","아르헨티나_std","아르헨티나_count","아이슬란드_mean","아이슬란드_std","아이슬란드_count","아일랜드_mean","아일랜드_std","아일랜드_count","에스토니아_mean","에스토니아_std","에스토니아_count","영국_mean","영국_std","영국_count","오스트레일리아_mean","오스트레일리아_std","오스트레일리아_count","오스트리아_mean","오스트리아_std","오스트리아_count","우크라이나_mean","우크라이나_std","우크라이나_count","이란_mean","이란_std","이란_count","이탈리아_mean","이탈리아_std","이탈리아_count","인도_mean","인도_std","인도_count","인도네시아_mean","인도네시아_std","인도네시아_count","일본_mean","일본_std","일본_count","중국_mean","중국_std","중국_count","체코_mean","체코_std","체코_count","칠레_mean","칠레_std","칠레_count","캐나다_mean","캐나다_std","캐나다_count","콜롬비아_mean","콜롬비아_std","콜롬비아_count","태국_mean","태국_std","태국_count","터키_mean","터키_std","터키_count","페루_mean","페루_std","페루_count","폴란드_mean","폴란드_std","폴란드_count","푸에르토리코_mean","푸에르토리코_std","푸에르토리코_count","프랑스_mean","프랑스_std","프랑스_count","핀란드_mean","핀란드_std","핀란드_count","한국_mean","한국_std","한국_count","헝가리_mean","헝가리_std","헝가리_count","홍콩_mean","홍콩_std","홍콩_count"
"1",3,"0106****",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.96774193548387,2.69388639949845,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,0,1,NA,NA,NA,7.92592592592593,2.77456604449304,27,NA,NA,NA,NA,NA,NA
"2",4,"jjun****",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,0,2,NA,NA,NA,8,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.89285714285714,1.91496523120779,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.16666666666667,3.23608130649127,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.66666666666667,1.88561808316413,3,NA,NA,NA,8.03448275862069,2.8705731570024,29,NA,NA,NA,10,0,2
"3",14,"salt****",NA,NA,NA,NA,NA,NA,NA,NA,NA,9,0,1,10,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.69230769230769,2.39822419509537,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.84848484848485,2.28461537272373,33,NA,NA,NA,NA,NA,NA
"4",15,"dani****",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.27272727272727,2.25996416266474,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,0,1,NA,NA,NA,7,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,0,1,10,0,1,NA,NA,NA,7.5,0.5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,NA,NA,NA,7.91304347826087,3.2425572768668,23,NA,NA,NA,NA,NA,NA
"5",22,"jhpa****",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.3,3.28785644455472,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.08695652173913,2.10409628392397,23,NA,NA,NA,NA,NA,NA
"6",26,"wjsr****",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,0,1,NA,NA,NA,8.06666666666667,1.76886655485622,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.66666666666667,1.88561808316413,3,8,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,0,1,NA,NA,NA,NA,NA,NA,9.5,0.5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1.73205080756888,4,NA,NA,NA,7.17647058823529,3.25820762920617,17,NA,NA,NA,10,0,1
"7",30,"wooj****",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.5,1.5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.75757575757576,3.09476883192407,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,3.53553390593274,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.4,3.66606055596467,5,10,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.52380952380952,3.00188904999514,42,NA,NA,NA,NA,NA,NA
"8",33,"ssam****",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.85,3.05409561081509,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,0,1,NA,NA,NA,7,3.18401178303139,29,NA,NA,NA,7,4.24264068711928,3
"9",41,"yjh8****",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.06666666666667,1.94821855949366,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.44444444444444,3.05908886620805,9,NA,NA,NA,NA,NA,NA
"10",44,"leec****",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.47368421052632,1.42785894381585,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.75,1.29903810567666,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.5,0.5,2,9,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,0,1,NA,NA,NA,7.7037037037037,2.70547886929625,27,NA,NA,NA,NA,NA,NA
