"review_interval","user_count"
0,21455
10,15481
20,2211
30,915
40,570
50,388
60,248
70,204
80,143
90,122
100,94
110,82
120,58
130,48
140,56
150,41
160,40
170,34
180,33
190,32
200,19
210,20
220,21
230,17
240,21
250,13
260,11
270,14
280,10
290,7
300,8
310,8
320,11
330,12
340,6
350,6
360,5
370,13
380,9
390,6
400,1
410,5
420,5
430,3
440,5
450,5
460,3
470,8
480,6
490,4
500,2
510,3
520,3
530,4
540,4
550,5
560,2
570,2
580,3
590,3
600,1
610,4
620,5
630,5
640,4
650,1
660,3
670,4
680,3
690,3
700,2
710,4
720,1
730,1
740,4
750,1
760,5
770,7
780,4
790,2
800,2
810,2
830,5
840,2
850,4
860,2
870,1
880,3
890,3
900,4
910,2
920,4
930,3
940,2
950,4
960,4
970,2
980,2
990,4
1000,5
1010,9
1020,2
1030,3
1050,4
1070,3
1080,3
1090,1
1100,5
1110,2
1120,2
1140,1
1150,3
1160,1
1170,1
1180,2
1220,3
1230,2
1250,2
1290,1
1320,1
1380,1
1400,2
1420,1
1480,1
1490,1
1520,1
1530,1
1560,1
1620,1
1660,1
1780,1
1800,1
1820,1
1870,1
1920,2
1930,2
1990,1
2060,1
2090,1
2470,1
2640,1
2710,1
3100,1
3160,1
3170,1
3730,1
5070,1
