director,aud_mean,cri_mean,net_mean,count
D. 졸바야르,,4.12,,1
D.J. 카루소,8.18,5.845,7.763,4
D.R. 후드,7.62,6,7.01,1
E. 일라이어스 메리지,,6.8,,1
F. 게리 그레이,8.97,7.803,8.315,4
F. 하비에르 구티에레즈,,5.5,,1
J 블레이크슨,6.45,5.64,,1
J.C. 챈더,9,6.835,7.97,2
J.J. 에이브럼스,8.21,7.524,8.216,5
M. 나이트 샤말란,7.45,6.688,6.418,9
M. 마니칸단,9.57,6.5,8.95,1
P.J. 호건,,9.14,,1
SS 라자몰리,9.5,5.83,7.83,1
가렛 에드워즈,7.7,6.78,7.55,2
가렛 에반스,,7.57,8.215,2
가버 추보,,7.58,,1
가베 이바네즈,10,5,6.68,1
가브리엘 무치노,8.45,5.6,8.197,3
가브리엘 악셀,9,8.5,,1
가브리엘라 타글리아비니,,4,,1
가스 데이비스,9.31,6.5,9.1,1
가스 제닝스,8.99,6.71,8.96,1
가와세 나오미,8.27,6.165,8.195,2
가와지리 요시아키,,8.68,,1
가이 리치,8.06,6.952,8.103,5
강건향,,6.65,,1
강경훈,,5,7.83,1
강대규,,5.79,9.06,1
강석범,,5.5,9.21,1
강수경,8.66,5.5,8.53,1
강우석,8.03,6.836,7.602,11
강이관,,6.38,7.695,2
강정수,,5.1,,1
강제규,8.7,7.493,7.995,4
강진아,,6.95,7.83,1
강철우,,7.81,,1
강현,,6.8,,1
강형철,7.76,6.533,8.53,3
강효진,8.84,5.433,8.307,3
개리 위닉,,4.75,7.03,1
개빈 후드,8.32,6.32,7.947,3
거린다 차다,,8.03,,1
게리 로스,,7.615,7.19,2
게리 마샬,,7.45,7.1,3
게리 쇼어,8.05,5.65,7.97,1
게리 시니어,,7.58,,1
게리 위닉,,6,8.39,1
게리 플레더,,7.63,,2
게비 델랄,8.06,5.93,7.93,1
게빈 오코너,8.15,4.85,8.505,2
게이브 토레스,,6.08,,1
경석호,,6.73,,1
고광현,,4.18,,1
고구마,10,5.07,,1
고달우,,6.04,8.89,1
고레에다 히로카즈,8.784,7.869,8.578,8
고석진,,2.33,4.3,1
고어 버빈스키,7.38,7.026,7.975,5
고현창,10,4,7.64,1
고희영,9.285,6.415,9.075,2
곤 사토시,10,8.22,8.73,3
공수창,,7.36,7.01,2
공자관,8.5,6.75,8.91,1
공정식,,7.35,,1
곽경택,8.35,6.293,7.399,9
곽요량,,8.5,,1
곽재용,7.89,6.668,6.817,6
곽회중,,3.59,,1
구로사와 기요시,6.48,7.175,6.625,2
구로사와 아키라,,8.815,,4
구모,7.7,4.075,3.12,2
구봉회,9.19,9.04,,1
구수환,,7,9.34,1
구스 반 산트,10,8.625,,2
구스타보 타레토,8,7.45,8.06,1
구예도,,4,5.56,1
구자홍,,6.5,6.1,1
구파도,9.13,6,9.08,1
국동석,,5.33,7.17,1
권문선,9.67,5.66,,1
권성국,,4,7.44,1
권수경,8.92,4.55,8.36,1
권영락,,1,5.48,1
권영철,,5.92,5.42,1
권오광,7.43,6.31,6.92,1
권종관,8.54,5.19,7.435,3
권철휘,,8.12,,1
권칠인,7.65,6.11,7.277,3
권혁만,9.48,9.1,,2
권혁재,,6.13,7.56,1
권형진,6.6,4.325,7.737,4
권호영,,4.613,6.86,3
권효,,6,8.39,1
그레고 조던,,8.54,,1
그레고리 플로킨,6.48,3,5.63,1
그레고리 호블릿,,8.785,,2
그레그 프리티킨,,8.28,,1
그레이엄 애나블,8.38,7.11,8.39,1
그렉 맥린,,7,5.88,1
그렉 모톨라,,6.36,7.69,1
그렉 아라키,7.33,6.25,6.94,1
그리머 해커나르손,8.14,7.39,8.1,1
그리프 퍼스트,,6.58,6.02,1
그리핀 던,,4.63,6.13,1
글렌 피카라,7.93,6.29,7.385,3
기대호,,6.81,,1
기옘 모랄레스,,6.07,7.96,1
기타가와 에리코,,6,8.11,1
기타노 다케시,8.917,8.019,8.075,7
기타무라 류헤이,,5.97,,2
길 정거,,9.08,,1
길 키넌,,6,7.33,1
길예르모 델 토로,7.38,7.345,7.623,4
김경묵,7.48,6.14,6.18,1
김경원,8.68,5.5,8.38,1
김경형,7.88,7.34,,1
김곡,5.05,5.5,6.335,2
김광식,7.56,6.785,8.285,2
김광태,6.89,6.66,6.49,1
김기덕,7.59,7.186,7.01,11
김기영,,7.695,,2
김기훈,,7,8.31,1
김달중,,5.42,8.84,1
김대성,,7.95,,2
김대승,6.87,6.875,6.69,4
김대우,6.63,6.523,6.993,3
김대창,8.54,5,7.22,1
김대현,8.835,6.165,8.51,2
김대환,8.42,6.93,8.04,1
김덕수,7.815,3.75,7.15,2
김도원,8.2,2,8.01,1
김도혁,,6.17,,1
김동명,9.14,6.5,8.05,1
김동민,9.59,5,9.01,1
김동빈,9.14,4.987,7.695,3
김동욱,,3.75,5.825,2
김동원,,4.192,6.32,4
김두영,,7.345,,2
김명균,5.08,5.31,,1
김명준,9.05,6.97,8.85,2
김무원,,5.79,,1
김문흠,,3,4.52,1
김민석,,6.16,6.67,1
김병곤,,4.55,6.25,1
김병관,,7.45,,1
김병우,,7.06,8.26,1
김병준,9,4.67,5.78,1
김봉주,8.05,5.2,6.87,1
김봉한,8.53,4.915,7.3,2
김상만,8.46,5.203,6.98,3
김상우,,4,6.04,1
김상진,7.17,6.146,7.095,8
김상찬,,4.67,7.47,1
김상철,9.05,8.62,,1
김석윤,8.07,6.01,8.123,3
김성덕,,5.06,,1
김성수,6.57,5.984,7.362,5
김성제,8.71,7.18,7.92,1
김성호,8.79,5.77,7.805,2
김성홍,,5.733,6.02,3
김성훈,8.767,5.242,7.746,5
김세연,7.67,4,8.36,1
김소연,8.5,5,8.64,1
김소영,,8,8.95,1
김수용,,9.29,,1
김수현,7.4,6.375,7.085,2
김아론,7.91,5,7.38,1
김영남,,5.46,5.23,1
김영빈,,8.42,,2
김영준,,5.83,,1
김영탁,7.77,5.78,8.305,2
김용균,,6.46,7.09,3
김용운,4.63,4.01,,1
김용한,,4.5,6.44,1
김용화,,6.592,8.56,4
김유성,,2.33,4.79,1
김유진,,7.875,8.3,4
김은경,,7.67,,1
김의석,,6.45,,1
김익로,,4.9,4.99,1
김일란,,7.75,5.14,1
김재수,8.8,4,5.06,1
김재환,9.19,6.557,8.22,3
김정권,8.79,5.837,7.375,3
김정근,9.38,7.14,9.23,1
김정민,,4.73,,1
김정우,,3.125,6.9,2
김정환,,6.82,7.49,2
김정훈,8.62,5.9,8.48,1
김제영,,4.56,6.88,1
김종관,8.46,6.74,7.31,2
김종진,,4.33,5.92,1
김종현,8.79,7.27,8.7,2
김주호,,5.75,7.59,1
김주환,,6,9.1,1
김준성,8.13,3,5.94,1
김지연,9.17,8.46,,1
김지운,8.565,7.52,7.298,8
김지훈,,5.71,6.267,4
김진도,8.48,6,8.34,1
김진만,,5,8.7,1
