"user_pk","id","genre_cluster","grade_cluster","nation_cluster"
3,"0106****",10,7,6
4,"jjun****",10,4,13
14,"salt****",11,8,14
15,"dani****",7,10,8
22,"jhpa****",8,8,8
26,"wjsr****",6,7,9
30,"wooj****",5,4,11
33,"ssam****",12,1,10
41,"yjh8****",13,8,5
44,"leec****",9,9,10
49,"rudt****",7,12,1
51,"ckdg****",2,14,3
55,"kais****",9,1,8
58,"mien****",10,1,6
66,"zmff****",8,1,5
67,"psyc****",11,9,11
72,"tndu****",1,4,7
78,"ekdn****",9,14,4
79,"sean****",14,9,5
82,"vero****",6,3,10
84,"hyej****",11,5,8
87,"momo****",15,5,12
93,"choo****",11,4,7
94,"iamy****",7,14,10
98,"thdu****",2,12,9
103,"sunw****",11,9,1
109,"sky_****",14,4,7
110,"tlsw****",14,4,11
113,"dbfl****",3,6,8
130,"kooo****",1,14,7
134,"soli****",11,14,7
147,"skul****",11,12,14
151,"rkdu****",4,3,5
158,"suri****",14,12,8
161,"tlsd****",11,5,13
166,"tldm****",5,7,12
172,"tiny****",7,15,11
174,"yung****",3,1,6
177,"book****",7,9,1
178,"dlxo****",5,3,11
188,"cara****",4,7,14
190,"euns****",9,7,9
197,"hung****",10,6,15
200,"poin****",3,5,3
203,"arro****",15,9,8
207,"ehdr****",11,1,7
214,"ghos****",5,13,1
218,"chil****",3,4,11
226,"pine****",2,8,7
234,"rich****",3,11,5
236,"0119****",5,11,1
237,"davi****",1,8,15
248,"hanb****",1,11,6
250,"seok****",11,9,11
252,"dbsw****",10,5,3
261,"kkam****",2,5,1
266,"tall****",11,7,3
272,"leen****",8,8,1
289,"sksd****",5,10,2
290,"rkdt****",11,15,13
294,"kenn****",4,3,7
309,"ekdu****",12,3,2
313,"anna****",10,7,8
321,"gkst****",10,14,15
329,"bles****",3,7,7
332,"muse****",5,4,10
338,"gpal****",11,9,8
341,"wooo****",3,14,11
351,"lieb****",9,13,4
356,"hyou****",7,15,5
357,"dksg****",4,10,4
358,"lala****",3,10,15
361,"haes****",8,3,13
365,"mono****",4,5,6
370,"bill****",4,3,11
371,"beau****",11,8,9
381,"joll****",14,5,2
388,"taej****",7,13,5
389,"jinh****",11,4,8
394,"tops****",13,2,6
398,"ehdd****",10,5,3
400,"mona****",9,14,8
401,"them****",11,8,3
402,"rhdm****",8,1,15
403,"dusg****",8,9,13
408,"arti****",2,5,6
411,"ekdm****",7,8,14
430,"gray****",2,10,9
434,"lady****",3,10,6
438,"gpfl****",13,5,8
445,"jini****",10,6,10
453,"simo****",12,1,11
457,"dkst****",11,12,13
473,"fait****",12,2,7
475,"piao****",15,3,14
478,"basi****",3,7,15
492,"phil****",11,5,13
494,"hana****",11,9,13
496,"sinb****",9,9,3
499,"wlsr****",5,10,11
501,"didw****",9,14,1
504,"sinc****",12,10,10
506,"kazu****",15,13,4
510,"pass****",11,10,15
515,"wndu****",3,14,6
518,"newy****",5,1,11
526,"ruru****",12,9,4
531,"wldn****",10,5,11
532,"herm****",3,2,14
550,"zerg****",15,4,6
551,"kysk****",4,9,1
553,"quee****",8,14,11
559,"libe****",10,8,8
561,"tnsd****",12,14,2
576,"suho****",9,9,8
580,"gong****",13,9,5
582,"gmld****",1,1,5
587,"ghdt****",15,1,10
592,"firs****",9,11,12
599,"2000****",7,13,11
601,"bada****",3,14,3
607,"sens****",11,5,7
614,"vita****",2,10,3
617,"gkgk****",8,1,8
618,"join****",13,7,12
636,"nabi****",6,10,7
637,"dpwl****",14,6,14
643,"thfl****",8,7,2
644,"puri****",2,3,13
652,"mell****",5,7,9
670,"spon****",7,2,2
674,"leed****",13,1,7
680,"grac****",13,4,8
689,"slam****",11,5,15
695,"hams****",14,4,8
698,"lord****",10,14,1
700,"jino****",3,13,2
702,"simp****",2,9,4
703,"mete****",1,7,5
715,"newc****",14,14,4
719,"ehdg****",9,2,3
