"user_pk","id","genre_cluster","grade_cluster","nation_cluster"
3,"0106****",24,34,4
4,"jjun****",7,33,21
14,"salt****",9,15,17
15,"dani****",11,26,31
22,"jhpa****",12,15,32
26,"wjsr****",18,27,11
30,"wooj****",37,9,25
33,"ssam****",13,6,16
41,"yjh8****",24,32,40
44,"leec****",27,17,28
49,"rudt****",39,40,30
51,"ckdg****",3,16,34
55,"kais****",2,6,28
58,"mien****",40,7,4
66,"zmff****",12,25,18
67,"psyc****",5,15,25
72,"tndu****",13,8,17
78,"ekdn****",27,16,31
79,"sean****",19,27,18
82,"vero****",29,13,39
84,"hyej****",9,21,35
87,"momo****",14,21,33
93,"choo****",5,22,1
94,"iamy****",39,12,8
98,"thdu****",3,28,11
103,"sunw****",9,7,27
109,"sky_****",29,9,17
110,"tlsw****",38,33,28
113,"dbfl****",13,35,35
130,"kooo****",32,12,17
134,"soli****",9,12,1
147,"skul****",15,28,21
151,"rkdu****",33,38,18
158,"suri****",38,26,10
161,"tlsd****",15,22,13
166,"tldm****",21,36,15
172,"tiny****",18,10,25
174,"yung****",11,6,10
177,"book****",22,18,12
178,"dlxo****",37,38,25
188,"cara****",33,29,22
190,"euns****",27,11,37
197,"hung****",7,35,40
200,"poin****",17,21,19
203,"arro****",23,15,12
207,"ehdr****",15,2,1
214,"ghos****",37,1,27
218,"chil****",35,22,25
226,"pine****",29,32,1
234,"rich****",35,5,29
236,"0119****",7,5,38
237,"davi****",6,12,40
248,"hanb****",36,5,7
250,"seok****",9,15,25
252,"dbsw****",24,36,19
261,"kkam****",8,2,27
266,"tall****",9,11,3
272,"leen****",12,32,27
289,"sksd****",15,39,23
290,"rkdt****",3,10,22
294,"kenn****",22,11,1
309,"ekdu****",16,38,30
313,"anna****",7,11,35
321,"gkst****",40,16,29
329,"bles****",22,29,9
332,"muse****",37,9,39
338,"gpal****",9,25,32
341,"wooo****",17,3,25
351,"lieb****",14,31,30
356,"hyou****",28,10,18
357,"dksg****",33,39,32
358,"lala****",14,9,40
361,"haes****",20,38,24
365,"mono****",17,36,9
370,"bill****",33,38,25
371,"beau****",26,32,11
381,"joll****",29,13,23
388,"taej****",18,31,18
389,"jinh****",5,9,17
394,"tops****",24,23,39
398,"ehdd****",40,36,19
400,"mona****",7,16,35
401,"them****",9,15,34
402,"rhdm****",21,33,29
403,"dusg****",12,25,5
408,"arti****",19,13,16
411,"ekdm****",22,32,17
430,"gray****",5,8,20
434,"lady****",18,8,28
438,"gpfl****",32,13,35
445,"jini****",24,35,39
453,"simo****",36,7,25
457,"dkst****",9,40,35
473,"fait****",16,23,1
475,"piao****",34,8,33
478,"basi****",35,36,40
492,"phil****",5,13,21
494,"hana****",26,30,24
496,"sinb****",10,27,34
499,"wlsr****",32,26,25
501,"didw****",7,12,27
504,"sinc****",16,39,39
506,"kazu****",4,14,31
510,"pass****",32,19,14
515,"wndu****",11,20,4
518,"newy****",37,33,25
526,"ruru****",36,27,16
531,"wldn****",24,13,25
532,"herm****",18,23,24
550,"zerg****",35,9,28
551,"kysk****",33,18,15
553,"quee****",20,20,25
559,"libe****",7,6,30
561,"tnsd****",16,40,23
576,"suho****",2,18,38
580,"gong****",32,30,18
582,"gmld****",6,25,18
587,"ghdt****",25,2,39
592,"firs****",10,5,37
599,"2000****",18,31,25
601,"bada****",17,20,3
607,"sens****",9,36,1
614,"vita****",3,26,3
617,"gkgk****",24,7,35
618,"join****",40,19,21
636,"nabi****",30,9,1
637,"dpwl****",29,35,5
643,"thfl****",9,11,23
644,"puri****",19,2,22
652,"mell****",37,34,11
670,"spon****",1,23,3
674,"leed****",24,7,28
680,"grac****",32,9,33
689,"slam****",15,2,20
695,"hams****",38,9,35
698,"lord****",24,3,30
700,"jino****",25,24,23
702,"simp****",3,18,16
703,"mete****",20,36,18
715,"newc****",38,20,14
719,"ehdg****",2,23,7
725,"sant****",32,12,22
733,"gmlt****",27,13,23
737,"worl****",19,36,38
741,"afri****",14,31,14
743,"lets****",2,33,8
746,"spdl****",1,15,14
756,"nami****",4,21,31
758,"ador****",24,22,39
761,"dbst****",37,2,21
776,"vict****",15,36,21
777,"qudr****",9,27,29
780,"thdd****",9,4,24
783,"plan****",28,17,40
789,"mint****",32,36,40
794,"mado****",1,23,33
795,"ddoo****",26,6,16
808,"yuki****",29,33,17
809,"guse****",11,26,25
819,"wand****",30,1,40
825,"wook****",7,36,26
833,"code****",4,22,26
