"method","predicted_mean","predicted_min","predicted_max","intersect_mean","intersect_min","intersect_max","actual_mean","actual_min","actual_max","length....0.","length.....0.","X0_ratio","rate_mean","rate....0.","rate_max","rate_min","NaN.","ints_length","pre_ac_cor","mean_abs","pre_ac_rate","NOT0_ratio"
"30_u_freq",30,30,30,1.52162685603615,0,10,11.8850871530019,5,27,1187,362,0.234,0.127494267518173,0.166376259802569,0.571428571428571,0,"N",2357,0.257036243464243,2.01814758420525,0.25,0.766
"30_c_freq",30,30,30,1.53389283408651,0,9,11.8850871530019,5,27,1184,365,0.236,0.128757994839652,0.168451126694781,0.571428571428571,0,"N",2376,0.25852201691173,2.02809960823169,0.25,0.764
"30_u_freq_wo_uar",30,30,30,1.30277598450613,0,9,11.8850871530019,5,27,1103,446,0.288,0.110343429044788,0.154960989655826,0.666666666666667,0,"N",2018,0.241999255847356,2.0481015629717,0.25,0.712
"30_c_freq_wo_uar",30,30,30,1.47127178825048,0,9,11.8850871530019,5,27,1157,392,0.253,0.123329242575126,0.165114085349067,0.571428571428571,0,"N",2279,0.266363446307965,2.0466616080658,0.25,0.747
"30_u_freq_wo_uar_km2",30,30,30,1.536475145255,0,8,11.8850871530019,5,27,1180,369,0.238,0.129318153673045,0.169757474609786,0.666666666666667,0,"N",2380,0.256063666544546,2.02438677814395,0.25,0.762
"30_c_freq_wo_uar_km2",30,30,30,1.56229825693996,0,8,11.8850871530019,5,27,1179,370,0.239,0.130945810569711,0.172039915667924,0.6,0,"N",2420,0.272789094317536,2.00726666089393,0.25,0.761
"60_u_freq",60,60,60,2.31762427372498,0,10,11.8850871530019,5,27,1363,186,0.12,0.194358757342144,0.220881669202481,0.666666666666667,0,"N",3590,0.256390493443003,2.08204105510041,0.5,0.88
"60_c_freq",60,60,60,2.31504196255649,0,10,11.8850871530019,5,27,1366,183,0.118,0.193924987161998,0.219904688956028,0.666666666666667,0,"N",3586,0.254844776251969,2.09755432012893,0.5,0.882
"60_u_freq_wo_uar",60,60,60,2.27437056165268,0,11,11.8850871530019,5,27,1358,191,0.123,0.190429282124811,0.217212782040746,0.666666666666667,0,"N",3523,0.253662492886792,2.07577979088902,0.5,0.877
"60_c_freq_wo_uar",60,60,60,2.27630729502905,0,10,11.8850871530019,5,27,1360,189,0.122,0.190571486452663,0.217055318025864,0.666666666666667,0,"N",3526,0.252918405832102,2.10177398630005,0.5,0.878
"60_u_freq_wo_uar_km2",60,60,60,2.29502905100065,0,11,11.8850871530019,5,27,1364,185,0.119,0.193012012865381,0.21919032839331,0.75,0,"N",3555,0.263170686975229,2.1124354710454,0.5,0.881
"60_c_freq_wo_uar_km2",60,60,60,2.31310522918012,0,10,11.8850871530019,5,27,1369,180,0.116,0.194423073949181,0.219986370743084,0.714285714285714,0,"N",3583,0.266952652467159,2.10860852011409,0.5,0.884
