"method","predicted_mean","predicted_min","predicted_max","intersect_mean","intersect_min","intersect_max","actual_mean","actual_min","actual_max","length....0.","length.....0.","X0_ratio","rate_mean","rate....0.","rate_max","rate_min","NaN.","ints_length","pre_ac_cor","mean_abs","pre_ac_rate","NOT0_ratio"
"random_rec",30,30,30,0.0225952227243383,0,2,11.8850871530019,5,27,34,1515,0.978,0.00155301339117058,0.070753463027154,0.142857142857143,0,"N",35,0.110347457773142,1.16042295016478,0.25,0.022
"score_rec",30,30,30,0.00710135571336346,0,1,11.8850871530019,5,27,11,1538,0.993,0.00072582356313796,0.102209154481882,0.142857142857143,0,"N",11,NA,NA,0.25,0.00700000000000001
"count_rec",30,30,30,1.57456423499032,0,9,11.8850871530019,5,27,1174,375,0.242,0.131564668209828,0.173589157629492,0.666666666666667,0,"N",2439,0.27910733272593,2.05712535950359,0.25,0.758
"alcf",30,30,30,1.33376371852808,0,8,11.8850871530019,5,27,1087,462,0.298,0.111606174819365,0.159041365956943,0.625,0,"N",2066,0.255865671723796,1.98962716196312,0.25,0.702
"gecf",30,30,30,1.31891542930923,0,7,11.8850871530019,5,27,1096,453,0.292,0.109377438556641,0.154585449200946,0.571428571428571,0,"N",2043,0.235344984642763,2.01798341179894,0.25,0.708
"grcf",30,30,30,1.3208521626856,0,8,11.8850871530019,5,27,1097,452,0.292,0.109683461646091,0.154876647301545,0.555555555555556,0,"N",2046,0.286531791470615,2.00694398601137,0.25,0.708
"nacf",30,30,30,1.25758553905746,0,8,11.8850871530019,5,27,1081,468,0.302,0.10582823214103,0.151644710070727,0.625,0,"N",1948,0.220307691939921,2.04754183835937,0.25,0.698
"gek",30,30,30,1.46868947708199,0,9,11.8850871530019,5,27,1150,399,0.258,0.122132683563672,0.164507414643589,0.571428571428571,0,"N",2275,0.280632686231248,2.01347563709248,0.25,0.742
"gek2",30,30,30,1.29180116204003,0,7,11.8850871530019,5,27,1074,475,0.307,0.106488198208259,0.153584933914891,0.571428571428571,0,"N",2001,0.257256205143774,2.02111388199694,0.25,0.693
"grk",30,30,30,1.51517107811491,0,8,11.8850871530019,5,27,1164,385,0.249,0.12668144521433,0.168582095048967,0.555555555555556,0,"N",2347,0.255646964946259,2.05441555971323,0.25,0.751
"grk2",30,30,30,1.34409296320207,0,7,11.8850871530019,5,27,1101,448,0.289,0.112011926428355,0.157589894675315,0.5,0,"N",2082,0.251339792472425,2.00594207751602,0.25,0.711
"nak",30,30,30,1.45384118786314,0,8,11.8850871530019,5,27,1141,408,0.263,0.122259267200424,0.165976866690146,0.615384615384615,0,"N",2252,0.249474112056879,2.01519947723155,0.25,0.737
"nak2",30,30,30,1.32020658489348,0,8,11.8850871530019,5,27,1090,459,0.296,0.111327429633071,0.158207512386813,0.571428571428571,0,"N",2045,0.223462882820464,2.05599629951821,0.25,0.704
"uar",30,30,30,1.32472562943835,0,8,11.8850871530019,5,27,1092,457,0.295,0.110837611021568,0.157222948234806,0.571428571428571,0,"N",2052,0.226995316078405,1.97243494718376,0.25,0.705
"ccbr",31,31,31,0.123950936087799,0,3,11.8850871530019,5,27,175,1374,0.887,0.0105995255890112,0.0938209436421616,0.3,0,"N",192,-0.106992972126735,3.09145361529168,0.26,0.113
"k_m_inter",15.688186,6,24,0.971594577146546,0,8,11.8850871530019,5,27,928,621,0.401,0.0806791631072862,0.134668128936623,0.444444444444444,0,"N",1505,0.226524137000863,2.00503726325237,0.13,0.599
"k_m_union",47.347966,37,64,2.0161394448031,0,9,11.8850871530019,5,27,1299,250,0.161,0.168794655180149,0.201280154637453,0.666666666666667,0,"N",3123,0.27146736275739,2.05928781880153,0.4,0.839
"k_m_freq",30,30,30,1.54938670109748,0,8,11.8850871530019,5,27,1175,374,0.241,0.12963103917103,0.170892323128447,0.6,0,"N",2400,0.271111074909766,2.03190480829142,0.25,0.759
"k_m2_inter",8.743706,1,17,0.577792123950936,0,5,11.8850871530019,5,27,658,891,0.575,0.0482469933704622,0.113578408405541,0.428571428571429,0,"N",895,0.208894650560089,2.03838808592087,0.07,0.425
"k_m2_union",58.727566,45,74,2.17753389283409,0,11,11.8850871530019,5,27,1338,211,0.136,0.181156640790318,0.209724691019583,0.636363636363636,0,"N",3373,0.263062025972159,2.04133764415025,0.49,0.864
"k_m2_freq",30,30,30,1.39703034215623,0,8,11.8850871530019,5,27,1129,420,0.271,0.1168573201613,0.160329485323166,0.571428571428571,0,"N",2164,0.248784471207717,2.02533985514868,0.25,0.729
"k_m_all_inter",7.233699,0,17,0.508715300193673,0,5,11.8850871530019,5,27,598,951,0.614,0.042268635760317,0.109488489619952,0.375,0,"N",788,0.18996688703154,2.01746853478986,0.06,0.386
"k_m_all_union",69.821821,52,92,2.50355067785668,0,12,11.8850871530019,5,27,1388,161,0.104,0.208628253638302,0.232827928592024,0.75,0,"N",3878,0.27146736275739,2.05692243072615,0.59,0.896
"k_m_all_freq",30,30,30,1.53712072304713,0,8,11.8850871530019,5,27,1180,369,0.238,0.128811193702049,0.16909198224108,0.571428571428571,0,"N",2381,0.262139975051168,2.03977140286775,0.25,0.762
"cf_inter",7.233699,0,17,0.508715300193673,0,5,11.8850871530019,5,27,598,951,0.614,0.042268635760317,0.109488489619952,0.375,0,"N",788,0.18996688703154,2.01746853478986,0.06,0.386
"cf_union",69.821821,52,92,2.50355067785668,0,12,11.8850871530019,5,27,1388,161,0.104,0.208628253638302,0.232827928592024,0.75,0,"N",3878,0.27146736275739,2.05692243072615,0.59,0.896
"cf_freq",30,30,30,1.53712072304713,0,8,11.8850871530019,5,27,1180,369,0.238,0.128811193702049,0.16909198224108,0.571428571428571,0,"N",2381,0.262139975051168,2.03977140286775,0.25,0.762
"all_intersect",0.000646,0,1,0,0,0,11.8850871530019,5,27,0,1549,1,0,NA,0,0,"N",0,NA,NA,0,0
"all_union",122.706262,100,150,3.10974822466107,0,13,11.8850871530019,5,27,1468,81,0.052,0.260288337659569,0.274650296345145,0.875,0,"N",4817,0.27146736275739,2.06058835866008,1.03,0.948
"all_freq",30,30,30,1.55842479018722,0,9,11.8850871530019,5,27,1181,368,0.238,0.130507373558078,0.171173515361103,0.571428571428571,0,"N",2414,0.250981527649256,2.0284893249615,0.25,0.762
